design page ID,design page name,proposed application route,proposed component,Claude Code mapping classification,Codex validation,alternative route or component,design-versus-code delta,functional implication,wiring implication,risk,recommended action,evidence
WA-DES-002 (repository-defined; no native Claude page ID),SAQEEL Admin Detail,/admin/regulations/:id;/admin/packages;/admin/items/:id/runtime-preview;/admin/risk;/admin/risk/models;/planning/plans/:id,apps/web/src/app/(app)/admin/regulations/[id]/page.tsx;apps/web/src/app/(app)/admin/packages/page.tsx;apps/web/src/app/(app)/admin/items/[id]/runtime-preview/page.tsx;apps/web/src/app/(app)/admin/risk/page.tsx;apps/web/src/app/(app)/admin/risk/models/page.tsx;apps/web/src/app/(app)/planning/plans/[id]/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/regulations/:id;/admin/packages;/admin/items/:id/runtime-preview;/admin/risk;/planning/plans/:id,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: 2026-07-24: CORRECTED 2026-07-24: 6 files confirmed to exist via direct grep — admin/regulations/[id], admin/packages, admin/items/[id]/runtime-preview, admin/risk, admin/risk/models, planning/plans/[id] (all 6 now listed in route/source_component; a prior pass said '5 recorded' while naming 6 in prose and omitting admin/risk/models from the structured fields — inconsistency caught by Codex re-review, fixed here). Web-Index's claim ('⊘ unconfirmed — no matching folder found') is itself wrong/stale — the design team's own index is not infallible and was cross-checked against real files, not trusted blindly.. Independent component check: 6/6 exact apps/ paths exist. Residual Claude report inconsistency: reports/unmapped-designs.md still says 5 files/high even though the corrected mapping lists 6 files/medium."
WA-DES-003 (repository-defined; no native Claude page ID),SAQEEL Admin Execution,/admin/execution,apps/web/src/app/admin/execution/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/execution,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-003), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-004 (repository-defined; no native Claude page ID),SAQEEL Admin Extended,/admin/bulk-violations;/admin/enforcement-recommendations;/admin/security-access;/admin/devices,apps/web/src/app/(app)/admin/bulk-violations/page.tsx;apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx;apps/web/src/app/(app)/admin/security-access/page.tsx;apps/web/src/app/(app)/admin/devices/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/bulk-violations;/admin/enforcement-recommendations;/admin/security-access;/admin/devices,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-004), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 4/4 exact apps/ paths exist. "
WA-DES-005 (repository-defined; no native Claude page ID),SAQEEL Admin Form Builder,/admin/packages/:id/designer,—,NO CODE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),NO CODE MATCH,/admin/packages/:id/designer,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",The design capability has no verified current Web/Admin implementation.,"Do not invent a route, API, or implementation lease.",HIGH — new route/backend scope may be required,BLOCK,"Live inventory revision 1784805971473854. Claude evidence: 2026-07-24: neither Web-Index's claimed /admin/templates nor DESIGN_ROUTE_MAP's claimed /admin/packages/:id/designer exists in apps/web/src (grep-verified, both absent). Web-Index's route claim is itself wrong here — do not trust it blindly, verify against real files as done for every row in this pass.. Independent component check: no exact apps/ path supplied for filesystem verification. "
WA-DES-006 (repository-defined; no native Claude page ID),SAQEEL Admin Geofence,/admin/gis,apps/web/src/app/(app)/admin/gis/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/gis,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-006), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-007 (repository-defined; no native Claude page ID),SAQEEL Admin Integrations Data,/admin/integrations/factory-data,apps/web/src/app/(app)/admin/integrations/factory-data/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/integrations/factory-data,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-007), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-008 (repository-defined; no native Claude page ID),SAQEEL Admin Integrations,/admin/integrations,apps/web/src/app/(app)/admin/integrations/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/integrations,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-008), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-009 (repository-defined; no native Claude page ID),SAQEEL Admin Lookups copy,/admin/localization,apps/web/src/app/(app)/admin/localization/page.tsx,CLOSE MATCH / medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page); code candidate: medium (repository-candidate: file path verified in governed authority; NOT content-read against live Claude Design page); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/localization,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-009), sha256 recorded there; not re-verified against current MCP content-hash this pass CONFIRMED duplicate by SAQEEL Web-Index.dc.html: 'Duplicate file - candidate for cleanup', '⊘ duplicate of Admin Lookups'.. Independent component check: 1/1 exact apps/ paths exist. "
WA-DES-010 (repository-defined; no native Claude page ID),SAQEEL Admin Lookups,/admin/localization OR /admin/planning/lookups,apps/web/src/app/(app)/admin/localization/page.tsx; apps/web/src/app/(app)/admin/planning/lookups/page.tsx,"MULTIPLE POSSIBLE MATCHES / medium (both candidates real, disambiguation needed); code candidate: medium (both candidates real, disambiguation needed); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep)",AMBIGUOUS,/admin/localization or /admin/planning/lookups; content comparison required,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,HIGH — two real code candidates exist and the design was not content-read,BLOCK,"Live inventory revision 1784805971473854. Claude evidence: 2026-07-24: BOTH /admin/localization (DESIGN_ROUTE_MAP's claim) and /admin/planning/lookups (Web-Index's claim) exist as real, distinct page.tsx files. Not a Web-Index error like Admin Form Builder — genuinely two implementations. Content not compared to determine which (if either) matches the design page; flagged, not guessed.. Independent component check: 2/2 exact apps/ paths exist. "
WA-DES-011 (repository-defined; no native Claude page ID),SAQEEL Admin Role Override,/admin/access?view=roles,apps/web/src/app/(app)/admin/access/page.tsx,CLOSE MATCH / medium; code candidate: high (governed authority + Web-Index + live file existence — three-source route agreement); design content: no — route/file existence only (governed authority + Web-Index + filesystem grep),INSUFFICIENT EVIDENCE,/admin/access?view=roles,"Not established: route/file evidence exists, but the live Claude Design page was not content-read against the current implementation.",This is a repository route candidate only; nearest-design correctness and current semantic behavior remain unproven.,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS; do not classify BUILD or WIRE until design content and services are traced.,"MEDIUM — route candidate is plausible, but nearest-match and semantic delta are not verified",CORRECT,"Live inventory revision 1784805971473854. Claude evidence: Present in product-contract/web-admin-phase1/DESIGN_ROUTE_MAP.csv (WA-DES-011), sha256 recorded there; not re-verified against current MCP content-hash this pass. Independent component check: 1/1 exact apps/ paths exist. "
