key,en,ar,directionality,notes
pen.title,Penalty Mapping,ربط العقوبات,rtl_page,h1
pen.violation,Violation,المخالفة,rtl,column head
pen.lens,Mapping Validation Lens,عدسة التحقق من الربط,rtl,signature
pen.record,Penalty mapping record,سجل ربط العقوبة,rtl,column head
pen.create,Create penalty mapping,إنشاء ربط عقوبة,rtl,primary action
pen.unique,One penalty mapping per violation,ربط عقوبة واحد لكل مخالفة,rtl,unique-constraint note
pen.legal_basis,Legal basis,الأساس القانوني,rtl+bdi,mandatory at create
pen.dup_reject,This violation already has a penalty mapping,لهذه المخالفة ربط عقوبة بالفعل,rtl,duplicate rejection
pen.range_preset,Range preset,إعداد النطاق,rtl+bdi,token not amount
pen.repeat_preset,Repeat-rule preset,قاعدة التكرار,rtl+bdi,token
pen.blocked,Contract target — not enabled,هدف تعاقدي — غير مفعّل,rtl,HANDOFF_BLOCKED annotation
