gap_id,current_domain,current_status,new_endpoint_candidates,expected_disposition,contract_evidence_required,final_disposition,code_locations,ledger_updates,verification
F360-GAP-009,factory_portfolio_search,CONTRACT_NOT_SUPPLIED,license-info; plants; license-info/preview,LIKELY_REPLACE_OR_REDUCE,Prove method auth identifiers and CR/license/plant response relationships,RETAINED_BLOCKED_EXTERNAL,apps/web/src/lib/integrations/industry-shared/*,Industry Shared ledger + F360 integration gaps,Fail-closed contract 4/4 PASS; no contract verified
NEW-GAP-LICENSE,license master completeness,PARTIAL,license-info; license-info/preview,LIKELY_EXTEND,Prove field authority overlap and preview semantics,RETAINED_PENDING_CONTRACT,apps/web/src/lib/integrations/industry-shared/*,Industry Shared ledger,Fail-closed contract 4/4 PASS
NEW-GAP-PRODUCTS,licensed product master,PARTIAL,license-info/products,LIKELY_EXTEND,Prove HS capacity unit status fields and production-line relation,RETAINED_PENDING_CONTRACT,apps/web/src/lib/integrations/industry-shared/*,Industry Shared ledger,Fail-closed contract 4/4 PASS
NEW-GAP-WORKFORCE,official workforce/HRSD,PARTIAL,job-workforce-info; plant-with-labors; hrsd-labors,LIKELY_EXTEND,Prove aggregate dimensions scope precedence privacy and retention,RETAINED_PENDING_CONTRACT,apps/web/src/lib/integrations/industry-shared/*,Industry Shared ledger,Fail-closed contract 4/4 PASS
NEW-GAP-CONTACTS,authoritative contacts,MANUAL_ONLY,contact-list; delegations,LIKELY_EXTEND,Distinguish contact and delegation semantics plus masking permission retention,RLS_DECISION_REQUIRED_BEFORE_IMPLEMENTATION,apps/web/src/lib/integrations/industry-shared/*,Industry Shared ledger,Fail-closed contract 4/4 PASS
NEW-GAP-ACTIVITY,industrial activity labels/validation,PARTIAL,is-industrial-activity; get-industrial-activities,LIKELY_EXTEND,Prove code hierarchy labels version and validation semantics,RETAINED_PENDING_CONTRACT,apps/web/src/lib/integrations/industry-shared/*,Industry Shared ledger,Fail-closed contract 4/4 PASS
F360-GAP-005,land_provider_history,CONTRACT_PARTIAL,license-info; plants; plant-with-labors,MAY_REDUCE_CURRENT_ONLY,Prove current and history fields,RETAINED_BLOCKED_EXTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,No supplied contract fields
F360-GAP-001,government_incentives,CONTRACT_NOT_SUPPLIED,,REMAINS_BLOCKED,No supplied candidate,RETAINED_BLOCKED_EXTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,Unrelated to supplied paths
F360-GAP-002,government_services,CONTRACT_NOT_SUPPLIED,,REMAINS_BLOCKED,No supplied candidate,RETAINED_BLOCKED_EXTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,Unrelated to supplied paths
F360-GAP-003,chemical_permits,CONTRACT_NOT_SUPPLIED,,REMAINS_BLOCKED,No supplied candidate,RETAINED_BLOCKED_EXTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,Unrelated to supplied paths
F360-GAP-004,customs_exemptions,CONTRACT_NOT_SUPPLIED,,REMAINS_BLOCKED,No supplied candidate,RETAINED_BLOCKED_EXTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,Unrelated to supplied paths
F360-GAP-006,document_retrieval,CONTRACT_NOT_SUPPLIED,,REMAINS_BLOCKED_OR_INTERNAL,No supplied candidate,RETAINED_BLOCKED_OR_INTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,Unrelated to supplied paths
F360-GAP-007,image_retrieval,CONTRACT_NOT_SUPPLIED,,REMAINS_BLOCKED_OR_INTERNAL,No supplied candidate,RETAINED_BLOCKED_OR_INTERNAL,apps/web/src/lib/integrations/senaei/adapters/factory360.ts,F360 integration gaps,Unrelated to supplied paths
