Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Complince,2,Regulation Management,MVP1-M09-001,AC-0449,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Governed effective dates, private attachments, draft edit, successor/deactivation lifecycle, lineage, scoped audit and maker-checker publish are wired; M09 focused production-browser inventory 49/49 PASS on 2026-07-16.",MATCH,"Note confirms regulation lifecycle (draft edit, successor/deactivation, lineage, maker-checker publish) is wired, which encompasses admin create-and-manage of regulation records."
Complince,3,Inspection Item Management,MVP1-M09-002,AC-0450,"[audit] createItem links clause, response preset, evidence preset, weight; stored active in inspection_items",MATCH,"Note confirms createItem links clause/response/evidence/weight and items are stored active, matching 'configured and reused'."
Complince,4,Violation Management,MVP1-M09-003,AC-0451,[audit] createViolationCode stores code/title/level(severity)/clause/active_from; item NC-mapping links to item,NEEDS_REVIEW,Note only confirms violation-code configuration and item-to-code linkage; it does not confirm that a violation is actually triggered correctly at runtime.
Complince,5,Penalty Management,MVP1-M09-004,AC-0452,[audit] createPenaltyMapping: penalty_ref/legal_basis/mapping_version/range/repeat; unique violation_code_id enforces one penalty,NEEDS_REVIEW,Note confirms the penalty mapping is linked via a unique-per-violation-code constraint but says nothing about the penalty being displayed correctly.
Complince,6,Evidence Rule Configuration,MVP1-M09-005,AC-0453,[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Package authoring supports inherited/none/photo/video/document/comment evidence rules with governed validation and runtime projection; M09 focused inventory 49/49 PASS.,MATCH,"Note explicitly states evidence rules have governed validation with runtime projection, matching 'enforced correctly'."
Complince,7,Report Package Management,MVP1-M09-006,AC-0454,[audit] NewDraftForm+DraftEditor build package definition (sections/items/action_forms) selectable at prep,NEEDS_REVIEW,"Note confirms package definitions can be created and are selectable at prep, but does not confirm the package is actually used during execution."
Complince,8,Package Item Assignment,MVP1-M09-007,AC-0455,"[audit] DraftEditor add/remove items, section=category, array order; package-item relationship stored (per-item req/opt is section-level)",NEEDS_REVIEW,Note describes item add/remove and storage of the package-item relationship but does not confirm the checklist renders correctly.
Complince,9,Dynamic Template Assignment,MVP1-M09-008,AC-0456,[audit] package_versions carry version_label+definition; visit locks version reference (M09-030),MATCH,"Note states the visit locks the version reference, confirming the correct template/version is used at runtime."
Complince,10,Action Form Trigger Configuration,MVP1-M09-009,AC-0457,[audit] response_model.mapping.non_compliant.action_form + runtime formRequired generates form on trigger,MATCH,"Note explicitly states the runtime generates the form on trigger, matching 'correct action form is generated'."
Complince,11,Configuration Versioning,MVP1-M09-010,AC-0458,[audit] approveAndPublish flips draft→published; trg_guard_pkg makes published immutable (B1-EV-001),NEEDS_REVIEW,Note confirms published packages become immutable but does not confirm that previously run inspections remain traceable to their original configuration version.
