error_id,domain,scenario,trigger,response,state_result,audit,recoverable,scope
ERR-PLN-001,Planning,Invalid criteria,Planner enters unsupported/invalid condition,Show exact invalid rule; preserve draft,No search executed,Audit validation,No,MVP1
ERR-PLN-002,Planning,No target factories,Valid search returns none,Show empty state and criteria summary,No plan change,Optional,Yes,MVP1
ERR-ASG-001,Assignment,Inspector conflict,Capacity/availability/overlap failure,Show conflict and alternatives,No assignment applied,Audit attempted assignment,Yes,MVP1
ERR-PUB-001,Publish,Package unavailable,Selected package not published/effective,Block publish and link to package issue,Plan remains draft/validated,Audit blocker,No,MVP1
ERR-GEO-001,Journey,GPS accuracy below threshold,Device reports weak accuracy,Show accuracy and retry/override path,No check-in unless approved,Geo event,Yes,MVP1
ERR-GEO-002,Journey,Outside geofence,Observed location fails rule,Block normal check-in; request governed override,Journey remains arrived/on journey,Geo/audit event,Yes,MVP1
ERR-PKG-001,iPad,Package integrity failure,Signature/hash/version validation fails,Quarantine and re-download; do not open,No inspection start,Security audit,Yes,MVP1
ERR-OFF-001,Offline,Sync retry,Network interrupted,Keep queued operations; show status and retry,No duplicate side effect,Sync audit,Yes,MVP1
ERR-OFF-002,Offline,Version conflict,Server and local data diverge,Create explicit conflict; prohibit silent overwrite,Record remains conflict,Conflict audit,Yes with policy,MVP1
ERR-EVD-001,Evidence,Capture permission denied,Camera/file permission unavailable,Explain and route to settings/alternative,No false evidence record,Audit if material,Yes,MVP1
ERR-EVD-002,Evidence,Unsupported/oversize evidence,File violates policy,Reject with policy details; preserve inspection,No upload,Audit validation,Yes,MVP1
ERR-SUB-001,Submission,Mandatory blocker,Required field/evidence/action incomplete,Show blocker list and deep links,Remain In Progress,Audit validation,Yes,MVP1
ERR-SUB-002,Submission,Ambiguous retry,Client retries after timeout,Use idempotency key; return existing result if completed,No duplicate submission/version,Audit idempotency,Yes,MVP1
ERR-REV-001,Review,Missing return scope,Reviewer selects Return without sections/reason,Block decision,Remain Under Review,Audit validation,Yes,MVP1
ERR-VIR-001,Virtual,OTP provider unavailable,Verification cannot complete,Show retry/reschedule/escalation; do not bypass,Remain Joined/Unverified,Provider/audit event,Yes,MVP1
ERR-OPS-001,Operations,Widget/service failure,One data service unavailable,Isolate failed widget and show stale/error state,Other widgets remain usable,Monitoring event,Yes,MVP1
ERR-AUTH-001,Security,Unauthorized action,Role attempts restricted operation,Deny with safe message,No mutation,Security audit,No,MVP1
