requirement_id,chunk,requirement,target_route_or_module,shared_reuse,implementation_status,functional_verification,evidence_reference,last_updated_at
F360IPAD-ENTRY-001,1,"Entry from assigned visit / immediate / search / map / notification / report / risk / compliance resolving CR+license+plant","/field/factory-360 resolver + field/[visitId] link + ShellClient field href rewrite","/api/shell/search + planning/immediate handoff",CODE_COMPLETE,"typecheck+build PASS; static contract (resolver handles factory/license/plant/cr/license_no/cr_no; visit exposes entry; field search rewrite). Live runtime pending seeded staging",factory360-ipad-field.spec.ts,2026-07-20
F360IPAD-SEARCH-002,1,"Search CR/unified/license/plant/factory opens correct CR+license","ShellClient rewrite to /field/factory-360 on field channel","/api/shell/search (already resolves all 5)",FUNCTIONALLY_VERIFIED,"build PASS; web base resolver already covers all 5; field rewrite verified",ShellClient.tsx,2026-07-20
F360IPAD-NATIVE-003,2,"Field-native touch F360 (header, context, readiness, profile); portrait+landscape; RTL/LTR; honest states","/field/factory-360/[id]/page.tsx (+ module.css)","lib/factory360/dossier.ts",CODE_COMPLETE,"typecheck+build PASS; route dynamic; legacy-* tokens + CSS logical props; honest permission/not-found/degraded/empty states rendered",page.tsx,2026-07-20
F360IPAD-SWITCH-004,3,"License switching refreshes all sections without leaving F360; no leakage","/field/factory-360/[id]?license= strip","dossier loader keyed by licenseId",CODE_COMPLETE,"build PASS; ?license= links re-render full server projection per selected license",page.tsx,2026-07-20
F360IPAD-OFFLINE-005,4,"Permission-filtered versioned read-only snapshot; honest Offline/Stale; failed refresh keeps prior; separate from inspection send-queue","lib/factory360/offline-snapshot.ts + /api/field/factory-360/snapshot + Factory360Offline island","SEPARATE IndexedDB mim-field-f360-v1; loadFactory360Dossier(withSignedUrls:false)",CODE_COMPLETE,"typecheck+build PASS; static contract: separate IDB (not inspection send-queue), perm-filtered, no signed URLs offline, catch-branch never overwrites cache. Live offline device test pending",offline-snapshot.ts,2026-07-20
F360IPAD-COMPLIANCE-006,5,"Compliance rate/trend, reports latest+history, returned/rejected visible-excluded, violations, penalties; no visits in compliance","/field/factory-360/[id]","lib/factory360/compliance.ts + dossier loader",CODE_COMPLETE,"build PASS; identical calc to web via shared loader; contract test reproduces formula",page.tsx,2026-07-20
F360IPAD-RISK-007,6,"Same risk score/band/model/factors/history; AI advisory over saved output only","/field/factory-360/[id] + ContextualAiPanel","dossier loader risk block",CODE_COMPLETE,"build PASS; reuses ContextualAiPanel surface=factory_risk_explanation; view_risk_details gated",page.tsx,2026-07-20
F360IPAD-INDUSTRIAL-008,7,"Products/machines/spare-parts/materials, HS-12, ISIC, units, production, historical; Official vs Observed separate","/field/factory-360/[id]","dossier loader lines + observedComparison",CODE_COMPLETE,"build PASS; observed = immutable approved snapshot, never overwrites master",page.tsx,2026-07-20
F360IPAD-GOV-009,8,"Read-only government records; exclude pending/returned/rejected; SENAEI_API_CONTRACT_NOT_SUPPLIED; one failure does not blank page","/field/factory-360/[id]","dossier loader government + per-domain isolation",CODE_COMPLETE,"build PASS; excluded statuses filtered in loader; gap code in snapshot route; degraded badges per section",page.tsx,2026-07-20
F360IPAD-DOCS-010,9,"Permission-filtered docs/images/evidence grouped; download; evidence stays linked to inspection; advisory OCR link; defer offline","/field/factory-360/[id]","dossier loader docs/media + downloadUrls/mediaUrls",CODE_COMPLETE,"build PASS; official gallery vs linked-evidence separated; OCR link per evidence; signed URLs online-only",page.tsx,2026-07-20
F360IPAD-ACTIONS-011,10,"Open map/nav, risk explanation, view docs, start/resume/create inspection preserving context, export/share PDF, return to origin","/field/factory-360/[id] sticky action bar","planning/immediate?factory=&cr=&license=&returnTo=",CODE_COMPLETE,"build PASS; geo: nav, create-inspection handoff w/ returnTo, export button, return-to-visit",page.tsx,2026-07-20
F360IPAD-PDF-012,11,"Reuse shared permission-filtered export projection; no iPad-only report","/field/factory-360/[id] Factory360ExportButton","reused web Factory360ExportButton",CODE_COMPLETE,"build PASS; same export component as web (print of permission-filtered DOM)",page.tsx,2026-07-20
F360IPAD-RBAC-013,12,"Enforce 6 permissions via route/server/RLS/storage/offline scope/export filtering; hidden controls != authorization","/field/factory-360/[id] + snapshot route","lib/factory360/permissions.ts + has_permission RPC + RLS",CODE_COMPLETE,"build PASS; resolveFactory360Permissions gate on page+route; snapshot omits sections by permission; server-enforced not hidden-only",permissions.ts,2026-07-20
F360IPAD-PARITY-014,13,"Web-iPad identical business data/calc/permissions/ids/versions; only layout/density/touch/offline/action-placement differ","FACTORY_360_PLATFORM_PARITY_LEDGER.csv","shared dossier loader = structural parity",FUNCTIONALLY_VERIFIED,"22 parity rows STRUCTURAL_VERIFIED; contract test 16/16 invariants pass (both pages render one loader; iPad does not re-query/re-calc)",FACTORY_360_PLATFORM_PARITY_LEDGER.csv,2026-07-20
F360IPAD-NONREG-015,0,"Existing Inspector field surface must not break","additive route + additive IndexedDB namespace","mim-field-v1 + lib/offline.ts UNTOUCHED",FUNCTIONALLY_VERIFIED,"typecheck 0 + full build PASS (all existing field/visit/inspection routes compile); offline engine file unmodified; only additive files + 2 additive links (visit entry, ShellClient href rewrite)",build log,2026-07-20
F360IPAD-EXTRACT-016,2,"Lift inline web dossier projection into shared lib/factory360/dossier.ts","lib/factory360/dossier.ts","web factories/cr/[id] refactored to consume it",FUNCTIONALLY_VERIFIED,"typecheck 0 + build PASS; web dossier renders through shared loader unchanged; web contract test intact",dossier.ts,2026-07-20
