path,purpose
ACCEPTANCE_CHECKLIST_CD-012-019.md,"rubric evidence"
CAPTURE_MANIFEST_CD-012-019.csv,"raster dims + SHA-256 per frame"
CD-012-019 Admin Control Plane.dc.html,"MASTER interactive harness — 8 screens x 95 states x EN/AR x dark/light x 1440/1024/412"
CLAUDE_CODE_HANDOFF_CD-012-019.md,"non-executable controlled application order"
COMPONENT_MAP_CD-012-019.csv,"design → code component/selector map with dispositions"
RESEARCH_PROVENANCE_CD-012-019.md,"A9.5 citations"
STATE_MATRIX_CD-012-019.csv,"95 states across 8 screens"
WIRING_MAP_CD-012-019.csv,"action/state wiring, proven vs intent, no invented names"
cd12-register.js,"CD-012 registry adapter"
cd12.js,"CD-012 render (R2 engine, config_versions maker-checker)"
cd13.js,"CD-013 Workflow designer render"
cd14.js,"CD-014 Risk configuration render"
cd15.js,"CD-015 GIS & geofence studio render"
cd16.js,"CD-016 Notification & SLA rules render"
cd17.js,"CD-017 Roles & permissions render"
cd18.js,"CD-018 Localization studio render"
cd19.js,"CD-019 Audit trail browser render"
cdm-common.js,"shared kit: frozen shell, truth tiers, approval grammar, table/banner/state builders"
cdm-frame.css,"theme scopes + all screen component classes"
cdm-stage.js,"master stage web component"
export.html,"self-contained evidence export page (inlined CSS; setFrame(screen,state,lang,theme,width); smokeTest())"
runtime-truth-ledger.md,"stated spine + blocked-seam registry + candidate matrices"
saqeel-retired-predecessor.css,"frozen retired predecessor component library"
saqeel-tokens.css,"frozen DEC-011 tokens"
source-receipt.md,"per-screen source reliance + honesty gate"
support.js,"DC runtime"
final/CD-012_SCR-ADM-050_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-012_SCR-ADM-050_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-012_SCR-ADM-050_primary_light_en.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-013_SCR-ADM-051_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-013_SCR-ADM-051_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-013_SCR-ADM-051_primary_dark_ar.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-014_SCR-ADM-060_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-014_SCR-ADM-060_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-014_SCR-ADM-060_primary_light_ar.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-015_SCR-ADM-070_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-015_SCR-ADM-070_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-015_SCR-ADM-070_primary_dark_en_1024.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-016_SCR-ADM-080_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-016_SCR-ADM-080_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-016_SCR-ADM-080_primary_dark_ar.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-017_SCR-ADM-090_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-017_SCR-ADM-090_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-017_SCR-ADM-090_primary_light_en.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-018_ADM-LOCALIZATION_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-018_ADM-LOCALIZATION_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-018_ADM-LOCALIZATION_primary_dark_ar_412.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-019_ADM-AUDIT_outlier.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-019_ADM-AUDIT_primary.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
final/CD-019_ADM-AUDIT_primary_dark_ar.png,"evidence frame (watermarked, uncropped, scale-to-fit)"
