"source_id","inventory_kind","source_name","status","route","web_nodes","equivalence_pass","mapping_basis","reason"
"269:54928","form_or_screen_state","Establishment Details","shared_duplicate","/field/establishments","450:68977|450:69137|450:69206|450:72509|450:72711|450:75344|450:75628|457:70525|457:70702|457:71041|457:71162|457:71493|457:71611|457:71699|457:71813|459:57004|459:57097|459:57215|459:57305|502:71936","true","canonical establishment route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"416:31631","form_or_screen_state","Establishment Details","shared_duplicate","/field/establishments","450:68977|450:69137|450:69206|450:72509|450:72711|450:75344|450:75628|457:70525|457:70702|457:71041|457:71162|457:71493|457:71611|457:71699|457:71813|459:57004|459:57097|459:57215|459:57305|502:71936","true","canonical establishment route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"292:21350","form_or_screen_state","Inspection Items","web_node","/field/inspection/[id]","549:67723|555:83|558:163","true","exact source ID annotation","exact_source_id_annotated_responsive_web_screen"
"292:25578","modal","Modal","shared_duplicate","cross-route","349:252","true","registered shared component plus fresh component signature","source screen chrome_or_overlay_collapsed_to_shared_web_component"
"296:15894","form_or_screen_state","Establishment Management","shared_duplicate","/field/establishments","450:68977|450:69137|450:69206|450:72509|450:72711|450:75344|450:75628|457:70525|457:70702|457:71041|457:71162|457:71493|457:71611|457:71699|457:71813|459:57004|459:57097|459:57215|459:57305|502:71936","true","canonical establishment route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"301:97307","form_or_screen_state","Establishment Management","shared_duplicate","/field/establishments","450:68977|450:69137|450:69206|450:72509|450:72711|450:75344|450:75628|457:70525|457:70702|457:71041|457:71162|457:71493|457:71611|457:71699|457:71813|459:57004|459:57097|459:57215|459:57305|502:71936","true","canonical establishment route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"360:30151","form_or_screen_state","Summons Notice","shared_duplicate","/field/summons-notices","432:48326|432:48327|432:48328|432:48329","true","canonical summons route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"361:44295","form_or_screen_state","Non-Compliant Products Destruction Report","shared_duplicate","/field/destruction-reports","336:45787","true","canonical destruction route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"362:38115","form_or_screen_state","Non-Compliant Products Destruction Report","shared_duplicate","/field/destruction-reports","336:45787","true","canonical destruction route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
"362:53901","form_or_screen_state","Non-Compliant Products Destruction Report","shared_duplicate","/field/destruction-reports","336:45787","true","canonical destruction route/state screen group","ipad_static_state_collapsed_into_canonical_responsive_web_screen_group"
