preservation_id,surface,view_or_group,element,source_behavior,target_route,requirement_link,acceptance_id,production_data_rule,preservation_status
WA-SP-001,Shell,Brand,Arabic mark plus SAQEEL and Arabic Platform wordmark,Fixed brand block with collapsible rail,GLOBAL_SHELL,CR-001..CR-478,WA-SHELL-AC-001,Approved runtime assets only,PRESERVE
WA-SP-002,Shell,Sidebar,Overview options and order,Dashboard then Operations Center then Factory 360,GLOBAL_SHELL,CR-001..CR-478,WA-SHELL-AC-002,Permission filtering only,PRESERVE
WA-SP-003,Shell,Sidebar,Operations hierarchy,Planning then Inspection group with Execution and Review & Approval,GLOBAL_SHELL,CR-001..CR-409,WA-SHELL-AC-002,Permission filtering only,PRESERVE
WA-SP-004,Shell,Sidebar,Compliance options and order,Compliance Library then Approval Queue then Enforcement Library,GLOBAL_SHELL,CR-357..CR-478,WA-SHELL-AC-002,Permission filtering only,PRESERVE
WA-SP-005,Shell,Sidebar,Insights option,Analytics,GLOBAL_SHELL,CR-410..CR-448,WA-SHELL-AC-002,Permission filtering only,PRESERVE
WA-SP-006,Shell,Sidebar,Administration pin and six options,Pinned bottom hub with fixed labels and order,GLOBAL_SHELL,CR-001..CR-478,WA-SHELL-AC-002,Security-admin permission filtering,PRESERVE
WA-SP-007,Shell,Top bar,Global search,Search factories visits and inspections with RLS scope,GLOBAL_SHELL,CR-001..CR-478,WA-SHELL-AC-003,Real authorized search only,PRESERVE
WA-SP-008,Shell,Top bar,Date and region controls,Last 30 days and All Regions presentation with governed choices,GLOBAL_SHELL,CR-001..CR-478,WA-SHELL-AC-003,No fabricated options,PRESERVE
WA-SP-009,Shell,Top bar,Theme notifications AI and account controls,Interactive accessible controls with truthful unavailable states,GLOBAL_SHELL,CR-001..CR-478,WA-SHELL-AC-003,Provider and AI fail closed,PRESERVE
WA-SP-010,Dashboard,Perspective selector,Strategic View then Operational View,Two primary dashboard perspectives,/dashboard,CR-430..CR-448,WA-SHELL-AC-004,RLS-scoped values,PRESERVE
WA-SP-011,Dashboard,Strategic National Performance,Inspection Coverage Against Annual Target,Formula and example presentation plus Planning action,/dashboard,CR-430..CR-448,WA-SHELL-AC-005,Governed formula and configured target; fixture not live,PRESERVE
WA-SP-012,Dashboard,Strategic National Performance,National Compliance Rate,Formula and example presentation plus Analytics action,/dashboard,CR-430..CR-448,WA-SHELL-AC-005,Canonical compliance formula wins DEC-028 conflict,PRESERVE_WITH_GOVERNED_FORMULA
WA-SP-013,Dashboard,Strategic National Performance,Inspection Approval Rate,Formula and example presentation plus Review action,/dashboard,CR-357..CR-448,WA-SHELL-AC-005,Real submitted and approved denominators,PRESERVE
WA-SP-014,Dashboard,Strategic Intelligence,Compliance Performance Explorer,Region City Sector and Authority lenses with one formula,/dashboard,CR-410..CR-448,WA-SHELL-AC-006,RLS-scoped grouped data,PRESERVE
WA-SP-015,Dashboard,Strategic Intelligence,Top Violated Regulations,Grouped violation count and Compliance Library action,/dashboard,CR-410..CR-478,WA-SHELL-AC-005,Real governed violations only,PRESERVE
WA-SP-016,Dashboard,Strategic Intelligence,Critical Factories Requiring Intervention,Critical risk or critical violation count and Factory 360 action,/dashboard,CR-410..CR-448,WA-SHELL-AC-005,Unavailable until risk policy/source supports it,PRESERVE_FAIL_CLOSED
WA-SP-017,Dashboard,Strategic Intelligence,Factories Pending Annual Inspection,Active eligible factories without completed annual inspection and Planning action,/dashboard,CR-001..CR-098;CR-410..CR-448,WA-SHELL-AC-005,Eligibility and cycle remain governed,PRESERVE_FAIL_CLOSED
WA-SP-018,Dashboard,National Trends,Enforcement Action Trend,Quarter comparison trend and interpretation,/dashboard,CR-430..CR-478,WA-SHELL-AC-006,Real period counts only,PRESERVE
WA-SP-019,Dashboard,Executive Priorities,Executive AI Brief,Prominent brief with evidence-linked result,/dashboard,CR-430..CR-448,WA-SHELL-AC-007,Fail closed when AI or evidence unavailable,PRESERVE_FAIL_CLOSED
WA-SP-020,Dashboard,Operational AI,Operational AI Priorities,Prominent capacity and SLA brief,/dashboard,CR-001..CR-098;CR-430..CR-448,WA-SHELL-AC-007,Fail closed when AI SLA or evidence unavailable,PRESERVE_FAIL_CLOSED
WA-SP-021,Dashboard,Today's Operations,Today's Planned Visits,Count and Planning action,/dashboard,CR-001..CR-098,WA-SHELL-AC-005,Real scheduled visits only,PRESERVE
WA-SP-022,Dashboard,Today's Operations,Today's Visit Completion Rate,Completed divided by planned and Planning action,/dashboard,CR-001..CR-098,WA-SHELL-AC-005,Canonical terminal-state decision required,PRESERVE_FAIL_CLOSED
WA-SP-023,Dashboard,Execution Status,Active Field Inspections,In-progress inspection count and Operations action,/dashboard,CR-099..CR-336;CR-430..CR-448,WA-SHELL-AC-005,Read-only shared backend; no Field implementation,PRESERVE
WA-SP-024,Dashboard,Execution Status,Overdue Planned Visits,Planned-date and terminal-state filter plus Planning action,/dashboard,CR-001..CR-098,WA-SHELL-AC-005,Configured calendar and terminal states only,PRESERVE_FAIL_CLOSED
WA-SP-025,Dashboard,Approvals,Inspection Reports Awaiting Approval,Submitted awaiting Level 2 decision and Review action,/dashboard,CR-357..CR-409,WA-SHELL-AC-005,Real immutable submissions only,PRESERVE
WA-SP-026,Dashboard,Approvals,Returned Inspection Reports,Returned report count and Execution oversight action,/dashboard,CR-357..CR-409,WA-SHELL-AC-005,Real governed transitions only,PRESERVE
WA-SP-027,Dashboard,Operational Exceptions,High-Priority Visits Pending Execution,Planned high or critical risk not executed and Planning action,/dashboard,CR-001..CR-098;CR-410..CR-448,WA-SHELL-AC-005,Risk model and execution status must be governed,PRESERVE_FAIL_CLOSED
WA-SP-028,Dashboard,Inspector Capacity,Assigned visit distribution,Planned plus in-progress capacity bars,/dashboard,CR-001..CR-098;CR-430..CR-448,WA-SHELL-AC-006,RLS-scoped assignments only,PRESERVE
WA-SP-029,Operations Center,Primary views,Operations Map then National Performance,Two primary tabs in fixed order,/operations,CR-430..CR-448,WA-SHELL-AC-008,Real authorized map and aggregate services,PRESERVE
WA-SP-030,Operations Center,Map,Region zoom and factory/inspector pins,Interactive map with accessible fallback and detail drawers,/operations,CR-410..CR-448,WA-SHELL-AC-008,Mapbox/provider fail closed and RLS scoped,PRESERVE
WA-SP-031,Operations Center,Operational Summary,Five KPI cards,Active Visits; On the Way; Executing; Submitted Today; Active Alerts,/operations,CR-430..CR-448,WA-SHELL-AC-009,Real lifecycle and alert records only,PRESERVE
WA-SP-032,Operations Center,Operational Highlights,Live Highlights list,Priority indicator time description and related-record action,/operations,CR-430..CR-448,WA-SHELL-AC-009,Real evidence-linked alerts only,PRESERVE
WA-SP-033,Operations Center,Drawers,Inspector detail drawer,Inspector visit factory timing package and status details with handoffs,/operations,CR-001..CR-448,WA-SHELL-AC-009,RLS and field privacy apply,PRESERVE
WA-SP-034,Operations Center,Drawers,Factory quick card,Compliance performance status and Factory 360 handoff,/operations,CR-410..CR-448,WA-SHELL-AC-009,Real dossier summary only,PRESERVE
WA-SP-035,Factory 360,Layout,Three-column dossier,Portfolio navigation; dossier center; sticky AI/provenance rail,/factories/:id,CR-410..CR-429,WA-SHELL-AC-010,Canonical projection only,PRESERVE
WA-SP-036,Factory 360,Portfolio,CR portfolio summary and license cards,Factory count risk violations penalties and selectable licence context,/factories/:id,CR-410..CR-429,WA-SHELL-AC-010,Real authorized CR/licence data,PRESERVE
WA-SP-037,Factory 360,Header,Selected factory context and actions,CR licence region opened-from/reason fields plus Create Inspection Map and PDF actions,/factories/:id,CR-001..CR-098;CR-410..CR-429,WA-SHELL-AC-011,Actions use governed routes permissions and providers,PRESERVE
WA-SP-038,Factory 360,Snapshot,Overall condition and eight summary facts,Reasons risk compliance inspection age violations penalties employees products machines,/factories/:id,CR-410..CR-429,WA-SHELL-AC-011,No inferred risk or workforce values,PRESERVE_FAIL_CLOSED
WA-SP-039,Factory 360,Compliance,Reports violations penalties and trends,Expandable immutable report history evidence approval and trend details,/factories/:id,CR-357..CR-429,WA-SHELL-AC-011,Canonical submissions and audit only,PRESERVE
WA-SP-040,Factory 360,Profile,Identity location contacts and image galleries,Expandable profile with permission-aware contact and evidence access,/factories/:id,CR-410..CR-429,WA-SHELL-AC-011,Privacy masking and signed access apply,PRESERVE
WA-SP-041,Factory 360,Industrial Information,Products machines materials workforce and production,Expandable source-labelled industrial facts,/factories/:id,CR-410..CR-429,WA-SHELL-AC-011,Provider provenance and fail-closed fields,PRESERVE
WA-SP-042,Factory 360,Government Information,Land permit exemption services and incentives,Expandable source-labelled government facts,/factories/:id,CR-410..CR-429,WA-SHELL-AC-011,Provider provenance and fail-closed fields,PRESERVE
WA-SP-043,Factory 360,Documents,Grouped preview and download,Licence permits reports certificates and support documents,/factories/:id,CR-410..CR-429,WA-SHELL-AC-011,Authorized signed access and audit,PRESERVE
WA-SP-044,Factory 360,Timeline,Selected Licence and All CR modes,Chronological licence product service incentive inspection violation and penalty history,/factories/:id,CR-410..CR-429,WA-SHELL-AC-011,Canonical event and audit sources,PRESERVE
