image,declared_native_css,measured_px_dimensions,theme,language,role,state,fixture_status,sha256,path
CD-004_SCR-ADM-001_R2B_ar_dark_1440.png,1440x1024 CSS native,1440x1024,dark,ar,compliance_admin,"populated + degraded-one-source (Enforcement read unavailable)","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",41d96081850ca8fbb2b1052602c3ea5f25a80ba194e5e36d4234ae52d1a2fca3,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_ar_dark_1440.png
CD-004_SCR-ADM-001_R2B_ar_light_1440.png,1440x1024 CSS native,1440x1024,light,ar,compliance_admin,"identical state","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",835801b6e050618f4eccf3ba737f0a860bb937bfa2f9784c7be31943df45a991,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_ar_light_1440.png
CD-004_SCR-ADM-001_R2B_en_dark_1440.png,1440x1024 CSS native,1440x1024,dark,en,compliance_admin,"identical state","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",f0ab9872a129d08bcd189c7f7fa4366e3e79335ffd943701d7b9a39d9db745c1,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_en_dark_1440.png
CD-004_SCR-ADM-001_R2B_en_light_1440.png,1440x1024 CSS native,1440x1024,light,en,compliance_admin,"identical state","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",10096f3c38291d2488897aed95eb37cb2ca9257bf466532824800beb3f35d8ea,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_en_light_1440.png
CD-004_SCR-ADM-001_R2B_ar_1024.png,1024x398 CSS native,1024x398,dark,ar,compliance_admin,"identical state — constrained desktop 1024","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",967e20ee4aa7aa2023cabd6bf99f18513b964915d698431b87b757e231d398f3,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_ar_1024.png
CD-004_SCR-ADM-001_R2B_en_1024.png,1024x388 CSS native,1024x388,dark,en,compliance_admin,"identical state — constrained desktop 1024","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",0e6ef628b17cadf5ddd6b4ec0cff69560b98e7c0dd1a676447040f59aff3858b,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_en_1024.png
CD-004_SCR-ADM-001_R2B_closeup.png,760x242 CSS native,760x242,dark,en,n/a,"decision-zone close-up (row anatomy)","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",5f38723b69cb4e2c18988d785022f259f1bb433df6764e953c35224fd7b9afea,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_closeup.png
CD-004_SCR-ADM-001_R2B_counterfactual.png,640x220 CSS native,640x220,dark,en,n/a,"counterfactual — spine removed","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",cc487c22f4702356dcdcb83c3bd8fc537644f912342b62d72eeebddac2ee8813,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_counterfactual.png
CD-004_SCR-ADM-001_R2B_hard_states.png,1600x836 CSS native,1600x836,dark,ar+en,mixed,"all matrix states: loading, populated (ref r2e-r2j + representative row), verified zero, degraded AR+EN, recovery AR+EN, total failure, unauthorized, read-only+stale; offline/sync NOT_APPLICABLE","DESIGN FIXTURE — NOT RUNTIME EVIDENCE (in-frame)",91e1b53bb22ce09adb2413ab4fbc909d07bff9c0ccd5c7c0f6a7f71156a5a831,outputs/claude-design-approval-pack/admin-control-plane-suite/cd-004-r2b/CD-004_SCR-ADM-001_R2B_hard_states.png
# capture fonts: Google-hosted Space Grotesk / IBM Plex Sans Arabic / JetBrains Mono; offline reproduction fallback: system-ui sans + monospace. Measured dimensions are the actual pixel dimensions of each file (1 CSS px = 1 px, calibration-verified k=1).
