element,value_or_type,source,exact_columns,disposition
item row,text/enums,current,inspection_items(code,title,active,score_weight,response_model,evidence_rule,clause_id),current
guidance,text,current,guidance_en/guidance_ar,current(may not project)
score exclusion,flag,current,score_excluded_on,current
create,action,current,createItem,current
toggle active,action,current,toggleItemActive,current
duplicate code,constraint,current,UNIQUE code,current
package-usage count,none,NONE,none,HANDOFF_BLOCKED
item edit/version,none,NONE,none,HANDOFF_BLOCKED
item audit trigger,none,NONE,none,HANDOFF_BLOCKED
conditional-rule authoring,none,NONE,none,HANDOFF_BLOCKED
