process_id,journey,primary_personas,channels,screen_ids,storyboards,engines,code_areas
P00,Pre-Day-Zero configuration,"Compliance Admin; Form Admin; Workflow Admin; Risk Owner; GIS Admin; Security Admin",Admin,"SCR-ADM-001;SCR-ADM-010;SCR-ADM-011;SCR-ADM-020;SCR-ADM-030;SCR-ADM-031;SCR-ADM-040;SCR-ADM-041;SCR-ADM-050;SCR-ADM-051;SCR-ADM-060;SCR-ADM-070;SCR-ADM-080;SCR-ADM-090","SB03;SB13;SB18","ENG-01;ENG-02;ENG-03;ENG-04;ENG-06;ENG-08;ENG-11;ENG-12",apps/web/src/app/admin
P01,Targeting and planning method,Planner,Web,"SCR-WEB-100;SCR-WEB-110;SCR-WEB-120;SCR-WEB-130","SB04","ENG-04;ENG-06;ENG-12",apps/web/src/app/planning
P02,Visit design and assignment,Planner,Web,SCR-WEB-140,"SB04;SB05","ENG-02;ENG-03;ENG-05;ENG-06;ENG-11;ENG-12",apps/web/src/app/planning
P03,Publish and operational management,"Planner; Operations; Branch Manager",Web,"SCR-WEB-150;SCR-WEB-200;SCR-WEB-210","SB04;SB05","ENG-03;ENG-05;ENG-11;ENG-12","apps/web/src/app/planning;apps/web/src/app/visits"
P04,Inspector startup pack,Inspector,iPad,"SCR-IPAD-600;SCR-IPAD-610",SB06,"ENG-02;ENG-06;ENG-10;ENG-11;ENG-12","apps/web/src/app/field;apps/web/src/components/field"
P05,Execution mode gate,"Inspector; System","iPad;Virtual","SCR-IPAD-610;SCR-VIR-700","SB06;SB09","ENG-03;ENG-06;ENG-10;ENG-12","apps/web/src/app/field/[visitId];apps/web/src/app/virtual"
P06A,Physical journey and check-in,"Inspector; Operations",iPad,SCR-IPAD-620,"SB07;SB14","ENG-03;ENG-06;ENG-10;ENG-11;ENG-12",apps/web/src/app/field/[visitId]
P06B,Virtual session and verification,"Inspector; Factory Representative","Virtual;Web","SCR-VIR-700;SCR-VIR-710;SCR-VIR-720",SB09,"ENG-03;ENG-07;ENG-11;ENG-12",apps/web/src/app/virtual
P07,Inspection execution,Inspector,"iPad;Virtual","SCR-IPAD-630;SCR-VIR-720","SB08;SB09;SB13","ENG-01;ENG-02;ENG-03;ENG-07;ENG-10;ENG-12",apps/web/src/app/field/inspection/[id]
P08,Evidence findings violations and actions,"Inspector; System","iPad;Virtual","SCR-IPAD-640;SCR-IPAD-650;SCR-VIR-720","SB08;SB15","ENG-01;ENG-02;ENG-06;ENG-07;ENG-08;ENG-12","apps/web/src/app/field/inspection/[id];apps/web/src/components/ImageAnnotator.tsx"
P09,Immutable submission,Inspector,iPad,SCR-IPAD-660,SB16,"ENG-03;ENG-07;ENG-09;ENG-10;ENG-11;ENG-12",apps/web/src/app/field/inspection/[id]
P10,Level 2 review and decision,Reviewer,Web,"SCR-WEB-300;SCR-WEB-310",SB10,"ENG-03;ENG-07;ENG-09;ENG-11;ENG-12",apps/web/src/app/reviews
P11,Return correction and resubmission,"Inspector; Reviewer","iPad;Web","SCR-IPAD-670;SCR-WEB-320","SB10;SB17","ENG-03;ENG-07;ENG-09;ENG-10;ENG-11;ENG-12","apps/web/src/app/field/inspection/[id];apps/web/src/app/reviews/[id]"
P12,Factory 360 and operations update,"Planner; Reviewer; Operations; Leadership",Web,"SCR-WEB-400;SCR-WEB-500","SB11;SB12","ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12","apps/web/src/app/factories;apps/web/src/app/operations"
