design_ac_id,screen_id,process_id,channel,design_outcome,required_evidence,status,reviewer,notes
DSG-001,SCR-ADM-001,P00,Admin,Control-plane home exposes engine health drafts approvals dependencies and audit,"dark/light EN/AR desktop; component/state annotations",not_started,,
DSG-002,SCR-ADM-010,P00,Admin,Regulation library supports search filtering versions lifecycle and empty/error states,"desktop states; keyboard table proof",not_started,,
DSG-003,SCR-ADM-011,P00,Admin,Regulation detail makes clauses mappings dependencies versions and lock state clear,"detail/locked/validation frames",not_started,,
DSG-004,SCR-ADM-020,P00,Admin,Inspection item semantics scoring evidence and clause mapping are comprehensible,"populated/error/read-only frames",not_started,,
DSG-005,SCR-ADM-030,P00,Admin,Package library distinguishes draft active scheduled and superseded versions,"library lifecycle frames",not_started,,
DSG-006,SCR-ADM-031,P00,Admin,Package designer integrates tree canvas inspector preview validation impact approval and publish,"golden screen; interaction annotations",not_started,,
DSG-007,SCR-ADM-040,P00,Admin,Violation catalogue communicates legal basis applicability level and lifecycle,"desktop EN/AR frames",not_started,,
DSG-008,SCR-ADM-041,P00,Admin,Penalty mapping and one-to-one cardinality are explicit and validated,"mapping/conflict frames",not_started,,
DSG-009,SCR-ADM-050,P00,Admin,Workflow library exposes object version status effective date and validation,"library states",not_started,,
DSG-010,SCR-ADM-051,P00,Admin,Workflow designer exposes states transitions roles guards SLA side effects simulation and publish,"golden screen; invalid graph states",not_started,,
DSG-011,SCR-ADM-060,P00,Admin,Risk configuration remains constrained reproducible versioned and source-labelled,"draft/test/published frames",not_started,,
DSG-012,SCR-ADM-070,P00,Admin,GIS settings support geometry threshold policy preview validation and publish,"map states; provider failure",not_started,,
DSG-013,SCR-ADM-080,P00,Admin,Notification/SLA configuration has an explicit reconciled logical surface,"route reconciliation; event/template/provider states",not_started,,
DSG-014,SCR-ADM-090,P00,Admin,Role matrix communicates permission data scope segregation conflicts and versioning,"matrix keyboard/RTL/unauthorized frames",not_started,,
DSG-015,SCR-WEB-100,P01,Web,Planning home makes Bulk Single Immediate and draft resume clear,"desktop dark/light EN/AR",not_started,,
DSG-016,SCR-WEB-110,P01,Web,Bulk criteria results and target selection remain understandable at enterprise density,"criteria/error/no-result/selection frames",not_started,,
DSG-017,SCR-WEB-120,P01,Web,Single planning combines search Factory360 map configuration and duplicate guard,"wizard and map states",not_started,,
DSG-018,SCR-WEB-130,P01,Web,Immediate planning distinguishes registered/unregistered minimum controls and authorization,"both branches; validation/unauthorized",not_started,,
DSG-019,SCR-WEB-140,P02,Web,Configuration assignment package mode and conflicts form one governed workspace,"route/ownership decision; equal-fidelity decision-zone hypotheses; populated + conflict + stale/concurrent + failure-preserved-input states; Arabic RTL; dark/light; narrow; keyboard/focus; wiring map",correction_required,outputs/claude-design-approval-pack/CD-024_DESIGN_REVIEW_R1.md,"R1 BLOCK 2026-07-14: runtime transaction/query-error truth, equal-fidelity/state evidence, frozen shell, user-copy separation, theme/RTL/narrow parity, keyboard semantics, direct-route authorization and research provenance require P1 correction; implementation remains blocked"
DSG-020,SCR-WEB-150,P03,Web,Review shows complete plan child visits blockers notifications and atomic publish,"ready/blocked/publishing/published",not_started,,
DSG-021,SCR-WEB-200,P03,Web,Visit workspace supports filters views map calendar workload bulk actions and partial failures,"dense desktop; constrained width; bulk failure",not_started,,
DSG-022,SCR-WEB-210,P03,Web,Visit detail integrates state factory assignment schedule package map timeline notes and actions,"detail state variants",not_started,,
DSG-023,SCR-WEB-300,P10,Web,Review queue enables SLA/risk/version/workload prioritization and claim behavior,"queue states and keyboard proof",not_started,,
DSG-024,SCR-WEB-310,P10,Web,Review workspace is immutable evidence-led and guards approve return reject,"golden screen; degraded evidence; decisions",not_started,,
DSG-025,SCR-WEB-320,P11,Web,Version comparison identifies all change types and navigates changed sections,"side-by-side RTL and non-color diff",not_started,,
DSG-026,SCR-WEB-400,P12,Web,Factory360 is a resilient source/freshness-aware dossier with isolated failures,"full dossier; one-widget failure",not_started,,
DSG-027,SCR-WEB-500,P12,Operations,Operations presents trustworthy KPIs map/list alerts SLA workload and drilldown,"dashboard/live-map/wallboard; stale/provider failure",not_started,,
DSG-028,SCR-IPAD-600,P04,iPad,Assignments prioritize today returned work urgency route and offline readiness,"1024x1366 portrait/landscape light/dark",not_started,,
DSG-029,SCR-IPAD-610,P04,iPad,Startup pack proves exact package readiness device checks factory context and eligibility,"golden screen; readiness failures",not_started,,
DSG-030,SCR-IPAD-620,P06A,iPad,Journey makes route ETA GPS accuracy geofence privacy and override truthful,"map/offline/poor-GPS/override frames",not_started,,
DSG-031,SCR-IPAD-630,P07,iPad,Inspection workspace supports touch-first sections progress guidance autosave blockers and recovery,"golden screen; offline/conflict/locked",not_started,,
DSG-032,SCR-IPAD-640,P08,iPad,Evidence capture exposes media metadata annotation compression lifecycle and sync truth,"capture/annotate/queue/retry/archive",not_started,,
DSG-033,SCR-IPAD-650,P08,iPad,Findings link clauses evidence violations penalties and blocking actions,"rule available/unavailable/action incomplete",not_started,,
DSG-034,SCR-IPAD-660,P09,iPad,Pre-submit review exposes blockers manifest sync acknowledgement and immutable result,"not-ready/online/offline/idempotent retry",not_started,,
DSG-035,SCR-IPAD-670,P11,iPad,Returned correction exposes reason exact unlocked sections immutable comments and version,"locked edit attempt/offline/resubmit",not_started,,
DSG-036,SCR-VIR-700,P06B,Virtual,Appointment/waiting room exposes participants readiness timing join reschedule and fallback,"desktop/tablet/low-bandwidth",not_started,,
DSG-037,SCR-VIR-710,P06B,Virtual,OTP verification exposes identity counters cooldown expiry lockout and audit,"all verification failure states",not_started,,
DSG-038,SCR-VIR-720,P06B,Virtual,Provider-neutral room supports governed session evidence checklist close and fallback without fake video,"provider-pending and adapter-ready frames",not_started,,
