storyboard_id,title,journeys,primary_screens,design_focus
SB01,Executive end-to-end,"P00-P12","all 38 governed screens",One coherent platform journey with visible handoffs
SB02,Persona experience atlas,"P00-P12","login;launch;role-specific shells",Human and system personas with responsibility boundaries
SB03,Compliance configuration Admin,P00,"SCR-ADM-001;010;011;020;030;031;040;041;050;051;060;070;080;090",Governed draft validate approve publish runtime lifecycle
SB04,Planning methods targeting and publishing,"P01;P02;P03","SCR-WEB-100;110;120;130;140;150",Bulk single immediate paths and publish blockers
SB05,Visit management workspace,P03,"SCR-WEB-200;SCR-WEB-210",Dense operational table map calendar workload and bulk actions
SB06,Inspector pre-start,"P04;P05","SCR-IPAD-600;SCR-IPAD-610",Touch-first readiness package integrity and diagnostics
SB07,Physical start journey,P06A,SCR-IPAD-620,Route ETA GPS accuracy geofence check-in and override
SB08,Execution workspace,"P07;P08","SCR-IPAD-630;640;650",Dynamic form progress evidence and blocking rules
SB09,Virtual execution,"P06B;P07;P08","SCR-VIR-700;710;720",Waiting identity OTP video shell evidence and fallback
SB10,Level 2 review and version control,"P10;P11","SCR-WEB-300;310;320",Immutable review selective return and comparison
SB11,Factory 360,P12,SCR-WEB-400,Resilient dossier history risk findings actions evidence and provenance
SB12,Operations Center,P12,SCR-WEB-500,Live operations map alerts SLA workload and fault isolation
SB13,Compliance runtime semantics,"P00;P07",Admin plus SCR-IPAD-630,Published configuration visibly drives runtime behavior
SB14,Journey telemetry and exceptions,P06A,SCR-IPAD-620,Accuracy stale route-deviation override privacy and recovery
SB15,Evidence violations penalties and actions,P08,"SCR-IPAD-640;SCR-IPAD-650",Chain of custody mapping cardinality and action blockers
SB16,Submission locking and version,P09,SCR-IPAD-660,Pre-submit proof idempotency immutable version and handoff
SB17,Returned correction and comparison,P11,"SCR-IPAD-670;SCR-WEB-320",Selective unlock immutable comments resubmission and diff
SB18,Admin information architecture,P00,"all SCR-ADM screens",Control-plane navigation dependencies impact and audit
SB19,Web and Inspector information architecture,"P01-P12","all SCR-WEB;SCR-IPAD;SCR-VIR screens",Shared terminology shells responsive and RTL behavior
SB20,Architecture integrations and security blueprint,"P00-P12","all screens",Provider truth labels RBAC audit sync events and evidence
