evidence_id,source_file,screen_journey_component,referenced_path,resolved_actual_path,truth_status,notes
EV-DESIGN-001,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P00 / SCR-ADM-001;SCR-ADM-031;SCR-ADM-051 (dark, populated, 1440x1024, EN/LTR)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-001;DSG-006;DSG-010 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-002,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P01;P02;P03 / SCR-WEB-100;SCR-WEB-140;SCR-WEB-150 (light, populated, 1440x1024, AR/RTL)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-015;DSG-019;DSG-020 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-003,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P04;P06A / SCR-IPAD-600;SCR-IPAD-610;SCR-IPAD-620 (light, offline/poor GPS/override, 1024x1366, EN/LTR)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-028;DSG-029;DSG-030 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-004,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P07;P08;P09 / SCR-IPAD-630;SCR-IPAD-640;SCR-IPAD-650;SCR-IPAD-660 (dark, populated/conflict/blocker, 1024x1366, AR/RTL)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-031..034 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-005,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P10;P11 / SCR-WEB-300;SCR-WEB-310;SCR-WEB-320 (dark, return/compare/approve, 1440x1024, EN/LTR)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-023..025 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-006,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P06B / SCR-VIR-700;SCR-VIR-710;SCR-VIR-720 (light, provider pending/OTP lockout/fallback, 1440x1024, AR/RTL)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-036..038 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-007,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"P12 / SCR-WEB-400;SCR-WEB-500 (dark, partial failure/projected map/stale, 1440x1024, EN/LTR)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-026;DSG-027 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-DESIGN-008,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"field-responsive / SCR-IPAD-600;SCR-IPAD-610;SCR-IPAD-620;SCR-IPAD-630 (light, landscape, 1366x1024, AR/RTL)",(blank in register),(none found),referenced-but-file-missing,"Register row has design_ac_ids DSG-028..031 and full metadata but artifact_path column is empty and review_status=pending; no capture exists yet."
EV-SHELL-001,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"shared-shell / SHARED-AUTH-SHELL — planner desktop EN dark, expanded",${INSPECTION_DOCS_ROOT}/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/shell-v1/planner-desktop-en-dark.png,product-contract/evidence/screens/shell-v1/planner-desktop-en-dark.png,present-but-registry-path-mismatch,"Same file is also tracked as SHELL-EV-002 in product-contract/evidence/EVIDENCE_STATUS.md. Physical PNG exists in-git at the resolved path; the register's INSPECTION_DOCS_ROOT path could not be verified in this sandbox (Desktop folder access denied) and screens/README.md says binaries should live only under INSPECTION_DOCS_ROOT, not git, so the in-git copy also violates documentation-storage policy. review_status=pending_sponsor_runtime_review."
EV-SHELL-002,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"shared-shell / SHARED-AUTH-SHELL — planner desktop EN dark, collapsed rail",${INSPECTION_DOCS_ROOT}/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/shell-v1/planner-desktop-en-collapsed.png,product-contract/evidence/screens/shell-v1/planner-desktop-en-collapsed.png,present-but-registry-path-mismatch,"Same file is also tracked as SHELL-EV-003 in product-contract/evidence/EVIDENCE_STATUS.md. Physical PNG exists in-git at the resolved path; register's documented path (INSPECTION_DOCS_ROOT) unverifiable in this sandbox. review_status=pending_sponsor_runtime_review."
EV-SHELL-003,design/claude-design-mvp1/acceptance/VISUAL_EVIDENCE_REGISTER.csv,"shared-shell / SHARED-AUTH-SHELL — planner mobile AR light, drawer open",${INSPECTION_DOCS_ROOT}/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/shell-v1/planner-mobile-ar-light-drawer.png,product-contract/evidence/screens/shell-v1/planner-mobile-ar-light-drawer.png,present-but-registry-path-mismatch,"Same file is also tracked as SHELL-EV-004 in product-contract/evidence/EVIDENCE_STATUS.md. Physical PNG exists in-git at the resolved path; register's documented path (INSPECTION_DOCS_ROOT) unverifiable in this sandbox. review_status=pending_sponsor_runtime_review."
SHELL-EV-005,product-contract/evidence/EVIDENCE_STATUS.md (line 108),"V3 43-screen design-approval-pack verification (cross-cutting, not screen-specific)",${INSPECTION_DOCS_ROOT}/05_UI_UX_AND_STORYBOARDS/outputs/claude-design-approval-pack/VERIFICATION_REPORT_V3.json,(not locatable),referenced-but-file-missing,"File lives under INSPECTION_DOCS_ROOT (external docs root), which is not accessible from this repo/sandbox (permission denied on /Users/vikramindla/Desktop/Inspection Documentation). EVIDENCE_STATUS.md claims it was captured (11 sheets; 43 prompts; 22 tabs; 0 formula errors) but existence could not be independently confirmed here."
G4-EV-003-PNG,product-contract/evidence/EVIDENCE_STATUS.md (lines 56 and 63-64),Obsidian vault structure screenshot (G4 gate evidence — not a product screen),evidence/attachments/G4-EV-003-obsidian-vault.png,(none found),referenced-but-file-missing,"EVIDENCE_STATUS.md itself already flags this as a non-blocking gap owned by a human, to be placed under evidence/attachments/. Checked product-contract/evidence/attachments/ — directory does not exist. The companion .md structure file (G4-EV-003-obsidian-vault.md) is present and unaffected."
CD004-EV-005,product-contract/evidence/EVIDENCE_STATUS.md (line 181),SCR-ADM-* admin control-plane home — populated act-scope band (EN light),screens/cd-004-admin-home-v1/scope-admin-en-light.png,product-contract/evidence/screens/cd-004-admin-home-v1/scope-admin-en-light.png,present-and-located,"Cited alongside apps/web/e2e/cd-004-admin-control-plane-home.spec.ts as focused runtime proof (4/4 PASS)."
CD004-EV-003-spine-ar-rtl-1440,product-contract/evidence/EVIDENCE_STATUS.md (line 179),"SCR-ADM-* admin control-plane home — spine, Arabic RTL 1440",(cited at dir level only: screens/cd-004-admin-home-v1/),product-contract/evidence/screens/cd-004-admin-home-v1/spine-ar-rtl-1440.png,present-and-located,"Not named individually; covered by CD004-EV-003's dir-level claim of 18/18 PASS runtime screenshots (Arabic RTL + dark/light x 1440/1024)."
CD004-EV-003-spine-en-dark-1024,product-contract/evidence/EVIDENCE_STATUS.md (line 179),"SCR-ADM-* admin control-plane home — spine, EN dark 1024",(cited at dir level only: screens/cd-004-admin-home-v1/),product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-dark-1024.png,present-and-located,"Not named individually; covered by CD004-EV-003's dir-level claim of 18/18 PASS runtime screenshots."
CD004-EV-003-spine-en-dark-1440,product-contract/evidence/EVIDENCE_STATUS.md (line 179),"SCR-ADM-* admin control-plane home — spine, EN dark 1440",(cited at dir level only: screens/cd-004-admin-home-v1/),product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-dark-1440.png,present-and-located,"Not named individually; covered by CD004-EV-003's dir-level claim of 18/18 PASS runtime screenshots."
CD004-EV-003-spine-en-light-1024,product-contract/evidence/EVIDENCE_STATUS.md (line 179),"SCR-ADM-* admin control-plane home — spine, EN light 1024",(cited at dir level only: screens/cd-004-admin-home-v1/),product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-light-1024.png,present-and-located,"Not named individually; covered by CD004-EV-003's dir-level claim of 18/18 PASS runtime screenshots."
CD004-EV-003-spine-en-light-1440,product-contract/evidence/EVIDENCE_STATUS.md (line 179),"SCR-ADM-* admin control-plane home — spine, EN light 1440",(cited at dir level only: screens/cd-004-admin-home-v1/),product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-light-1440.png,present-and-located,"Not named individually; covered by CD004-EV-003's dir-level claim of 18/18 PASS runtime screenshots."
UNREG-CD005006-detail-blocked-en-light-1440,(none — found via directory scan; only appears in repo-cleanup/documentation_inventory.csv housekeeping list),"Regulations register (CD-005/CD-006) — detail view, blocked state, EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-005-006-regulations-v1/detail-blocked-en-light-1440.png,present-but-unregistered,"No evidence ID in VISUAL_EVIDENCE_REGISTER.csv or EVIDENCE_STATUS.md names this file. Not in repo-cleanup/documentation_inventory.csv MOVE list either (may postdate that snapshot)."
UNREG-CD005006-detail-lineage-en-light-1440,(none — found via directory scan),"Regulations register (CD-005/CD-006) — detail view, lineage panel, EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-005-006-regulations-v1/detail-lineage-en-light-1440.png,present-but-unregistered,"No evidence ID names this file. Not present in repo-cleanup/documentation_inventory.csv MOVE list (may postdate that snapshot)."
UNREG-CD005006-register-ar-rtl-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Regulations register (CD-005/CD-006) — register list, Arabic RTL 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-005-006-regulations-v1/register-ar-rtl-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE (binary belongs under INSPECTION_DOCS_ROOT per documentation-storage policy, not git)."
UNREG-CD005006-register-en-light-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Regulations register (CD-005/CD-006) — register list, EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-005-006-regulations-v1/register-en-light-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD007-catalogue-ar-rtl-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Items catalogue (CD-007) — Arabic RTL 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-007-items-v1/catalogue-ar-rtl-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD007-catalogue-en-dark-1024,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Items catalogue (CD-007) — EN dark 1024",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-007-items-v1/catalogue-en-dark-1024.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD007-catalogue-en-dark-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Items catalogue (CD-007) — EN dark 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-007-items-v1/catalogue-en-dark-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD007-catalogue-en-light-1024,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Items catalogue (CD-007) — EN light 1024",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-007-items-v1/catalogue-en-light-1024.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD007-catalogue-en-light-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Items catalogue (CD-007) — EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-007-items-v1/catalogue-en-light-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD008009V1-library-ar-rtl-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Packages library v1 (CD-008/CD-009) — Arabic RTL 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v1/library-ar-rtl-1440.png,present-but-unregistered,"No evidence ID names this file. Superseded on disk by a v2 capture directory (cd-008-009-packages-v2). repo-cleanup/documentation_inventory.csv flags disposition=MOVE."
UNREG-CD008009V1-library-en-dark-1024,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Packages library v1 (CD-008/CD-009) — EN dark 1024",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v1/library-en-dark-1024.png,present-but-unregistered,"No evidence ID names this file. Superseded on disk by v2 capture directory. repo-cleanup/documentation_inventory.csv flags disposition=MOVE."
UNREG-CD008009V1-library-en-dark-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Packages library v1 (CD-008/CD-009) — EN dark 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v1/library-en-dark-1440.png,present-but-unregistered,"No evidence ID names this file. Superseded on disk by v2 capture directory. repo-cleanup/documentation_inventory.csv flags disposition=MOVE."
UNREG-CD008009V1-library-en-light-1024,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Packages library v1 (CD-008/CD-009) — EN light 1024",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v1/library-en-light-1024.png,present-but-unregistered,"No evidence ID names this file. Superseded on disk by v2 capture directory. repo-cleanup/documentation_inventory.csv flags disposition=MOVE."
UNREG-CD008009V1-library-en-light-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Packages library v1 (CD-008/CD-009) — EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v1/library-en-light-1440.png,present-but-unregistered,"No evidence ID names this file. Superseded on disk by v2 capture directory. repo-cleanup/documentation_inventory.csv flags disposition=MOVE."
UNREG-CD008009V1-preview-readonly-en-light,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Packages library v1 (CD-008/CD-009) — read-only preview, EN light",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v1/preview-readonly-en-light.png,present-but-unregistered,"No evidence ID names this file. Superseded on disk by v2 capture directory. repo-cleanup/documentation_inventory.csv flags disposition=MOVE."
UNREG-CD008009V2-library-ar-rtl-1440,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — Arabic RTL 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-ar-rtl-1440.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv, so this v2 capture likely postdates that inventory snapshot."
UNREG-CD008009V2-library-en-dark-1024,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — EN dark 1024",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-en-dark-1024.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot)."
UNREG-CD008009V2-library-en-dark-1440,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — EN dark 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-en-dark-1440.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot)."
UNREG-CD008009V2-library-en-dark-390,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — EN dark 390 (mobile)",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-en-dark-390.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot); adds a mobile 390 viewport not present in v1."
UNREG-CD008009V2-library-en-light-1024,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — EN light 1024",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-en-light-1024.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot)."
UNREG-CD008009V2-library-en-light-1440,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-en-light-1440.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot)."
UNREG-CD008009V2-library-en-light-390,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — EN light 390 (mobile)",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/library-en-light-390.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot)."
UNREG-CD008009V2-preview-readonly-en-light,(none — found via directory scan; NOT in repo-cleanup/documentation_inventory.csv),"Packages library v2 (CD-008/CD-009) — read-only preview, EN light",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-008-009-packages-v2/preview-readonly-en-light.png,present-but-unregistered,"No evidence ID names this file; absent from repo-cleanup/documentation_inventory.csv (likely postdates that snapshot)."
UNREG-CD010011-cd010-catalogue-ar-rtl-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Violations catalogue (CD-010) — Arabic RTL 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-010-011-violations-v1/cd010-catalogue-ar-rtl-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD010011-cd010-catalogue-en-light-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Violations catalogue (CD-010) — EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-010-011-violations-v1/cd010-catalogue-en-light-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD010011-cd010-writer-create-en-light,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Violations writer (CD-010) — create flow, EN light",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-010-011-violations-v1/cd010-writer-create-en-light.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD010011-cd011-penalty-ar-rtl-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Penalty schedule (CD-011) — Arabic RTL 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-010-011-violations-v1/cd011-penalty-ar-rtl-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
UNREG-CD010011-cd011-penalty-en-light-1440,(none — found via directory scan; also in repo-cleanup/documentation_inventory.csv MOVE list),"Penalty schedule (CD-011) — EN light 1440",(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-010-011-violations-v1/cd011-penalty-en-light-1440.png,present-but-unregistered,"No evidence ID names this file. repo-cleanup/documentation_inventory.csv flags disposition=MOVE per documentation-storage policy."
CD021-EVIDENCE-primary,product-contract/evidence/screens/cd-021-bulk-v1/CD-021_EVIDENCE.md (line 46),Bulk planning targeting (CD-021) — primary EN desktop: criteria tree + ledger + distributions + table,primary.png,product-contract/evidence/screens/cd-021-bulk-v1/primary.png,present-and-located,"Named directly in the local evidence doc alongside CODEX_AUDIT_CD-021.md and CODEX_AUDIT_CD-021_REMEDIATION_VERIFICATION.md in the same folder."
CD021-EVIDENCE-ar-rtl,product-contract/evidence/screens/cd-021-bulk-v1/CD-021_EVIDENCE.md (line 47),Bulk planning targeting (CD-021) — Arabic document RTL,ar-rtl.png,product-contract/evidence/screens/cd-021-bulk-v1/ar-rtl.png,present-and-located,"Named directly in the local evidence doc."
CD021-EVIDENCE-narrow,product-contract/evidence/screens/cd-021-bulk-v1/CD-021_EVIDENCE.md (line 48),"Bulk planning targeting (CD-021) — narrow 420px, no horizontal overflow",narrow.png,product-contract/evidence/screens/cd-021-bulk-v1/narrow.png,present-and-located,"Named directly in the local evidence doc."
UNREG-CD025-review-primary,(none — found via directory scan; only appears in repo-cleanup/documentation_inventory.csv housekeeping list),Plan review and publish (CD-025) — primary EN desktop,(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-025-plan-review-v1/review-primary.png,present-but-unregistered,"EVIDENCE_STATUS.md's CD025 rows (CD025-R3-EV-001, CD025-R4-EV-001) reference external Claude-Design review docs under INSPECTION_DOCS_ROOT, not this in-repo screenshot; no evidence ID names this specific file."
UNREG-CD025-review-ar-rtl,(none — found via directory scan),Plan review and publish (CD-025) — Arabic RTL,(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-025-plan-review-v1/review-ar-rtl.png,present-but-unregistered,"No evidence ID names this file; CD025 rows in EVIDENCE_STATUS.md reference unrelated external review documents."
UNREG-CD025-review-narrow-412,(none — found via directory scan),Plan review and publish (CD-025) — narrow 412,(not cited by ID in EVIDENCE_STATUS.md),product-contract/evidence/screens/cd-025-plan-review-v1/review-narrow-412.png,present-but-unregistered,"No evidence ID names this file; CD025 rows in EVIDENCE_STATUS.md reference unrelated external review documents."
CD026-EV-002,product-contract/evidence/EVIDENCE_STATUS.md (line 149),"Visit management (CD-026) — primary workspace, EN dark desktop: spine/KPI tiles/lens switcher/RLS scope",screens/cd-026-visit-management-v1/primary.png,product-contract/evidence/screens/cd-026-visit-management-v1/primary.png,present-and-located,"Captured and visually reviewed per EVIDENCE_STATUS.md."
CD026-EV-003,product-contract/evidence/EVIDENCE_STATUS.md (line 150),Visit management (CD-026) — bulk eligibility preview (verified-now / rechecked-at-submit),screens/cd-026-visit-management-v1/eligibility-preview.png,product-contract/evidence/screens/cd-026-visit-management-v1/eligibility-preview.png,present-and-located,"Captured per EVIDENCE_STATUS.md."
