cd,screen,state_n,state_id,state_label,is_primary,is_outlier
CD-012,SCR-ADM-050,S01,published,"Published — primary populated",yes,
CD-012,SCR-ADM-050,S02,draft,"Draft awaiting approval",,
CD-012,SCR-ADM-050,S03,outlier,"Outlier — separation of duties (own draft)",,yes
CD-012,SCR-ADM-050,S04,submitted,"Published version immutable",,
CD-012,SCR-ADM-050,S05,superseded,"Superseded (read-only)",,
CD-012,SCR-ADM-050,S06,in-use,"In-use — blocked health input",,
CD-012,SCR-ADM-050,S07,empty,"Empty",,
CD-012,SCR-ADM-050,S08,loading,"Loading",,
CD-012,SCR-ADM-050,S09,validation,"Validation — cannot save/propose",,
CD-012,SCR-ADM-050,S10,unauthorized,"Unauthorized",,
CD-012,SCR-ADM-050,S11,offline,"Offline",,
CD-012,SCR-ADM-050,S12,stale,"Stale detection blocked",,
CD-013,SCR-ADM-051,S01,draft,"Draft — primary (canvas + inspector + replay)",yes,
CD-013,SCR-ADM-051,S02,invalid-edge,"Invalid edge — save rejected (outlier)",,yes
CD-013,SCR-ADM-051,S03,unreachable,"Unreachable state (computed/blocked)",,
CD-013,SCR-ADM-051,S04,sim-fail,"Scenario replay — guard fails (intent)",,
CD-013,SCR-ADM-051,S05,sim-pass,"Scenario replay — passed (intent)",,
CD-013,SCR-ADM-051,S06,validation,"Validation — cannot save draft",,
CD-013,SCR-ADM-051,S07,submitted,"Submitted — immutable",,
CD-013,SCR-ADM-051,S08,approved,"Approved — publish moment",,
CD-013,SCR-ADM-051,S09,published-locked,"Published v7 — locked read-only",,
CD-013,SCR-ADM-051,S10,empty,"Empty — no draft open",,
CD-013,SCR-ADM-051,S11,loading,"Loading",,
CD-013,SCR-ADM-051,S12,unauthorized,"Unauthorized",,
CD-013,SCR-ADM-051,S13,offline,"Offline",,
CD-014,SCR-ADM-060,S01,complete,"Complete — primary (trace + drivers + bands)",yes,
CD-014,SCR-ADM-060,S02,missing-source,"Missing source input (outlier)",,yes
CD-014,SCR-ADM-060,S03,stale,"Stale input (freshness blocked)",,
CD-014,SCR-ADM-060,S04,threshold-edge,"Threshold-edge factory",,
CD-014,SCR-ADM-060,S05,test-pass,"Model validation passed",,
CD-014,SCR-ADM-060,S06,test-fail,"Model validation failed",,
CD-014,SCR-ADM-060,S07,draft,"Draft v4 — not live",,
CD-014,SCR-ADM-060,S08,published,"Published v3 — immutable",,
CD-014,SCR-ADM-060,S09,empty,"Empty — no model",,
CD-014,SCR-ADM-060,S10,loading,"Loading",,
CD-014,SCR-ADM-060,S11,unauthorized,"Unauthorized",,
CD-014,SCR-ADM-060,S12,offline,"Offline",,
CD-015,SCR-ADM-070,S01,valid,"Valid — primary (confidence stack)",yes,
CD-015,SCR-ADM-070,S02,invalid-geometry,"Invalid polygon (outlier)",,yes
CD-015,SCR-ADM-070,S03,missing-coordinate,"Missing coordinate",,
CD-015,SCR-ADM-070,S04,source-mismatch,"Source mismatch — escalate",,
CD-015,SCR-ADM-070,S05,tile-unavailable,"Tiles unavailable (provider seam)",,
CD-015,SCR-ADM-070,S06,stale,"Stale field verification",,
CD-015,SCR-ADM-070,S07,draft,"Draft geometry — not live",,
CD-015,SCR-ADM-070,S08,published,"Published — immutable",,
CD-015,SCR-ADM-070,S09,empty,"Empty — no factory selected",,
CD-015,SCR-ADM-070,S10,loading,"Loading",,
CD-015,SCR-ADM-070,S11,unauthorized,"Unauthorized",,
CD-015,SCR-ADM-070,S12,offline,"Offline",,
CD-016,SCR-ADM-080,S01,active,"Active rules — primary (route blocked banner)",yes,
CD-016,SCR-ADM-080,S02,invalid-recipient,"Invalid recipient — activation blocked (outlier)",,yes
CD-016,SCR-ADM-080,S03,provider-pending,"Provider pending — channels disabled",,
CD-016,SCR-ADM-080,S04,test-sent,"Test queued — outbox truth only",,
CD-016,SCR-ADM-080,S05,test-failed,"Test failed — template error",,
CD-016,SCR-ADM-080,S06,breached,"SLA breached — escalation preview (intent)",,
CD-016,SCR-ADM-080,S07,paused,"Rule paused",,
CD-016,SCR-ADM-080,S08,duplicate,"Duplicate rule — dedup blocked",,
