source_id,source_coordinate,source_unit_id,classification,parent_capability_id,requirement_ids,rationale
SRC-01,Visit Planning-Planning!A1:M1,SU-01-000001,TABLE_HEADER_OR_LABEL,,,Spreadsheet schema/header row; excluded from requirement population.
SRC-01,Visit Planning-Planning!A2:M2,SU-01-000002,BUSINESS_REQUIREMENT,CAP-R0C-0001,REQ-R0C-00001;REQ-R0C-00002;REQ-R0C-00003;REQ-R0C-00004,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A3:M3,SU-01-000003,BUSINESS_REQUIREMENT,CAP-R0C-0002,REQ-R0C-00005;REQ-R0C-00006;REQ-R0C-00007;REQ-R0C-00008;REQ-R0C-00009;REQ-R0C-00010,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A4:M4,SU-01-000004,BUSINESS_REQUIREMENT,CAP-R0C-0003,REQ-R0C-00011;REQ-R0C-00012;REQ-R0C-00013;REQ-R0C-00014,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A5:M5,SU-01-000005,BUSINESS_REQUIREMENT,CAP-R0C-0004,REQ-R0C-00015;REQ-R0C-00016,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A6:M6,SU-01-000006,BUSINESS_REQUIREMENT,CAP-R0C-0005,REQ-R0C-00017;REQ-R0C-00018;REQ-R0C-00019,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A7:M7,SU-01-000007,BUSINESS_REQUIREMENT,CAP-R0C-0006,REQ-R0C-00020;REQ-R0C-00021;REQ-R0C-00022;REQ-R0C-00023,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A8:M8,SU-01-000008,BUSINESS_REQUIREMENT,CAP-R0C-0007,REQ-R0C-00024;REQ-R0C-00025;REQ-R0C-00026,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A9:M9,SU-01-000009,BUSINESS_REQUIREMENT,CAP-R0C-0008,REQ-R0C-00027;REQ-R0C-00028;REQ-R0C-00029,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A10:M10,SU-01-000010,BUSINESS_REQUIREMENT,CAP-R0C-0009,REQ-R0C-00030;REQ-R0C-00031;REQ-R0C-00032;REQ-R0C-00033,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A11:M11,SU-01-000011,BUSINESS_REQUIREMENT,CAP-R0C-0010,REQ-R0C-00034;REQ-R0C-00035,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A12:M12,SU-01-000012,BUSINESS_REQUIREMENT,CAP-R0C-0011,REQ-R0C-00036;REQ-R0C-00037;REQ-R0C-00038,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A13:M13,SU-01-000013,BUSINESS_REQUIREMENT,CAP-R0C-0012,REQ-R0C-00039;REQ-R0C-00040;REQ-R0C-00041;REQ-R0C-00042,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A14:M14,SU-01-000014,BUSINESS_REQUIREMENT,CAP-R0C-0013,REQ-R0C-00043;REQ-R0C-00044,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A15:M15,SU-01-000015,BUSINESS_REQUIREMENT,CAP-R0C-0014,REQ-R0C-00045;REQ-R0C-00046;REQ-R0C-00047,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
SRC-01,Visit Planning-Planning!A16:M16,SU-01-000016,BUSINESS_REQUIREMENT,CAP-R0C-0015,REQ-R0C-00048;REQ-R0C-00049;REQ-R0C-00050,Structured spreadsheet row parsed by independent semantic columns; children share one stable parent capability.
