acceptance_id,requirement_id,module,actor,input_preconditions,input_action,ui_result_visible,backend_result,business_rule,workflow_state_impact,audit_impact,evidence_impact,failure_recovery,proof_required,test_level,regression_guard
AC-0001,MVP1-M01-001,Visit Planning - Planning,"Planner, Inspector","User Authentication, Role & Permission Management",Select planning method.,User can access only the planning methods permitted by their role.,Load the selected planning workflow.,"Three planning methods are supported: Bulk, Single and Immediate.",STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-001 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-001 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0002,MVP1-M01-002,Visit Planning - Planning,Planner,"Factory Master Data, Search Engine, Assignment Engine, Inspector Master Data, Notification Service","Build search criteria, search factories, select/unselect factories, configure visit, publish.",Planner successfully publishes a Visit Plan and all selected factories receive individual Visits.,"Retrieve factories, validate duplicates, generate Visit Plan, generate Visit IDs, assign inspectors, notify inspectors, create audit logs.",One Visit Plan can generate multiple Visits. Every Visit receives a unique Visit ID while sharing the same Visit Plan ID.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-002 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-002 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0003,MVP1-M01-003,Visit Planning - Planning,Planner,Factory Master Data,"Add, edit and remove criteria using AND / OR conditions.",Planner can build one or multiple search criteria without limitation.,Validate criteria and execute factory search.,Multiple filters can be combined. Both AND and OR conditions are supported.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-003 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-003 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0004,MVP1-M01-004,Visit Planning - Planning,Planner,Factory Repository,Review search results.,Matching factories are successfully retrieved.,Retrieve all matching factories.,Only factories matching all criteria are returned.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-004 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-004 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0005,MVP1-M01-005,Visit Planning - Planning,Planner,Retrieved Factory List,Select or remove factories individually or in bulk.,Only selected factories proceed to Visit Configuration.,Track selected factories and prepare Visit Plan.,Planner has full control over the selected factories before publishing.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-005 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-005 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0006,MVP1-M01-006,Visit Planning - Planning,Planner,Business Visit Type Master Data,"Select Business Visit Type, Visit Window, Assignment Method, Notes.",Planner successfully configures the Visit Plan.,Validate mandatory fields.,Configuration applies to every Visit generated from the same Visit Plan.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-006 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-006 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0007,MVP1-M01-007,Visit Planning - Planning,"Planner, System","Inspector Master Data, Assignment Engine",Select Auto Assignment.,Every Visit has an assigned inspector before publishing.,Assign inspectors according to assignment strategy.,Assignment occurs before publishing.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-007 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-007 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0008,MVP1-M01-008,Visit Planning - Planning,Planner,Inspector Master Data,Select inspector for one or multiple visits.,Planner successfully assigns inspectors manually.,Validate inspector availability.,Planner may override automatic recommendations.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-008 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-008 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0009,MVP1-M01-009,Visit Planning - Planning,Planner,Configured Visit Plan,Review all configuration and assignments.,Planner reviews the complete Visit Plan before publishing.,Validate all required information.,Publishing is blocked until all mandatory information is completed.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-009 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-009 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0010,MVP1-M01-010,Visit Planning - Planning,"Planner, System","Notification Service, Calendar Service, Audit Service",Confirm publishing.,"Individual Visits are successfully generated, assigned and available to inspectors.","Create Visit Plan, create individual Visits, assign inspectors, update inspector calendars, generate audit records, send notifications.",Every generated Visit becomes an independent business object while remaining linked to the originating Visit Plan.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-010 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-010 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
AC-0011,MVP1-M01-011,Visit Planning - Planning,Planner,Visit Planning Permission,"Select Bulk, Single or Immediate.",Selected planning workflow opens successfully.,Load corresponding planning workflow.,Only one planning method can be selected per creation session.,STM-PLAN-001;STM-PLAN-002 | states: Initiated->Criteria Built->Targets Retrieved->Targets Selected->Configured->Assigned->Ready to Publish->Published,"ENG-12 immutable event: actor, time, object, before/after state, version refs (MVP1-FND-003)",EV-003,"ERR-PLN-001;ERR-PLN-002;ERR-ASG-001;ERR-PUB-001 | FAIL if requirement MVP1-M01-011 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot rep",Runtime screenshot showing the completed behavior; Requirement-linked test result; Audit or activity evidence where the action changes state or data,UI + API + E2E; add offline/device/location tests where applicable,"FAIL if requirement MVP1-M01-011 is removed, weakened, hidden, replaced by mock behavior, implemented only visually without runtime behavior, loses validation/audit/permission semantics, or cannot reproduce the accepted evidence after a later change."
