acceptance_id,component,criterion,severity,evidence,status
SPC-CMD-001,Command nav group,"Dashboard/Operations Center/Factory 360 render for planner/inspector/reviewer/ops/leadership/auditor and are absent for admin-only roles; visibility never implies data access",P0,"per-persona nav frames + admin-hidden frame",not_started
SPC-CMD-002,Auditor nav entry,"Auditor entry stays a gated placeholder until the confirmed auditor role_key exists; never wired to a guessed key",P1,"gated-placeholder frame + SL-1 note",not_started
SPC-CMD-003,Regional performance map,"KSA choropleth has a synchronized list alternative, legend, tile attribution and keyboard-accessible region/factory selection; region->factory->Factory 360 drill preserved",P0,"map + list-equivalent + keyboard recording",not_started
SPC-CMD-004,Regional map colour banding,"Default is greyscale/ranked; performance colour bands remain disabled while thresholds are ungoverned and are never invented",P0,"ranked default frame + SL-2 decision note",not_started
SPC-CMD-005,Live operations map,"Projected inspector position is labelled as projection, distinct from live GPS; factory marker is the assigned factory; no route/navigation is drawn (Phase 1)",P0,"projected-label frame + no-route frame",not_started
SPC-CMD-006,Inspector card,"Arrived-At / Inspection-Started-At / Industrial-License-No / Factory-Risk-Level appear only when their source fact exists; elapsed time derives from operational-state start, not workflow status",P0,"before/after arrival + missing-field + elapsed frames",not_started
SPC-CMD-007,Operational highlights panel,"Highlights come only from deterministic rules, ordered Critical->Information, each with title/summary/priority/timestamp/deep link; no recommendation or auto-action; NL phrasing labelled non-AI",P1,"priority-ordered panel + deep-link frames",not_started
SPC-CMD-008,KPI/stat tile,"Every tile shows its metric, denominator/source and an explicit Not-available-not-configured state where the governed source or policy is absent; status encoded by icon+shape+label+position not colour alone",P0,"populated + unavailable + partial-source tile frames",not_started
SPC-CMD-009,Deferred-AI slot,"Strategic AI Summary, Operational AI Nudges NL layer and Factory 360 AI Risk Explanation render as deferred/placeholder or deterministic labelled-non-AI content; never a generated claim",P1,"deferred-AI placeholder frames x3",not_started
SPC-CMD-010,RBAC-gated widget (pending-publish),"Admin-owned pending-publish surfaces only to the owning admin role or is omitted for non-admin personas; admin drafts never leak onto a business dashboard",P0,"gated-visible vs non-admin-omitted frames",not_started
SPC-CMD-011,CR overview + license selector,"CR Overview shows counts-only portfolio (no CR-level risk/compliance number); selecting a license refreshes all Factory 360 sections without leaving the surface",P0,"portfolio + selector + refreshed-section frames",not_started
SPC-CMD-012,Factory 360 grouped gallery,"Official/Profile/Inspection/Arrival/Violation image groups stay separated; inspection evidence never merges into the official gallery; viewer is metadata-only while the signed-URL viewer is blocked",P0,"grouped gallery + non-merge + blocked-viewer frames",not_started
SPC-CMD-013,Unavailable-boundary section,"Government Information and Machines render an explicit unavailable-boundary section (not an error, not fabricated data) until a governed Senaei feed is confirmed",P0,"unavailable-boundary section frames",not_started
SPC-CMD-014,Compliance rate display,"Factory 360 and Dashboard show Compliance Rate from passed/answered on the latest Approved inspection only, Not-available when none; Returned/Rejected excluded but still listed; visits never shown",P0,"compliance populated + not-available + returned-visible frames",not_started
SPC-CMD-015,Leadership masking,"Leadership persona sees Factory 360 with sensitive contact detail masked while the menu/route remains reachable (RBAC-013)",P1,"leadership masked vs unmasked-role frames",not_started
SPC-CMD-016,Partial-source isolation,"One failed integration degrades only its own panel with a freshness/isolation banner; the rest of each surface stays usable (FND-012)",P0,"partial-source banner + isolated-panel frames",not_started
