"Source sheet","Source row","Source module","Source capability","Source acceptance criterion","Requirement ID","Acceptance ID","Acceptance module","Acceptance status","Mapping basis"
"Visit Planning-Planning","2","Visit Planning","Visit Creation","User can access only the planning methods permitted by their role.","MVP1-M01-001","AC-0001","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","3","Visit Planning","Bulk Planning","Planner successfully publishes a Visit Plan and all selected factories receive individual Visits.","MVP1-M01-002","AC-0002","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","4","Visit Planning","Planning Criteria Builder","Planner can build one or multiple search criteria without limitation.","MVP1-M01-003","AC-0003","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","5","Visit Planning","Target Factory Identification","Matching factories are successfully retrieved.","MVP1-M01-004","AC-0004","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","6","Visit Planning","Target Factory Selection","Only selected factories proceed to Visit Configuration.","MVP1-M01-005","AC-0005","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","7","Visit Planning","Visit Configuration","Planner successfully configures the Visit Plan.","MVP1-M01-006","AC-0006","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","8","Visit Planning","Automatic Inspector Assignment","Every Visit has an assigned inspector before publishing.","MVP1-M01-007","AC-0007","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","9","Visit Planning","Manual Inspector Assignment","Planner successfully assigns inspectors manually.","MVP1-M01-008","AC-0008","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","10","Visit Planning","Review Visit Plan","Planner reviews the complete Visit Plan before publishing.","MVP1-M01-009","AC-0009","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","11","Visit Planning","Publish Visit Plan","Individual Visits are successfully generated, assigned and available to inspectors.","MVP1-M01-010","AC-0010","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","12","Visit Planning","Select Planning Method","Selected planning workflow opens successfully.","MVP1-M01-011","AC-0011","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","13","Visit Planning","Build Planning Criteria","Planner can create valid search criteria.","MVP1-M01-012","AC-0012","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","14","Visit Planning","Retrieve Target Factories","Matching factories displayed.","MVP1-M01-013","AC-0013","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","15","Visit Planning","Review Target Factories","Planner can review every returned factory.","MVP1-M01-014","AC-0014","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","16","Visit Planning","Select Target Factories","Selected factories are saved.","MVP1-M01-015","AC-0015","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","17","Visit Planning","AI Planning Summary","Summary generated successfully.","MVP1-M01-016","AC-0016","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","18","Visit Planning","Configure Visit Details","Configuration saved successfully.","MVP1-M01-017","AC-0017","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
"Visit Planning-Planning","19","Visit Planning","Auto Assignment","Inspectors assigned successfully.","MVP1-M01-018","AC-0018","Visit Planning - Planning","implemented","Provisional: matching module totals and preserved row sequence; semantic text review pending"
