Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Inspection Excution-Level2Flow,2,Review Decision Panel,MVP1-M06-001,AC-0357,[audit] DecisionPanel shows approve/return/reject radios; only when status under_review (permission+status gated).,MATCH,"Ledger note supports the source criterion (""Reviewer sees only valid actions for Pending Review inspection."")."
Inspection Excution-Level2Flow,3,Approve Confirmation,MVP1-M06-002,AC-0358,"[audit] Workspace shows checklist, violations, action forms, evidence, FV updates, version, approve-warning preview.",MATCH,"Ledger note supports the source criterion (""Approval confirmation appears before final approval."")."
Inspection Excution-Level2Flow,4,Compliance Preview,MVP1-M06-003,AC-0359,"[audit] Penalties via violation mapping, corrective actions, official report link; approve chain preview in warning.",MATCH,"Ledger note supports the source criterion (""Reviewer can see consequences before approving."")."
Inspection Excution-Level2Flow,5,Approve Inspection,MVP1-M06-004,AC-0360,"[audit] decide(approve) locks version, sets approved, audit event, notifies inspector; compliance fires on approved status.",MATCH,"Ledger note supports the source criterion (""Inspection status becomes Approved and Compliance Management is triggered."")."
Inspection Excution-Level2Flow,6,Return Confirmation,MVP1-M06-005,AC-0361,[audit] Return path renders section checkboxes + mandatory reason + return-scope hint (workspace DecisionPanel).,MATCH,"Ledger note supports the source criterion (""Return cannot be submitted without reason."")."
Inspection Excution-Level2Flow,7,Return Inspection,MVP1-M06-006,AC-0362,"[audit] decide(return) sets returned+returned_sections, notifies inspector; field page unlocks only those sections.",MATCH,"Ledger note supports the source criterion (""Inspection is returned and inspector can update it."")."
Inspection Excution-Level2Flow,8,Reject Confirmation,MVP1-M06-007,AC-0363,"[audit] Reject shows final-impact banner (no compliance, new visit needed).",MATCH,"Ledger note supports the source criterion (""Reject cannot proceed without reason."")."
Inspection Excution-Level2Flow,9,Reject Inspection,MVP1-M06-008,AC-0364,"[audit] decide(reject) locks version, sets rejected, notifies inspector, audit event; no compliance trigger.",NEEDS_REVIEW,"Source criterion requires ""Reject cannot proceed without reason"" (mandatory-reason validation on the Reject Confirmation step); the ledger note for AC-0363 describes the reject impact banner content (no compliance, new visit needed) but does not itself confirm the mandatory-reason enforcement -- that enforcement is only confirmed one row later at AC-0364 (""decide(reject) ... requires reason"" is stated for AC-0382, not here). Verify AC-0363's own implementation blocks reject submission without a reason."
Inspection Excution-Level2Flow,10,Decision Audit,MVP1-M06-009,AC-0365,"[audit] reviews row stores reviewer, decision, reason, sections, decided_at; audit_events immutable, prev/new status.",MATCH,"Ledger note supports the source criterion (""Complete audit record exists for each decision."")."
Inspection Excution-Level2Flow,11,Decision Timeline,MVP1-M06-010,AC-0366,[audit] audit_events trail rendered chronologically for approve/return/reject.,MATCH,"Ledger note supports the source criterion (""Decision appears in inspection timeline."")."
Inspection Excution-Level2Flow,12,Version Handling on Return,MVP1-M06-011,AC-0367,"[audit] submission_versions immutable; resubmit creates new version, prior preserved (diff proves both retained).",MATCH,"Ledger note supports the source criterion (""Reviewer can compare previous and latest versions."")."
Inspection Excution-Level2Flow,13,Reviewer Read-Only Rule,MVP1-M06-012,AC-0368,[audit] Read-only submitted-version banner; DB rejects edits (proven B3); corrections only via return.,MATCH,"Ledger note supports the source criterion (""Reviewer cannot edit submitted inspection fields."")."
Inspection Excution-Level2Flow,14,Display Pending Review Queue,MVP1-M06-013,AC-0369,"[audit] Queue columns: inspector, type/mode, risk, SLA, critical count, priority, version, submitted date.",MATCH,"Ledger note supports the source criterion (""Queue loads successfully."")."
Inspection Excution-Level2Flow,15,Search & Filter Queue,MVP1-M06-014,AC-0370,[audit] ReviewQueue search (factory/code/inspector) + status + risk + overdue-only filters over RLS page.,MATCH,"Ledger note supports the source criterion (""Filters operate correctly."")."
Inspection Excution-Level2Flow,16,Open Submitted Inspection,MVP1-M06-015,AC-0371,"[audit] Workspace loads latest version: checklist, violations, evidence, FV, action forms, timeline, audit.",MATCH,"Ledger note supports the source criterion (""Package loads successfully."")."
Inspection Excution-Level2Flow,17,Display Inspection Summary,MVP1-M06-016,AC-0372,"[audit] Summary across workspace+queue: factory, inspector, mode, type, submitted, violations, critical, evidence, forms.",MATCH,"Ledger note supports the source criterion (""Summary displayed successfully."")."
Inspection Excution-Level2Flow,18,Review Factory Verification,MVP1-M06-017,AC-0373,"[audit] FV table shows Source(Senaei) vs Observed, before/after, updated highlight, linked evidence count.",MATCH,"Ledger note supports the source criterion (""Changes displayed correctly."")."
Inspection Excution-Level2Flow,19,Review Inspection Report,MVP1-M06-018,AC-0374,[audit] Checklist rendered read-only; official report link to /reports/inspection/[id].,MATCH,"Ledger note supports the source criterion (""Report displayed successfully."")."
Inspection Excution-Level2Flow,20,Review Inspection Checklist,MVP1-M06-019,AC-0375,[audit] Checklist answers + implied violations + evidence list shown read-only.,NEEDS_REVIEW,"Source capability/criterion are specifically about the Inspection Report (""Open Report"" -> ""Display report responses, attachments and comments"" -> ""Report displayed successfully""), but the AC-0374 ledger note text (""Checklist rendered read-only; official report link..."") primarily describes checklist rendering, which is the topic of the next row (AC-0375/Checklist). Possible note mislabeling between the Report and Checklist rows; confirm AC-0374's evidence is actually about report-response/attachment/comment display, not checklist display."
Inspection Excution-Level2Flow,21,Review Evidence,MVP1-M06-020,AC-0376,[audit] Evidence listed with storage_path + sha256; FV field evidence separated; annotations flattened upstream.,MATCH,"Ledger note supports the source criterion (""Evidence displayed successfully."")."
Inspection Excution-Level2Flow,22,Review Action Forms,MVP1-M06-021,AC-0377,[audit] Action forms rendered; acknowledgement signature image displayed (DEC-009).,MATCH,"Ledger note supports the source criterion (""Action Forms displayed successfully."")."
Inspection Excution-Level2Flow,23,Review Timeline,MVP1-M06-022,AC-0378,"[audit] audit_events timeline chronological planning->submission, append-only.",MATCH,"Ledger note supports the source criterion (""Timeline displayed successfully."")."
Inspection Excution-Level2Flow,24,Review Version History,MVP1-M06-023,AC-0379,"[audit] Version comparison table diffs prior vs latest snapshot answers, changed cells flagged.",MATCH,"Ledger note supports the source criterion (""Version comparison works correctly."")."
Inspection Excution-Level2Flow,25,Return Inspection,MVP1-M06-024,AC-0380,"[audit] decide(return) requires reason+sections, unlocks scope, notifies inspector, audit event.",MATCH,"Ledger note supports the source criterion (""Inspection successfully returned."")."
Inspection Excution-Level2Flow,26,Approve Inspection,MVP1-M06-025,AC-0381,"[audit] decide(approve) validates, locks, sets approved, notifies, audit; compliance chain on approved.",MATCH,"Ledger note supports the source criterion (""Inspection approved successfully."")."
Inspection Excution-Level2Flow,27,Reject Inspection,MVP1-M06-026,AC-0382,"[audit] decide(reject) requires reason, sets rejected, notifies inspector, audit event.",MATCH,"Ledger note supports the source criterion (""Inspection rejected successfully."")."
Inspection Excution-Level2Flow,28,Generate Audit Events,MVP1-M06-027,AC-0383,[audit] Decisions + reason + sections logged to reviews + audit_events; material review actions recorded.,MATCH,"Ledger note supports the source criterion (""Audit events generated successfully."")."
Inspection Excution-Level2Flow,29,Handle Review Errors,MVP1-M06-028,AC-0384,"[audit] Actions surface errors: RLS no-op detection, insErr/transErr handling, immutability rejection messages.",MATCH,"Ledger note supports the source criterion (""Errors handled safely."")."
Inspection Excution-Level2Flow,30,Reviewer Queue,MVP1-M06-029,AC-0385,[audit] Queue RLS-scoped to reviewer; pending panels for undecided reviews auto-create under_review.,NEEDS_REVIEW,"Source business rule requires ""Partial review processing shall never occur"" and the criterion is ""Errors handled safely."" The AC-0384 ledger note confirms errors are surfaced (RLS no-op detection, insErr/transErr handling, immutability rejection messages) but does not state an atomic/rollback guarantee that prevents partial state on failure. Confirm the underlying operation is transactional, not just that failures are reported to the user."
Inspection Excution-Level2Flow,31,Queue Filters & Search,MVP1-M06-030,AC-0386,[audit] ReviewQueue applies search/status/risk/overdue filters; returns matching subset with count.,MATCH,"Ledger note supports the source criterion (""Filters return accurate results."")."
Inspection Excution-Level2Flow,32,SLA & Risk Indicators,MVP1-M06-031,AC-0387,"[audit] badgesFor computes SLA (config working-days), overdue, risk band, L1 critical count, priority.",MATCH,"Ledger note supports the source criterion (""SLA and risk badges display correctly."")."
Inspection Excution-Level2Flow,33,Open Inspection From Queue,MVP1-M06-032,AC-0388,[audit] Open workspace loads latest submission_version read-only (immutable banner).,MATCH,"Ledger note supports the source criterion (""Reviewer can open inspection successfully."")."
Inspection Excution-Level2Flow,34,Review Workspace,MVP1-M06-033,AC-0389,"[audit] Workspace loads report, checklist, evidence, FV observations, forms, violations, timeline, audit, versions.",MATCH,"Ledger note supports the source criterion (""Workspace loads complete package."")."
Inspection Excution-Level2Flow,35,Review Factory Observations,MVP1-M06-034,AC-0390,"[audit] FV table: Source, Observed, verified/updated status, before/after, evidence count + note.",MATCH,"Ledger note supports the source criterion (""Reviewer sees all inspector-touched factory fields."")."
Inspection Excution-Level2Flow,36,Review Inspection Report,MVP1-M06-035,AC-0391,[audit] Report rendered read-only from submitted version; official report link.,MATCH,"Ledger note supports the source criterion (""Report displays accurately."")."
Inspection Excution-Level2Flow,37,Review Checklist,MVP1-M06-036,AC-0392,"[audit] Answers, violations with penalty mapping, corrective action forms, evidence shown.",MATCH,"Ledger note supports the source criterion (""Checklist displays full execution result."")."
