finding_id,route,screen_id,persona,mode,locale,direction,theme,severity,category,observation,user_cost,evidence_path,evidence_status,source_refs,recommendation,acceptance_test,design_package,status
WP01-UI-0001,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P1,Visual hierarchy,Arabic RTL dark capture mixes English role/action labels and compresses account identity in the command bar.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__ar-RTL__dark__1440x1024__20260719T003610Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Establish a single decision-first page header with job, lifecycle state, scope and one primary action.","On /admin in en-LTR light, verify: Establish a single decision-first page header with job, lifecycle state, scope and one primary action.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0002,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Action hierarchy,Current en-LTR light evidence for /admin requires action hierarchy refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Separate primary, secondary, destructive and irreversible actions by placement, color and confirmation.","On /admin in en-LTR light, verify: Separate primary, secondary, destructive and irreversible actions by placement, color and confirmation.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0003,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Density,Current en-LTR light evidence for /admin requires density refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Use progressive disclosure and bounded regions so the page remains scannable at operational data scale.,"On /admin in en-LTR light, verify: Use progressive disclosure and bounded regions so the page remains scannable at operational data scale.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0004,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Typography,Current en-LTR light evidence for /admin requires typography refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Apply the governed Arabic/Latin type scale with stable numerals, line height and truncation behavior.","On /admin in en-LTR light, verify: Apply the governed Arabic/Latin type scale with stable numerals, line height and truncation behavior.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0005,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Status semantics,Current en-LTR light evidence for /admin requires status semantics refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Use tokenized status labels with text, icon and color; never rely on color alone.","On /admin in en-LTR light, verify: Use tokenized status labels with text, icon and color; never rely on color alone.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0006,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Navigation,Current en-LTR light evidence for /admin requires navigation refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Keep current destination, journey stage and back path explicit in side rail and breadcrumb.","On /admin in en-LTR light, verify: Keep current destination, journey stage and back path explicit in side rail and breadcrumb.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0007,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Persona identity,Current en-LTR light evidence for /admin requires persona identity refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Expose authenticated role and governed scope without implying that the user can switch roles.,"On /admin in en-LTR light, verify: Expose authenticated role and governed scope without implying that the user can switch roles.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0008,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Table/list,Current en-LTR light evidence for /admin requires table/list refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Provide sticky headers, readable columns, row identity and bounded pagination or virtualization.","On /admin in en-LTR light, verify: Provide sticky headers, readable columns, row identity and bounded pagination or virtualization.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0009,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Filters,Current en-LTR light evidence for /admin requires filters refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Distinguish global navigation search from entity search and expose active-filter chips plus clear-all.,"On /admin in en-LTR light, verify: Distinguish global navigation search from entity search and expose active-filter chips plus clear-all.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0010,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Selection,Current en-LTR light evidence for /admin requires selection refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Show selection count, scope and cross-page behavior before enabling bulk actions.","On /admin in en-LTR light, verify: Show selection count, scope and cross-page behavior before enabling bulk actions.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0011,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Forms,Current en-LTR light evidence for /admin requires forms refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Keep labels persistent, group related fields and distinguish required, optional and policy-blocked inputs.","On /admin in en-LTR light, verify: Keep labels persistent, group related fields and distinguish required, optional and policy-blocked inputs.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0012,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Validation,Current en-LTR light evidence for /admin requires validation refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Place specific validation beside the field and summarize blockers near the action region.,"On /admin in en-LTR light, verify: Place specific validation beside the field and summarize blockers near the action region.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0013,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Empty state,Current en-LTR light evidence for /admin requires empty state refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Use honest empty states that explain scope, cause and the permitted next action.","On /admin in en-LTR light, verify: Use honest empty states that explain scope, cause and the permitted next action.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0014,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Loading state,Current en-LTR light evidence for /admin requires loading state refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Reserve layout and announce loading or delayed data without masking stale content as current.,"On /admin in en-LTR light, verify: Reserve layout and announce loading or delayed data without masking stale content as current.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0015,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P1,Provider truth,Current en-LTR light evidence for /admin requires provider truth refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Render unavailable or partial integrations as fail-closed states with no simulated success cues.,"On /admin in en-LTR light, verify: Render unavailable or partial integrations as fail-closed states with no simulated success cues.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0016,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Freshness,Current en-LTR light evidence for /admin requires freshness refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Show last-updated time, data scope and partial-source state beside decision content.","On /admin in en-LTR light, verify: Show last-updated time, data scope and partial-source state beside decision content.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0017,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Focus,Current en-LTR light evidence for /admin requires focus refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Provide visible focus order through shell, filters, content and action regions.","On /admin in en-LTR light, verify: Provide visible focus order through shell, filters, content and action regions.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0018,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Accessible names,Current en-LTR light evidence for /admin requires accessible names refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Ensure every icon control has a unique accessible name in its visible context.,"On /admin in en-LTR light, verify: Ensure every icon control has a unique accessible name in its visible context.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0019,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Target size,Current en-LTR light evidence for /admin requires target size refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,Meet WCAG 2.2 target sizing and spacing for dense operational controls.,"On /admin in en-LTR light, verify: Meet WCAG 2.2 target sizing and spacing for dense operational controls.",CD-PREM-02,OPEN_EVIDENCED
WP01-UI-0020,/admin,SCR-ADM-001,Compliance/Business/Technical Admin,default,en,LTR,light,P2,Arabic/RTL,Current en-LTR light evidence for /admin requires arabic/rtl refinement against the governed premium baseline.,"Reduced scan clarity, state recognition or visual trust on /admin.",design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin__populated__en-LTR__light__1440x1024__20260719T003321Z.png,ACCEPTED_AS_IS_BASELINE,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;product-contract/screens/screen_route_catalogue.csv;design/claude-design-mvp1/authority/CODE_ROUTE_RECONCILIATION.csv,"Mirror layout semantics, preserve logical number/date order and remove untranslated English fragments.","On /admin in en-LTR light, verify: Mirror layout semantics, preserve logical number/date order and remove untranslated English fragments.",CD-PREM-02,OPEN_EVIDENCED
