leg_id,ui_trigger_state,client_component,route_action,guard,canonical_transition,table_rpc_provider,rls_role,audit,notification,success,negative_partial,test,runtime_evidence,status
1,Open compare,ReviewComparePage,/reviews/:id,RLS scope,none,submission_versions,RLS Reviewer/Auditor/Ops/Planner/Leadership,read,none,versions load,maybeSingle distinguishes zero-row/outside-scope from provider error,cd-030 spec,page.tsx,PASS
2,Version selection from/to,VersionSelectors,/reviews/:id,none,none,submission_versions,RLS,none,none,latest vs prior default,no-prior handled,cd-030 spec,version sort,PASS
3,Stored-answer diff,AnswerDiffTable,/reviews/:id,none,none,snapshot.answers union of keys,RLS,none,none,changed cells flagged,empty diff computed,cd-030 spec,diffRows,PASS
4,Returned-scope read,TamperScopeRail,/reviews/:id,none,none,reviews.returned_sections,RLS,none,none,scope shown,latest decided return selected after explicit decided_at sort,cd-030 spec,page.tsx decidedReturns sort,PASS
5,Scope classification,TamperScopeRail,/reviews/:id,none,none,returned_sections vs changed keys,RLS,none,none,expected/unexpected split,never inferred from change,cd-030 spec,design derivation,PASS
6,Unexpected locked change,TamperScopeRail,/reviews/:id,none,none,changed keys - returned_sections,RLS,none,none,flagged tamper,never 'unchanged',cd-030 spec,design,PASS
7,Evidence/media comparison,UnavailablePanel,/reviews/:id,none,none,none,n/a,none,none,shown unavailable,no derivation,cd-030 spec,none in source,HANDOFF_BLOCKED_MEDIADIFF
8,Package semantics,UnavailablePanel,/reviews/:id,none,none,none,n/a,none,none,shown unavailable,meaning not reconciled,cd-030 spec,none in source,HANDOFF_BLOCKED_PKGSEMANTIC
9,Metadata/section order,UnavailablePanel,/reviews/:id,none,none,none,n/a,none,none,shown unavailable,not diffed,cd-030 spec,none in source,HANDOFF_BLOCKED_METADIFF
10,Audit read,ReviewComparePage,/reviews/:id,none,none,audit_events,RLS,read,none,append-only,immutable,cd-030 spec,trail query,PASS
11,Route reconciliation,ReviewComparePage,/reviews/:id,none,none,none,n/a,none,none,route-neutral compare mode,/compare consolidated,cd-030 spec,route catalogue,PASS
12,Navigate to changed answer,TamperScopeRail,/reviews/:id,none,none,none,n/a,none,none,scroll to section,navigation-only,cd-030 spec,goToRow scrollIntoView + focus and live assertion,PASS
13,No prior version,ReviewComparePage,/reviews/:id,none,none,submission_versions,RLS,none,none,empty surface,not fabricated,cd-030 spec,live role=status assertion when single version,PASS
14,Empty diff,AnswerDiffTable,/reviews/:id,none,none,identical snapshots,RLS,none,none,computed empty,not a failure,cd-030 spec,changedRows.length===0 role=status branch + source contract,PASS
15,Degraded source,UnavailablePanel,/reviews/:id,none,none,version/answer source,RLS,none,none,affected rows unavailable,not silently empty,cd-030 spec,design,HANDOFF_BLOCKED_LINKED
16,Stale/unauth/auditor,ReviewComparePage,/reviews/:id,RLS,none,submission_versions,RLS Reviewer/Auditor/Ops/Planner/Leadership,none,none,stale flagged; non-deciding roles read-only,role gate plus read-only badge/note; degraded fetch remains distinct,cd-030 spec,page.tsx + scope-RBAC migration,PASS
17,Arabic/theme/responsive/keyboard/SR,Shell+TamperScopeRail,/reviews/:id,none,none,none,n/a,none,none,parity,disclosure buttons; role=status/alert; reduced-motion,cd-030 spec,retired-predecessor.css,PASS
