screen_id,channel,route,screen,personas,purpose,process,source_scope,mandatory_regions,primary_actions,states,permission_rule,scope
SCR-ADM-001,Admin Portal,/admin,Admin Home,Compliance Admin; Business Admin; Technical Admin,"Configuration health, drafts, approvals, published versions, alerts and audit",G2-P00,M09; FND,Admin dashboard; engine health; pending tasks; recent publish; dependency warnings,Open engine; review draft; approve; publish; inspect audit,"Empty, loading, service-degraded, unauthorized",Role-scoped,MVP1
SCR-ADM-010,Admin Portal,/admin/regulations,Regulation Library,Compliance Admin,"Manage regulation hierarchy, clauses, effective dates and versions",G2-P00,M09,Search; filters; regulation list; version/status; owner; effective date,Create draft; open; clone; archive; submit review,No records; validation errors; publish blocked,Compliance Admin,MVP1
SCR-ADM-011,Admin Portal,/admin/regulations/:id,Regulation Detail & Version,Compliance Admin; Reviewer,"Edit clauses, applicability, legal reference and lifecycle",G2-P00,M09,Metadata; clauses; mappings; dependencies; versions; audit,Edit draft; validate; compare; submit; approve; publish,Locked published version; dependency conflict,Maker-checker,MVP1
SCR-ADM-020,Admin Portal,/admin/items,Inspection Item Catalogue,Compliance Admin; Form Admin,"Define items, response types, guidance and runtime meaning",G2-P00,M09,Item code; title; response model; required rule; scoring; evidence,Create; edit draft; map clause; deactivate,Duplicate code; invalid mapping,Config role,MVP1
SCR-ADM-030,Admin Portal,/admin/packages,Inspection Package Library,Form Admin; Compliance Admin,Manage package versions used by visits and inspections,G2-P00,M09,Package list; scope; status; active version; dependencies,Create; clone; preview; validate; publish,Unresolved item; active dependency,Maker-checker,MVP1
SCR-ADM-031,Admin Portal,/admin/packages/:id/designer,Package & Form Designer,Form Admin,"Compose sections, items, conditions, evidence rules and action-form triggers",G2-P00,M09,Section tree; canvas; item inspector; rules; preview; validation,Add/reorder; configure condition; simulate; save draft,Circular logic; missing response meaning; publish blocker,Form Admin,MVP1 constrained builder
SCR-ADM-040,Admin Portal,/admin/violations,Violation Catalogue,Compliance Admin,"Manage violation codes, levels, legal basis and applicability",G2-P00,M09,Violation list; level; category; active dates; source clause,Create; map; version; deactivate,Duplicate or orphan violation,Compliance Admin,MVP1
SCR-ADM-041,Admin Portal,/admin/penalties,Penalty Mapping,Compliance Admin; Approver,Map violations to penalty records/ranges and cardinality rules,G2-P00,M09,Violation; penalty; range; repeat rule; one-to-one rule; version,Create mapping; validate; publish,Overlapping mapping; missing legal basis,Maker-checker,MVP1
SCR-ADM-050,Admin Portal,/admin/workflows,Workflow Library,Workflow Admin,Manage workflow definitions and active versions,G2-P00,FND,Workflow list; object; status; version; effective date,Create; clone; test; publish,Missing transition/guard,Workflow Admin,MVP1 constrained workflow config
SCR-ADM-051,Admin Portal,/admin/workflows/:id,Workflow Designer,Workflow Admin; Approver,"Configure states, transitions, roles, guards, SLA and notifications",G2-P00,FND,State canvas; transition panel; guard builder; side effects; simulation,Add state; connect; configure; validate; simulate; publish,Unreachable state; unauthorized transition; circular terminal path,Maker-checker,MVP1
