"ui_trigger","client_component","server_action","validation_guard","canonical_transition","table_rpc_storage","rls_grant_role","audit_event","notification_side_effect","success_result","negative_partial_result","automated_test","runtime_evidence"
"Open /planning/immediate","page.tsx","Server render; auth.getUser; role lookup; scoped Promise.all reads","Authenticated user must hold Planner or Inspector before form/data render","none (read-only route entry)","user_roles; factories registered projection; package_versions; profiles","Existing SELECT policies; route guard admits Planner/Inspector only","none (read-only)","none","Authority bar form renders with actor-specific Planner or Inspector path","Any other authenticated role gets localized no-data authorization state and no form","cd-023-immediate-authority-bar.spec.ts — a non-Planner/non-Inspector cannot open the Immediate Visit form","page.tsx role guard and four scoped reads; post-live audit finding 1 reconciled"
"Inspector opens Immediate Visit","page.tsx + ImmediateForm.tsx","createImmediateVisit -> create_immediate_visit","Inspector role checked in route and RPC; self assignment fixed to auth.uid()","Create published Visit directly with no Visit Plan; then route to standard field start (M01-050/051)","create_immediate_visit; factories when temporary; visits; assignments; audit_events","SECURITY INVOKER plus narrow Inspector INSERT policies from 0027/0029","factory/visit/assignment INSERT audit plus immediate_visit_request CREATED","No assignment notification for self-created Inspector visit (M01-052)","Self-assigned start-now Visit redirects to /field/:visitId","Non-Inspector actor_mode=inspector is blocked and the transaction retains no partial rows","cd-023-immediate-authority-bar.spec.ts — Inspector is authorized, self-assigns, starts now, receives no assignment notification and enters standard start flow","page.tsx actorMode; 0027 create_immediate_visit Inspector branch; 0029 Inspector RLS"
"Select urgency reason","ImmediateForm segmented reason control + Notes","createImmediateVisit -> create_immediate_visit","Accepted D3 set: Complaint received; Incident / accident report; Referral from authority; Other; Other requires Notes","none","visits.immediate_reason and visits.notes; visits_immediate_reason_contract (20260714060935 migration)","Server action whitelist plus database CHECK; RPC remains SECURITY INVOKER","visits INSERT audit captures stored reason; blocked RPC attempt records neutral system_error audit","none","REASON chip satisfied and governed value stored","Missing/unsupported/Other-without-Notes is blocked; crafted RPC is rolled back without provider text","cd-023-immediate-authority-bar.spec.ts — accepted urgency values include Other only with Notes justification; crafted urgency values and unjustified Other are rejected by the database contract","Accepted D3-04 option list; ImmediateForm.tsx; actions.ts; migration 20260714060935"
"Search registered factories","ImmediateForm registered search and select","Server page preload; client substring filter","Two or more typed characters filter CR/license/name; shorter input shows the scoped registered list","none","factories SELECT where is_temporary=false","Existing factories SELECT policy for authenticated scoped data","none (read-only)","none","Matching registered source record can be selected and previewed","No match is stated and user may explicitly switch to temporary identity","cd-023-immediate-authority-bar.spec.ts — registered factory search accepts CR/license/name and returns the matching source record (M01-044)","page.tsx registered preload; ImmediateForm.tsx ql filter and imm-existing select"
"Toggle unregistered / capture temporary identity","ImmediateForm manual identity panel","createImmediateVisit -> create_immediate_visit","Any one of name/CR/license/business activity is sufficient; region/city optional; exact CR/license reuse blocked","none","factories INSERT source=immediate_manual is_temporary=true; advisory identity locks","Planner existing policy or narrow Inspector temporary-factory INSERT policy","factories INSERT audit and immediate_visit_request CREATED/BLOCKED","none","Flagged temporary entity created without invented registry coordinates","No identity blocks; matching CR/license returns factory_identity_match; transaction removes orphan temporary rows","cd-023-immediate-authority-bar.spec.ts — minimum manual identity may omit name/CR/license; location stays on Visit and every write is audited; concurrent manual identities sharing one licence cannot create two factories","ImmediateForm identityOk; 0027 identity locks/match/insert; source M01-045"
"Confirm official location or type coordinates","ImmediateForm location panel + GeoMap text equivalent","createImmediateVisit -> create_immediate_visit","Both coordinates required; finite/ranged; official source must equal registered master pin; manual source explicit","none","visits.planner_lat; visits.planner_lng; visits.visit_location_source; factory official coordinates read-only","RPC SECURITY INVOKER; Visit INSERT policies enforce coordinates/source","visits INSERT audit plus immediate_visit_request CREATED/BLOCKED","none","Visit-owned dispatch location stored without overwriting factory master coordinates","Blank/invalid/source mismatch blocks atomically and entered work remains","cd-023-immediate-authority-bar.spec.ts — blank coordinates are rejected server-side and entered work is preserved (M01-046); minimum manual identity may omit name/CR/license; location stays on Visit and every write is audited","ImmediateForm.tsx location inputs/official selector; actions.ts blank guard; 0027 location provenance guard"
"Select package","ImmediateForm package select","createImmediateVisit -> create_immediate_visit","RPC re-reads selected version and accepts only published or locked","none","package_versions SELECT; visits.package_version_id","Existing package SELECT policy; RPC SECURITY INVOKER","Visit/request audit on success; BLOCKED package_unavailable attempt audit","none","Selected immutable package version attached to Visit","Retired/missing package returns localized package_unavailable with zero partial rows","cd-023-immediate-authority-bar.spec.ts — package status is revalidated, duplicate active visits are blocked and both attempts are audited","0027 package_versions status revalidation immediately before write"
"Assign inspector","ImmediateForm inspector select (Planner) or implicit self assignment (Inspector)","createImmediateVisit -> create_immediate_visit","Planner candidate must be Inspector and window-available; auto chooses first available; Inspector self-assigns","none","user_roles; assignments; visits overlap read; exclusion constraint from 0031","Assignment INSERT policies plus SECURITY INVOKER; canonical overlap guard at write time","assignments INSERT audit; automatic candidates JSON; request CREATED/BLOCKED","Planner assignment queues one notification; Inspector self assignment queues none","Exactly one assignment is created","Ineligible/unavailable/empty pool or concurrent overlap blocks with no unassigned Visit","cd-023-immediate-authority-bar.spec.ts — concurrent requests cannot claim the same inspector window; Inspector is authorized, self-assigns, starts now, receives no assignment notification and enters standard start flow","0027 candidate pool/assignment insert; 0031 no-overlap exclusion constraint"
"Review and set Planner window","ImmediateForm review checkbox + window inputs","createImmediateVisit -> create_immediate_visit","Planner review required and explicit end>start window required; Inspector has no Planner window and RPC stamps one start-now instant","none","visits.window_start; visits.window_end; window_order constraint","Visit INSERT policies and RPC actor-mode guard","request BLOCKED review_required/window_invalid or normal create audits","none","Planner explicit window stored; Inspector start-now instant stored","No invented duration; missing review/window or unordered window blocks atomically","cd-023-immediate-authority-bar.spec.ts — Planner review and explicit ordered window are revalidated by the RPC (M01-047/049); Inspector is authorized, self-assigns, starts now, receives no assignment notification and enters standard start flow","ImmediateForm actor-specific controls; 0027 review/window branches; explicit source-required window or start-now instant without an invented default duration"
"Create & dispatch","ImmediateForm submit","createImmediateVisit -> one create_immediate_visit RPC","All role/identity/location/reason/package/review/window/duplicate/assignment guards rerun in one transaction","Create published Visit directly without Visit Plan (M01-050)","Atomic RPC writes optional factories row; visits; assignments; Planner-only notifications; audit_events","SECURITY INVOKER with table RLS; private governed audit helper","factory/visit/assignment/notification row audits plus request CREATED/BLOCKED","Planner queues assignment with delivery_state=not_configured; Inspector queues none","Planner redirects /visits/:id; Inspector redirects /field/:id","Any read/write exception rolls back the complete create and returns neutral system_error; no partial ledger exists","cd-023-immediate-authority-bar.spec.ts — minimum manual identity may omit name/CR/license; location stays on Visit and every write is audited; supabase/tests/0027_cd023_immediate_visit_atomic.sql — forced package-read and notification-write rollback assertions","actions.ts single RPC; 0027 transaction/exception handler; 0028 private helper"
