master_row,requirement_id,module,source_requirement,design_ref,route_or_component,test_evidence,runtime_evidence,provider_or_policy_hold,classification,gap_or_note,source_paths
"1","MVP2-REQ-0073","M3-00","PLAT-0016 integration and data sharing across EBDA, identity, master data, licensing, maps, documents, analytics and exports","CD-050 R2 frames 01..06","/admin/integrations; integration endpoint/export-job controls","mvp3-enterprise-contract.spec.ts fail-closed dependency and route contracts; mvp3-retrofit-regression.spec.ts live integration route and persona containment","Remote migration proves four dependency-blocked endpoints; retrofit certificate proves schema/RLS and full regression but does not prove signed external exchange","MVP3-HOLD-001; MVP3-HOLD-002; MVP3-HOLD-003; MVP3-HOLD-004","NEEDS_REVIEW","Design and control-plane implementation align, but the required signed report/data-exchange end-to-end result is not runtime-evidenced while signature, map, identity and EBDA providers remain open and fail-closed.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts; apps/web/e2e/mvp3-retrofit-regression.spec.ts"
"2","MVP2-REQ-0078","M3-00","PLAT-0027 platform operations for environment config, monitoring, error queues, feature flags, backups and retention","CD-050 R2 frames 01..06","/admin/operations; mvp3_error_queue; mvp3_feature_flags","mvp3-retrofit-regression.spec.ts live control-plane route; mvp3-enterprise-contract.spec.ts schema and route inventory","Live operations route and additive schema are certified; destructive purge is intentionally disabled and retention/backup values remain unresolved","MVP3-HOLD-006","NEEDS_REVIEW","Monitoring, queue and feature-flag controls are evidenced, but approved retention periods, backup target and restore objectives are absent; the whole source requirement is therefore not runtime-complete.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"3","MVP2-REQ-0188","M3-00","Role-specific API Gateway/BFF for web, admin, iPad and external consumers","CD-050 R2 frames 01..06","/admin/integrations; Next.js server actions; governed Supabase RPCs","mvp3-enterprise-contract.spec.ts route inventory and fixed-search-path RPC contracts","Remote migration certifies seven governed RPCs and no anonymous execution; browser regression certifies application routes","MVP3-HOLD-003; MVP3-HOLD-004","NEEDS_REVIEW","Governed application APIs exist, but no row-specific gateway/BFF contract or external-consumer runtime payload is named; external identity and exchange remain held.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_IMPLEMENTATION_STATUS.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts"
"4","MVP2-REQ-0189","M3-00","Rule engine evaluates conditions for forms, workflow, risk, enforcement and validation","CD-050 R2 frames 01..06","Canonical workflow guards; package validation; risk and enforcement rules","Protected regression includes workflow, package, risk and enforcement suites; no test is tagged to this exact row","Retrofit map confirms reuse of canonical workflow and package engines without a second engine","None","NEEDS_REVIEW","The architecture is consistent with reuse, but the evidence set does not name one end-to-end rule-engine runtime demonstration spanning the stated consumers.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"5","MVP2-REQ-0190","M3-00","Operational database for factories, visits, inspections, workflows, forms, findings and enforcement","CD-050 R2 frames 01..06","Canonical MVP1/MVP2 data model plus additive MVP3 tables","mvp3-enterprise-contract.spec.ts verifies additive tables, RLS and no service-role browser path","Remote migration proves 13/13 MVP3 tables with RLS, 25 policies and zero anonymous grants; retrofit map confirms canonical source-of-truth reuse","None","MATCH","Source, design, reuse register, live migration and retrofit evidence agree that MVP3 extends rather than forks the operational database.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts"
"6","MVP2-REQ-0191","M3-00","EBDA/signature gateway for digital-signature validation and signing ceremony","CD-050 R2 frames 01..06","/admin/integrations; signature-provider boundary","mvp3-enterprise-contract.spec.ts verifies dependencies remain fail-closed","Migration seeds dependency-blocked integration endpoints; no approved provider or signing ceremony was executed","MVP3-HOLD-001; MVP3-HOLD-004","NEEDS_REVIEW","The seam is honestly implemented and held, but provider-backed signature validation and the signing ceremony are not runtime evidence.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/evidence/TASK-MVP3-REMOTE-SUPABASE-MIGRATION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts"
"7","MVP2-REQ-0192","M3-00","Security/IAM for roles, permissions, data scopes, device trust and external identity","CD-050 R2 frames 01..06","/admin/security-access; /admin/devices; RLS policies","mvp3-enterprise-contract.spec.ts maker-checker, evidence access and RLS contracts; mvp3-retrofit-regression.spec.ts negative persona containment","Live RLS, access-review and persona containment are certified; external SSO and MDM administration remain unavailable","MVP3-HOLD-003; MDM/device-provider release hold","NEEDS_REVIEW","Local authorization and purpose-bound access are evidenced, but the full row also requires external identity and device trust, whose providers remain fail-closed.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_SCHEMA_REUSE_REGISTER.csv; product-contract/mvp3/MVP3_PROVIDER_POLICY_HOLDS.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"8","MVP2-REQ-0224","M3-00","Position the product as a KSA factory-licensing inspection platform supporting award, renew, conditional approval, suspension, rejection, re-inspection, correction and objection","CD-050 R2 frames 01..06","Integrated inspection, review, enforcement, committee and portal surfaces","510-test protected regression covers the integrated route inventory and canonical personas","Retrofit certificate proves coexistence of the named engines but is not a board demo or business walkthrough","None","NEEDS_REVIEW","The platform identity is consistent across source and implementation, but the required board-demo/business-walkthrough evidence is not named for this row.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md"
"9","MVP2-REQ-0226","M3-00","Inspection target is factories and industrial establishments for licensing, not generic public-facility or safety audit","CD-050 R2 frames 01..06","Canonical factories, visits and inspections routes and data contracts","Protected regression retains planner, inspector and reviewer workspaces and factory/visit foundations","Retrofit certificate states there is no parallel factory, visit or inspection source of truth","None","MATCH","All reviewed sources preserve the factory-licensing boundary; no contrary generic-domain implementation was found.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md; apps/web/e2e/mvp3-retrofit-regression.spec.ts"
"10","MVP2-REQ-0227","M3-00","Admin Studios cover regulations, forms, workflow, risk, GIS, devices/offline, security/audit, integrations and analytics under maker-checker governance","CD-050 R2 frames 01..06","/admin/regulations; /admin/packages; /admin/workflows; /admin/risk; /admin/gis; /admin/devices; /admin/security-access; /admin/integrations; /dashboard","mvp3-enterprise-contract.spec.ts mounts the cross-studio route inventory and verifies maker-checker controls; protected regression preserves all routes","Retrofit certificate reports 12 design modules coexisting with canonical engines; live schema enforces maker-checker on sensitive actions","None","MATCH","The stated admin control planes, role containment and non-silent versioning model are represented and regression-certified.","product-contract/mvp3/MVP3_84_ROW_MASTER_REGISTER.csv; product-contract/mvp3/MVP3_84_ROW_COVERAGE_RECONCILIATION_R2.csv; product-contract/mvp3/MVP3_RETROFIT_INTEGRATION_MAP.csv; product-contract/evidence/TASK-MVP3-RETROFIT-REGRESSION-001.md; apps/web/e2e/mvp3-enterprise-contract.spec.ts"
