id,asset,disposition,reason
PRES-001,/field and FieldTabs,PRESERVE,Inspector assignment and field shell
PRES-002,/field/[visitId] Startup,PRESERVE_AND_EXTEND,Journey/geofence/arrival/start flow
PRES-003,Existing execution workspace (/field/inspection/[id]),PRESERVE_AND_RECONCILE,"Dynamic forms, items, evidence, summary, submit"
PRES-004,mim-field-v1,PROTECTED,Execution offline outbox; no replacement
PRES-005,mim-field-f360-v1,PROTECTED_SEPARATE,Factory 360 cache only
PRES-006,/reviews and /reviews/[id],PRESERVE_AND_EXTEND,"Immutable review, return, approve, reject"
PRES-007,/virtual/[id],PRESERVE_AND_EXTEND,Virtual appointment/identity/session
PRES-008,/planning/immediate,PRESERVE_HANDOFF,Creation only; common execution afterward
PRES-009,Factory 360 shared loader/projection,REUSE,No duplicate factory/source logic
PRES-010,Operations Center,REUSE_AND_WIRE,Canonical operational events
PRES-011,Package/version snapshot engine,PROTECTED,Frozen configuration
PRES-012,Append-only audit and immutable versions,PROTECTED,No mutable history
PRES-013,Existing RLS,PRESERVE_STRENGTHEN,Never weaken for UI convenience
PRES-014,Plain-language terminology guard,PROTECTED,No banned user-facing terms
PRES-015,SAQEEL tokens/RTL/responsive patterns,REUSE,No duplicate design system
PRES-016,set_operational_state RPC + journey_sessions partial unique index,PRESERVE_AND_EXTEND,Existing atomic journey legs and one-active-journey guard (0015_w1_journey_state)
PRES-017,request_visit_cancellation/return/reschedule RPCs,PRESERVE_AND_EXTEND,Flag-based request contracts consumed by field startup (0020_fix_field_journey)
PRES-018,decide_geo_override approval workflow + geo_override_requests,PRESERVE,Governed override with requester/approver separation (20260716161605)
PRES-019,submission_versions idempotency_key + unique(inspection_id version_number),PROTECTED,Immutable versioned submission; replay-safe offline submit
PRES-020,reviews_one_open_per_version partial unique index,PROTECTED,One open review per submission version (20260715130000)
PRES-021,guard_submitted_inspection / trg_guard_resp / trg_guard_evd,PROTECTED,Post-submit content immutability (0002)
PRES-022,notify_on_submission trigger + notification_rules maker-checker,PRESERVE,Truthful queued notification fan-out (0018; 20260716222000)
PRES-023,Virtual OTP/session RPCs (vp_* vs_*) + guard_virtual_transition,PRESERVE_AND_EXTEND,Verified-identity gate; closed immutable (0018; 0023; 20260715170000)
PRES-024,publish_single_visit / publish_bulk_plan / create_immediate_visit atomic RPCs,PRESERVE_AND_EXTEND,Planning publish authority; daily cap must hook in additively (0026/0027/0033)
PRES-025,expire_lapsed_visits + scheduled expiry,PRESERVE,Planning-owned expiry (0015/0025/0030)
PRES-026,engine_settings rows (risk/gis/sla/evidence/otp/field),PRESERVE_AND_EXTEND,Existing governed configuration data; extend additively
PRES-027,config_versions maker-checker + VAL-01..06 publish gate,REUSE,Pattern for new governed execution configuration
PRES-028,lib/workflow governed-transition/guards/outbox/events,REUSE,Canonical transition orchestration; extend not duplicate
PRES-029,Senaei + Industry Shared server-only adapters (fail-closed),PROTECTED,Provider boundary; BLOCKED_TRIGGER_DECISION; INDUSTRY_SHARED_API_CONTRACT_NOT_SUPPLIED
PRES-030,Golden journey + offline-drill + RLS-negative e2e suites,PROTECTED,Existing certification coverage must keep passing
PRES-031,inspections.status text values and old read paths,PRESERVE_COMPAT,Backward-compatible canonical projection per plan 6.4; no destructive history rewrite
PRES-032,assignments overlap guard + one-assignment-per-visit,PRESERVE,0031 trigger + 0027 unique index
PRES-033,Legacy roles (planner/reviewer/ops/leadership/auditor/factory_rep),PRESERVE_COMPAT,Compatibility aliases during capability migration; no destructive deletion
