requirement_id,acceptance_id,module,channel,status,note
MVP1-M01-001,AC-0001,Visit Planning - Planning,Web Portal,implemented,[audit] planning/page.tsx selects Bulk/Single/Immediate and loads each workflow route.
MVP1-M01-002,AC-0002,Visit Planning - Planning,Web Portal,implemented,"[audit] Bulk: criteria→search→select→configure→publish; plan+visit IDs, assign, notify, audit trigger."
MVP1-M01-003,AC-0003,Visit Planning - Planning,Web Portal,implemented,[audit] CriteriaBuilder add/remove rows + AND/OR toggle; server evaluates over factory set.
MVP1-M01-004,AC-0004,Visit Planning - Planning,Web Portal,implemented,"[audit] Server fetches all factories, evaluates conditions, returns every match (M01-004)."
MVP1-M01-005,AC-0005,Visit Planning - Planning,Web Portal,implemented,"[audit] Checkbox multi-select tracked in state and feeds plan (no select-all, minor)."
MVP1-M01-006,AC-0006,Visit Planning - Planning,Web Portal,implemented,[audit] Visit type/window/package fields; mandatory validation in bulk action blockers.
MVP1-M01-007,AC-0007,Visit Planning - Planning,Web Portal,implemented,[audit] Auto round-robin assignment over inspector pool (ENG-05).
MVP1-M01-008,AC-0008,Visit Planning - Planning,Web Portal,implemented,[audit] Per-row manual inspector picks; availability/double-booking validated server-side.
MVP1-M01-009,AC-0009,Visit Planning - Planning,Web Portal,implemented,[audit] Deterministic campaign summary + server validation before publish.
MVP1-M01-010,AC-0010,Visit Planning - Planning,Web Portal,implemented,"[audit] Publish creates plan+visits atomically, assigns, notifies, audit via trigger."
MVP1-M01-011,AC-0011,Visit Planning - Planning,Web Portal,implemented,"[audit] Planning home offers three methods, loads chosen workspace (M01-011)."
MVP1-M01-012,AC-0012,Visit Planning - Planning,Web Portal,implemented,[audit] Criteria builder AND/OR filters parsed+validated server-side.
MVP1-M01-013,AC-0013,Visit Planning - Planning,Web Portal,implemented,"[audit] Apply submits GET; server executes search, returns matching factories."
MVP1-M01-014,AC-0014,Visit Planning - Planning,Web Portal,implemented,"[audit] Factory info displayed + criteria filter (fixed risk sort; no profile link, minor)."
MVP1-M01-015,AC-0015,Visit Planning - Planning,Web Portal,implemented,[audit] Individual/multi checkbox selection stored in state.
MVP1-M01-016,AC-0016,Visit Planning - Planning,Web Portal,implemented,[audit] Deterministic campaign summary present; AI summary MVP2 by contract.
MVP1-M01-017,AC-0017,Visit Planning - Planning,Web Portal,implemented,[audit] Visit type/window/package config with mandatory validation.
MVP1-M01-018,AC-0018,Visit Planning - Planning,Web Portal,implemented,[audit] Auto-assign round-robin over eligible pool.
MVP1-M01-019,AC-0019,Visit Planning - Planning,Web Portal,implemented,[audit] Manual pick validated for availability/double-booking.
MVP1-M01-020,AC-0020,Visit Planning - Planning,Web Portal,implemented,"[audit] Review+confirm: duplicate check, create plan/visits, notify, audit."
MVP1-M01-021,AC-0021,Visit Planning - Planning,Web Portal,implemented,[audit] Bulk workspace loads (page.tsx + BulkForm).
MVP1-M01-022,AC-0022,Visit Planning - Planning,Web Portal,implemented,[audit] Add/remove/combine filter conditions AND/OR; validated server-side.
MVP1-M01-023,AC-0023,Visit Planning - Planning,Web Portal,implemented,[audit] Search executes and retrieves all matching factories.
MVP1-M01-024,AC-0024,Visit Planning - Planning,Web Portal,implemented,"[audit] Factory details displayed + filter (no user sort/profile link, minor)."
MVP1-M01-025,AC-0025,Visit Planning - Planning,Web Portal,implemented,"[audit] Select/unselect multi stored (no select-all control, minor)."
MVP1-M01-026,AC-0026,Visit Planning - Planning,Web Portal,implemented,[audit] Deterministic campaign summary present; AI recommendations MVP2 by contract.
MVP1-M01-027,AC-0027,Visit Planning - Planning,Web Portal,implemented,[audit] Config fields validated as mandatory.
MVP1-M01-028,AC-0028,Visit Planning - Planning,Web Portal,implemented,[audit] Auto-assign per configured round-robin strategy.
MVP1-M01-029,AC-0029,Visit Planning - Planning,Web Portal,implemented,[audit] Per-visit eligibility (pool) + same-window double-booking conflict validation.
MVP1-M01-030,AC-0030,Visit Planning - Planning,Web Portal,implemented,"[audit] Summary + duplicate/mandatory validation, blockers surfaced."
MVP1-M01-031,AC-0031,Visit Planning - Planning,Web Portal,implemented,"[audit] Publish: plan+per-visit IDs, assign, publish, notify, audit; status→published."
MVP1-M01-032,AC-0032,Visit Planning - Planning,Web Portal,implemented,"[audit] Bulk reschedule/reassign apply to selected child visits, audited."
