screen_id,journey_id,existing_evidence_status,existing_evidence_paths,missing_capture_profiles,notes
SCR-ADM-001,G2-P00,reuse-candidate,product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-light-1440.png;product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-dark-1440.png;product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-light-1024.png;product-contract/evidence/screens/cd-004-admin-home-v1/spine-en-dark-1024.png;product-contract/evidence/screens/cd-004-admin-home-v1/spine-ar-rtl-1440.png;product-contract/evidence/screens/cd-004-admin-home-v1/scope-admin-en-light.png,"G,H","Reuse-candidate per PHASE2_FULL_38_CAPTURE_MATRIX wave W1_REUSE_RICH and DESIGN-OPS-004 Tier1 (""Strong""). CD004-EV-003/005, described in EVIDENCE_STATUS.md as 18/18 PASS runtime capture across EN/AR x dark/light x 1024/1440. A and B are confirmed exact matches (spine-en-light-1440, spine-en-dark-1440); C/D/E/F are covered per the capture matrix's audit-delta rows but the individual filenames do not each state an explicit theme (spine-ar-rtl-1440) or exact viewport height (spine-en-*-1024), so re-verify those specific frames before claiming full A-H closure. No 1920x1080 (G/H) capture exists. DSG-001 design-acceptance status is still not_started per DESIGN-OPS-003 rank 1 — this is audit-then-fill-delta, not a fresh campaign."
SCR-ADM-010,G2-P00,partial,product-contract/evidence/screens/cd-005-006-regulations-v1/register-en-light-1440.png;product-contract/evidence/screens/cd-005-006-regulations-v1/register-ar-rtl-1440.png,"G,H","Partial per PHASE2 wave W2_REUSE_PARTIAL / DESIGN-OPS-004 Tier2. Only 2 unregistered CD-005 frames exist (register-en-light-1440 = clean A match; register-ar-rtl-1440 has no stated theme, so C/D cannot be confirmed from the filename). No dark-theme, no loading/empty/validation state frames. DSG-002 not_started (DESIGN-OPS-003 rank 2)."
SCR-ADM-011,G2-P00,partial,product-contract/evidence/screens/cd-005-006-regulations-v1/detail-blocked-en-light-1440.png;product-contract/evidence/screens/cd-005-006-regulations-v1/detail-lineage-en-light-1440.png,"G,H","Partial (W2_REUSE_PARTIAL). 2 unregistered CD-006 frames, both EN light 1440 (clean A match, one populated/blocked one lineage-panel variant). No AR, no dark theme, no other viewports. DSG-003 not_started (rank 3)."
SCR-ADM-020,G2-P00,partial,product-contract/evidence/screens/cd-007-items-v1/catalogue-en-light-1440.png;product-contract/evidence/screens/cd-007-items-v1/catalogue-en-dark-1440.png;product-contract/evidence/screens/cd-007-items-v1/catalogue-en-light-1024.png;product-contract/evidence/screens/cd-007-items-v1/catalogue-en-dark-1024.png;product-contract/evidence/screens/cd-007-items-v1/catalogue-ar-rtl-1440.png,"G,H","Partial (W2_REUSE_PARTIAL). 5 unregistered CD-007 frames: EN light 1440 = A match, EN dark 1440 = B match; EN light/dark 1024 frames lack confirmed 768 height so E/F not confirmed; ar-rtl-1440 lacks stated theme so C/D not confirmed. DSG-004 not_started (rank 4)."
SCR-ADM-030,G2-P00,partial,product-contract/evidence/screens/cd-008-009-packages-v2/library-en-light-1440.png;product-contract/evidence/screens/cd-008-009-packages-v2/library-en-dark-1440.png;product-contract/evidence/screens/cd-008-009-packages-v2/library-en-light-1024.png;product-contract/evidence/screens/cd-008-009-packages-v2/library-en-dark-1024.png;product-contract/evidence/screens/cd-008-009-packages-v2/library-ar-rtl-1440.png;product-contract/evidence/screens/cd-008-009-packages-v2/library-en-light-390.png;product-contract/evidence/screens/cd-008-009-packages-v2/library-en-dark-390.png;product-contract/evidence/screens/cd-008-009-packages-v1/library-en-light-1440.png (superseded by v2);product-contract/evidence/screens/cd-008-009-packages-v1/library-en-dark-1440.png (superseded by v2);product-contract/evidence/screens/cd-008-009-packages-v1/library-en-light-1024.png (superseded by v2);product-contract/evidence/screens/cd-008-009-packages-v1/library-en-dark-1024.png (superseded by v2);product-contract/evidence/screens/cd-008-009-packages-v1/library-ar-rtl-1440.png (superseded by v2),"G,H",Partial (W2_REUSE_PARTIAL). v2 supersedes v1 on disk (11 files each bucket incl. a 390px mobile pair not in the 8-profile set); v2 never folded into VISUAL_EVIDENCE_REGISTER.csv. EN light/dark 1440 = A/B match; ar-rtl-1440 theme unstated so C/D not confirmed; 1024-width frames lack confirmed 768 height so E/F not confirmed. DSG-005 not_started (rank 5).
SCR-ADM-031,G2-P00,partial,product-contract/evidence/screens/cd-008-009-packages-v2/preview-readonly-en-light.png;product-contract/evidence/screens/cd-008-009-packages-v1/preview-readonly-en-light.png (superseded by v2),"G,H","Partial (W2_REUSE_PARTIAL). Only a single read-only preview frame per version (EN light, viewport/theme combo not stated precisely) — this is the weakest bucket in Tier2; no canvas/tree/rules/simulation frames exist for the actual designer surface. v1 superseded by v2. DSG-006 not_started (rank 6)."
SCR-ADM-040,G2-P00,partial,product-contract/evidence/screens/cd-010-011-violations-v1/cd010-catalogue-en-light-1440.png;product-contract/evidence/screens/cd-010-011-violations-v1/cd010-catalogue-ar-rtl-1440.png;product-contract/evidence/screens/cd-010-011-violations-v1/cd010-writer-create-en-light.png,"G,H",Partial (W2_REUSE_PARTIAL). 3 unregistered CD-010 frames: EN light 1440 = A match (catalogue + writer-create variants); ar-rtl-1440 theme unstated so C/D not confirmed. No dark theme captured. DSG-007 not_started (rank 7).
SCR-ADM-041,G2-P00,partial,product-contract/evidence/screens/cd-010-011-violations-v1/cd011-penalty-en-light-1440.png;product-contract/evidence/screens/cd-010-011-violations-v1/cd011-penalty-ar-rtl-1440.png,"G,H",Partial (W2_REUSE_PARTIAL). 2 unregistered CD-011 frames: EN light 1440 = A match; ar-rtl-1440 theme unstated so C/D not confirmed. No dark theme captured. DSG-008 not_started (rank 8).
SCR-ADM-050,G2-P00,none,none,"A,B,C,D,E,F,G,H","Blank slate (W3_ADMIN_BLANK_SLATE per PHASE2 matrix; DESIGN-OPS-004 Tier3). No evidence located in DESIGN-OPS-002. DSG-009 not_started, rank 9, dependency none."
SCR-ADM-051,G2-P00,none,none,"A,B,C,D,E,F,G,H","Blank slate (W3_ADMIN_BLANK_SLATE). No evidence located. DSG-010 not_started, rank 10, dependency none."
