package_id,name,merge_order,depends_on,route_ownership,exact_current_files,design_files,requirement_scope,acceptance_ids,database_service_contracts,do_not_touch,test_contract,evidence_output,collision_risks,rollback,completion_command
F0,Shared SAQEEL foundation,1,,Shared shell;components;tokens;i18n/RTL;reference renderer;visual harness,apps/web/src/app/api/shell/search/route.ts;apps/web/src/components/saqeel/**;apps/web/src/components/Shell.tsx;apps/web/src/components/ShellClient.tsx;apps/web/src/lib/shell-navigation.ts;apps/web/src/lib/i18n.ts;apps/web/src/app/retired-predecessor.css,SAQEEL Design System.dc.html;SAQEEL States System.dc.html,CR-001..CR-478,WA-F0-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/F0,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-f0-specs> && node scripts/validate_web_admin_phase1.mjs
M1,Executive and Business Dashboard,2,F0,/dashboard,apps/web/src/app/(app)/dashboard/page.tsx,SAQEEL Executive Overview.html;SAQEEL Web Dashboard.dc.html,CR-001..CR-478,WA-M1-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M1,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m1-specs> && node scripts/validate_web_admin_phase1.mjs
M2,Planning and Visits,3,F0,/planning/**;/visits/**,apps/web/src/app/(app)/planning/bulk/page.tsx;apps/web/src/app/(app)/planning/bulk/review/page.tsx;apps/web/src/app/(app)/planning/immediate/page.tsx;apps/web/src/app/(app)/planning/page.tsx;apps/web/src/app/(app)/planning/plans/[id]/page.tsx;apps/web/src/app/(app)/planning/plans/page.tsx;apps/web/src/app/(app)/planning/single/page.tsx;apps/web/src/app/(app)/visits/[id]/page.tsx;apps/web/src/app/(app)/visits/calendar/page.tsx;apps/web/src/app/(app)/visits/map/page.tsx;apps/web/src/app/(app)/visits/page.tsx;apps/web/src/app/(app)/visits/workload/page.tsx,SAQEEL Planning.dc.html;SAQEEL Planning Identity.dc.html;SAQEEL Visits.dc.html,CR-001..CR-098,WA-M2-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M2,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m2-specs> && node scripts/validate_web_admin_phase1.mjs
M3,Operations Center,4,F0,/operations/**;/api/routing/eta,apps/web/src/app/(app)/operations/exceptions/page.tsx;apps/web/src/app/(app)/operations/live/page.tsx;apps/web/src/app/(app)/operations/page.tsx;apps/web/src/app/api/routing/eta/route.ts,SAQEEL Operations Center.dc.html;SAQEEL Operations Live.dc.html,CR-430..CR-448,WA-M3-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M3,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m3-specs> && node scripts/validate_web_admin_phase1.mjs
M4,Factories and Factory 360,5,F0,/factories/**,apps/web/src/app/(app)/factories/[id]/page.tsx;apps/web/src/app/(app)/factories/cr/[id]/page.tsx;apps/web/src/app/(app)/factories/page.tsx,SAQEEL Factories.dc.html;SAQEEL Factory 360.dc.html,CR-410..CR-429,WA-M4-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M4,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m4-specs> && node scripts/validate_web_admin_phase1.mjs
M5,Review Cases and Tasks,6,F0;M2,/reviews/**;/cases;/tasks,apps/web/src/app/(app)/cases/page.tsx;apps/web/src/app/(app)/reviews/[id]/page.tsx;apps/web/src/app/(app)/reviews/[id]/started/page.tsx;apps/web/src/app/(app)/reviews/page.tsx;apps/web/src/app/(app)/tasks/page.tsx,SAQEEL Review & Approval.dc.html;SAQEEL Cases.dc.html;SAQEEL Tasks.dc.html,CR-357..CR-409,WA-M5-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M5,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m5-specs> && node scripts/validate_web_admin_phase1.mjs
M6,Compliance Enforcement Committee and Risk,7,F0,/enforcement;/committee;/admin/compliance-*/**;/admin/regulations/**;/admin/violations;/admin/risk/**;/admin/enforcement-recommendations;/admin/bulk-violations,apps/web/src/app/(app)/admin/bulk-violations/page.tsx;apps/web/src/app/(app)/admin/compliance-approvals/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/page.tsx;apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx;apps/web/src/app/(app)/admin/regulations/[id]/page.tsx;apps/web/src/app/(app)/admin/regulations/page.tsx;apps/web/src/app/(app)/admin/risk/models/page.tsx;apps/web/src/app/(app)/admin/risk/page.tsx;apps/web/src/app/(app)/admin/violations/page.tsx;apps/web/src/app/(app)/committee/page.tsx;apps/web/src/app/(app)/enforcement/page.tsx,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,CR-449..CR-478,WA-M6-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M6,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m6-specs> && node scripts/validate_web_admin_phase1.mjs
M7,Reports OCR AI and Incidents,8,F0,/reports/**;/evidence-ocr;/ai/suggestions;/incident-reports,apps/web/src/app/(app)/ai/suggestions/page.tsx;apps/web/src/app/(app)/evidence-ocr/page.tsx;apps/web/src/app/(app)/incident-reports/page.tsx;apps/web/src/app/reports/inspection/[id]/page.tsx,SAQEEL Inspection Report.dc.html;SAQEEL Evidence OCR.dc.html;SAQEEL AI Studio.dc.html;SAQEEL Incident Reports.dc.html,CR-001..CR-478,WA-M7-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M7,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m7-specs> && node scripts/validate_web_admin_phase1.mjs
M8,Admin Identity Roles and Security,9,F0,/admin/access;/admin/security-access;/admin/devices,apps/web/src/app/(app)/admin/access/page.tsx;apps/web/src/app/(app)/admin/devices/page.tsx;apps/web/src/app/(app)/admin/security-access/page.tsx,SAQEEL Users Roles.dc.html;SAQEEL Admin Role Override.dc.html,CR-001..CR-478,WA-M8-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M8,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m8-specs> && node scripts/validate_web_admin_phase1.mjs
M9,Admin Workflows Forms Lookups and KPI,10,F0;M8,/admin excluding M6/M8/M10 ownership,apps/web/src/app/(app)/admin/audit/page.tsx;apps/web/src/app/(app)/admin/items/[id]/runtime-preview/page.tsx;apps/web/src/app/(app)/admin/items/page.tsx;apps/web/src/app/(app)/admin/localization/page.tsx;apps/web/src/app/(app)/admin/notifications/page.tsx;apps/web/src/app/(app)/admin/packages/page.tsx;apps/web/src/app/(app)/admin/page.tsx;apps/web/src/app/(app)/admin/planning/expiry/page.tsx;apps/web/src/app/(app)/admin/planning/lookups/page.tsx;apps/web/src/app/(app)/admin/planning/status/page.tsx;apps/web/src/app/(app)/admin/workflows/page.tsx;apps/web/src/app/admin/dashboard-config/page.tsx,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,CR-001..CR-478,WA-M9-AC-001..006,DISCOVERED_CURRENT_CONTRACTS_PLUS_EXPLICIT_GAP_RECORD;NO_REMOTE_DDL_WITHOUT_APPROVAL,/field/**;apps/web/src/lib/offline.ts;G11 performance branch;main;unowned package files,typecheck;build;focused functional/negative;RLS/RBAC;EN/AR RTL;light/dark;responsive;a11y;visual diff;protected regression,INSPECTION_DOCS_ROOT/07_TEST_EVIDENCE_AND_SCREENSHOTS/web-admin-phase1/M9,Shared shell/i18n/global CSS/migrations remain F0-owned; request F0 follow-up for shared changes,Revert package commit/branch; database remediation is additive forward-only,npm run typecheck && npm run build && npx playwright test <focused-m9-specs> && node scripts/validate_web_admin_phase1.mjs
