channel,route,source_file,component_exists
ADMIN,/admin,apps/web/src/app/(app)/admin/page.tsx,YES
ADMIN,/admin/access,apps/web/src/app/(app)/admin/access/page.tsx,YES
ADMIN,/admin/audit,apps/web/src/app/(app)/admin/audit/page.tsx,YES
ADMIN,/admin/bulk-violations,apps/web/src/app/(app)/admin/bulk-violations/page.tsx,YES
ADMIN,/admin/compliance-approvals,apps/web/src/app/(app)/admin/compliance-approvals/page.tsx,YES
ADMIN,/admin/compliance-requests,apps/web/src/app/(app)/admin/compliance-requests/page.tsx,YES
ADMIN,/admin/compliance-requests/:id,apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,YES
ADMIN,/admin/compliance-requests/new,apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx,YES
ADMIN,/admin/dashboard-config,apps/web/src/app/admin/dashboard-config/page.tsx,YES
ADMIN,/admin/devices,apps/web/src/app/(app)/admin/devices/page.tsx,YES
ADMIN,/admin/enforcement-recommendations,apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx,YES
ADMIN,/admin/execution,apps/web/src/app/admin/execution/page.tsx,YES
ADMIN,/admin/gis,apps/web/src/app/(app)/admin/gis/page.tsx,YES
ADMIN,/admin/gis/spatial,apps/web/src/app/(app)/admin/gis/spatial/page.tsx,YES
ADMIN,/admin/integrations,apps/web/src/app/(app)/admin/integrations/page.tsx,YES
ADMIN,/admin/integrations/factory-data,apps/web/src/app/(app)/admin/integrations/factory-data/page.tsx,YES
ADMIN,/admin/items,apps/web/src/app/(app)/admin/items/page.tsx,YES
ADMIN,/admin/items/:id/runtime-preview,apps/web/src/app/(app)/admin/items/[id]/runtime-preview/page.tsx,YES
ADMIN,/admin/localization,apps/web/src/app/(app)/admin/localization/page.tsx,YES
ADMIN,/admin/notifications,apps/web/src/app/(app)/admin/notifications/page.tsx,YES
ADMIN,/admin/operations,apps/web/src/app/(app)/admin/operations/page.tsx,YES
ADMIN,/admin/packages,apps/web/src/app/(app)/admin/packages/page.tsx,YES
ADMIN,/admin/planning/expiry,apps/web/src/app/(app)/admin/planning/expiry/page.tsx,YES
ADMIN,/admin/planning/lookups,apps/web/src/app/(app)/admin/planning/lookups/page.tsx,YES
ADMIN,/admin/planning/status,apps/web/src/app/(app)/admin/planning/status/page.tsx,YES
ADMIN,/admin/regulations,apps/web/src/app/(app)/admin/regulations/page.tsx,YES
ADMIN,/admin/regulations/:id,apps/web/src/app/(app)/admin/regulations/[id]/page.tsx,YES
ADMIN,/admin/risk,apps/web/src/app/(app)/admin/risk/page.tsx,YES
ADMIN,/admin/risk/models,apps/web/src/app/(app)/admin/risk/models/page.tsx,YES
ADMIN,/admin/security-access,apps/web/src/app/(app)/admin/security-access/page.tsx,YES
ADMIN,/admin/violations,apps/web/src/app/(app)/admin/violations/page.tsx,YES
ADMIN,/admin/workflows,apps/web/src/app/(app)/admin/workflows/page.tsx,YES
WEB,/,apps/web/src/app/page.tsx,YES
WEB,/ai/suggestions,apps/web/src/app/(app)/ai/suggestions/page.tsx,YES
WEB,/cases,apps/web/src/app/(app)/cases/page.tsx,YES
WEB,/committee,apps/web/src/app/(app)/committee/page.tsx,YES
WEB,/dashboard,apps/web/src/app/(app)/dashboard/page.tsx,YES
WEB,/enforcement,apps/web/src/app/(app)/enforcement/page.tsx,YES
WEB,/evidence-ocr,apps/web/src/app/(app)/evidence-ocr/page.tsx,YES
WEB,/factories,apps/web/src/app/(app)/factories/page.tsx,YES
WEB,/factories/:id,apps/web/src/app/(app)/factories/[id]/page.tsx,YES
WEB,/factories/cr/:id,apps/web/src/app/(app)/factories/cr/[id]/page.tsx,YES
WEB,/incident-reports,apps/web/src/app/(app)/incident-reports/page.tsx,YES
WEB,/launch,apps/web/src/app/launch/page.tsx,YES
WEB,/launch/no-workspace,apps/web/src/app/launch/no-workspace/page.tsx,YES
WEB,/login,apps/web/src/app/login/page.tsx,YES
WEB,/operations,apps/web/src/app/(app)/operations/page.tsx,YES
WEB,/operations/exceptions,apps/web/src/app/(app)/operations/exceptions/page.tsx,YES
WEB,/operations/live,apps/web/src/app/(app)/operations/live/page.tsx,YES
WEB,/planning,apps/web/src/app/(app)/planning/page.tsx,YES
WEB,/planning/bulk,apps/web/src/app/(app)/planning/bulk/page.tsx,YES
WEB,/planning/bulk/review,apps/web/src/app/(app)/planning/bulk/review/page.tsx,YES
WEB,/planning/immediate,apps/web/src/app/(app)/planning/immediate/page.tsx,YES
WEB,/planning/plans,apps/web/src/app/(app)/planning/plans/page.tsx,YES
WEB,/planning/plans/:id,apps/web/src/app/(app)/planning/plans/[id]/page.tsx,YES
WEB,/planning/single,apps/web/src/app/(app)/planning/single/page.tsx,YES
WEB,/planning/visits,apps/web/src/app/(app)/planning/visits/page.tsx,YES
WEB,/planning/visits/:id,apps/web/src/app/(app)/planning/visits/[id]/page.tsx,YES
WEB,/portal,apps/web/src/app/(app)/portal/page.tsx,YES
WEB,/profile,apps/web/src/app/(app)/profile/page.tsx,YES
WEB,/reference/web-admin/f0,apps/web/src/app/reference/web-admin/f0/page.tsx,YES
WEB,/reports/inspection/:id,apps/web/src/app/reports/inspection/[id]/page.tsx,YES
WEB,/reset,apps/web/src/app/reset/page.tsx,YES
WEB,/reviews,apps/web/src/app/(app)/reviews/page.tsx,YES
WEB,/reviews/:id,apps/web/src/app/(app)/reviews/[id]/page.tsx,YES
WEB,/reviews/:id/started,apps/web/src/app/(app)/reviews/[id]/started/page.tsx,YES
WEB,/tasks,apps/web/src/app/(app)/tasks/page.tsx,YES
WEB,/virtual,apps/web/src/app/(app)/virtual/page.tsx,YES
WEB,/virtual/:id,apps/web/src/app/(app)/virtual/[id]/page.tsx,YES
WEB,/visits,apps/web/src/app/(app)/visits/page.tsx,YES
WEB,/visits/:id,apps/web/src/app/(app)/visits/[id]/page.tsx,YES
WEB,/visits/calendar,apps/web/src/app/(app)/visits/calendar/page.tsx,YES
WEB,/visits/map,apps/web/src/app/(app)/visits/map/page.tsx,YES
WEB,/visits/workload,apps/web/src/app/(app)/visits/workload/page.tsx,YES
