priority_rank,screen_id,journey_id,design_ac_id,current_status,missing_item,dependency_or_hold_reason
1,SCR-ADM-001,P00,DSG-001,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Control-plane home exposes engine health drafts approvals dependencies and audit""; required evidence not yet produced: dark/light EN/AR desktop; component/state annotations; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
2,SCR-ADM-010,P00,DSG-002,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Regulation library supports search filtering versions lifecycle and empty/error states""; required evidence not yet produced: desktop states; keyboard table proof; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
3,SCR-ADM-011,P00,DSG-003,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Regulation detail makes clauses mappings dependencies versions and lock state clear""; required evidence not yet produced: detail/locked/validation frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
4,SCR-ADM-020,P00,DSG-004,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Inspection item semantics scoring evidence and clause mapping are comprehensible""; required evidence not yet produced: populated/error/read-only frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
5,SCR-ADM-030,P00,DSG-005,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Package library distinguishes draft active scheduled and superseded versions""; required evidence not yet produced: library lifecycle frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
6,SCR-ADM-031,P00,DSG-006,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Package designer integrates tree canvas inspector preview validation impact approval and publish""; required evidence not yet produced: golden screen; interaction annotations; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
7,SCR-ADM-040,P00,DSG-007,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Violation catalogue communicates legal basis applicability level and lifecycle""; required evidence not yet produced: desktop EN/AR frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
8,SCR-ADM-041,P00,DSG-008,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Penalty mapping and one-to-one cardinality are explicit and validated""; required evidence not yet produced: mapping/conflict frames; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
9,SCR-ADM-050,P00,DSG-009,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Workflow library exposes object version status effective date and validation""; required evidence not yet produced: library states; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
10,SCR-ADM-051,P00,DSG-010,not_started,"design acceptance status=not_started (NOT accepted) — design outcome unproven: ""Workflow designer exposes states transitions roles guards SLA side effects simulation and publish""; required evidence not yet produced: golden screen; invalid graph states; states(populated|loading|empty|validation|unauthorized|read_only|stale|degraded|recovery); locales(EN;AR incl. AR/RTL); themes(dark;light); viewports(desktop)",none
