migration_id,source,classification,notes,remote_tracking_detail
0001_foundation,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0002_rbac_audit,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0003_seed_contract_data,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0004_fix_audit_trigger,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0005_audit_absolute_immutability,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0006_package_maker_checker,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0007_user_roles_read,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0008_visibility_widen,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0009_virtual_otp,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0010_fix_access_roster_visibility,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0011_factory360_gis_ksa_seed,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0012_admin_dossier_visibility,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0013_ui_strings_localization,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0014_ui_strings_history_sync,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0015_w1_field_home,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0015_w1_journey_state,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0015_w1_workspace_runtime,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0017_w3_factory_master_data,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0018_w4_notifications_reviews,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0019_w5_records,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0020_fix_factory_verification,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0020_fix_field_journey,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0020_fix_media_records,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0020_fix_plans_attachments,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0021_fix_broad_rls,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0022_auth_audit_events,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0023_fix_otp_rpc_authorization,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0024_fix2_admin_package_impact,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0024_fix2_ops_planning_visits,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0024_fix_inspections_update_reviewer,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0025_scheduled_visit_expiry,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0026_cd021_bulk_publish_atomic,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0027_cd023_immediate_visit_atomic,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0028_cd023_private_helpers,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0029_cd023_rls_initplan,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0030_cd023_inspector_immediate_expiry,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
0031_cd023_assignment_overlap_guard,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260714060935_cd023_urgency_contract,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260714091726_plan_validated_state,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260714091727_planning_publish_guards,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260714093000_cd025_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260714100000_cd026_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260714110000_cd026_ar_strings_addendum,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715090000_cd004_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715100000_cd005_cd006_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715101000_cd007_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715102000_cd010_cd011_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715103000_cd008_cd009_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715120000_cd028_reviewer_read_fix,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715130000_cd028_one_open_review_per_version,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715140000_cd030_review_decision_check,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715160000_cd030_review_scope_rbac,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715170000_cd041_verified_transition_guard,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715173000_admin_configuration_audit,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715180000_cd006_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715180000_cd042_otp_status_authorization,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715180000_field_arrival_evidence,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715190000_cd042_audit_read_seam,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715193000_field_arrival_evidence_column_repair,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715200000_cd006_011_backend_completion,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715200000_cd024_ar_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715210000_cd006_011_frontend_strings,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260715220000_m09_authoritative_contract_completion,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716102921_m04_device_eta_override_test_boundary,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716120000_cd025_scopereduced_ar_string,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716120000_cd031_factory360_audit,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
20260716120000_seco_config_versions_roles_rls,local_file,canonical+applied,Exact version+name match found in supabase_migrations.schema_migrations on staging.,
