item_id,persona_id,persona_name_en,role_key_evidence,content_type,title,duration_target,routes_referenced,key_truth_points,truth_class,languages,accessibility_assets,media_state,source_refs,sponsor_decision_required
CH-PA-ADM-COMP,PA-ADM-COMP,Compliance Admin,admin family,CH,Persona chapter: Compliance Admin,20-45s,/admin/regulations;/admin/regulations/:id;/admin/items;/admin/violations,versioned regulation records; control plane not CRUD,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-004/007/008/010;MASTER_PLAN s11,none
CH-PA-ADM-FORM,PA-ADM-FORM,Form Admin,admin family,CH,Persona chapter: Form Admin,20-45s,/admin/items;/admin/packages,item/checklist governance; locked packages,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-004/006,none
CH-PA-ADM-WF,PA-ADM-WF,Workflow Admin,admin family,CH,Persona chapter: Workflow Admin,20-45s,/admin/workflows,do-not-publish safety; canonical transitions only,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-011,none
CH-PA-ADM-RISK,PA-ADM-RISK,Risk Owner,admin family,CH,Persona chapter: Risk Owner,20-45s,/admin/risk;/admin/risk/models,model versions; no invented weights,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-009/031,none
CH-PA-ADM-GIS,PA-ADM-GIS,GIS Admin,admin family,CH,Persona chapter: GIS Admin,20-45s,/admin/gis;/admin/gis/spatial,location governance; no location publish in demo,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-003/030,none
CH-PA-ADM-SEC,PA-ADM-SEC,Security Admin,admin family,CH,Persona chapter: Security Admin,20-45s,/admin/access;/admin/security-access;/admin/devices,permissions read-only demo; devices fail-closed (no MDM claim),IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-002/039/042,none
CH-PA-PLN,PA-PLN,Planner,has_role('planner') server guard,CH,Persona chapter: Planner,20-45s,/planning;/planning/bulk;/planning/bulk/review;/planning/single;/planning/immediate;/visits,atomic publish; draft-validated-published,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-018..023/027,none
CH-PA-OPS,PA-OPS,Operations,ops role key,CH,Persona chapter: Operations,20-45s,/operations;/operations/live;/operations/exceptions;/dashboard,projected movement not GPS; override decisions are ops-only,IMPLEMENTED+PROVIDER_DEP+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-016/017/036/045,none
CH-PA-INS,PA-INS,Inspector,inspector role key,CH,Persona chapter: Inspector,20-45s,/field;/field/:visitId;/field/inspection/:id,geofenced arrival; offline outbox; immutability,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-013/014/015,none
CH-PA-REV,PA-REV,Reviewer,reviewer role key; canDecide=reviewer/ops,CH,Persona chapter: Reviewer,20-45s,/reviews;/reviews/:id,one open review per version; returned sections,IMPLEMENTED+MEDIA_DEP,EN+AR,captions+transcript+AD+poster+reduced_motion,NOT_STARTED,RTE-024/025/059,none
