requirement_id,module,capability,classification,mvp1_rule,deferred_subcapability,implementation_guard,source
MVP1-M01-001,Visit Planning - Planning,Visit Creation,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,N/A,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 2
MVP1-M01-002,Visit Planning - Planning,Bulk Planning,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Recommend factories, highlight high-risk factories, recommend assignment strategy (Phase 2).",Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 3
MVP1-M01-003,Visit Planning - Planning,Planning Criteria Builder,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Suggest additional criteria based on previous planning (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 4
MVP1-M01-004,Visit Planning - Planning,Target Factory Identification,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Rank factories by risk or priority (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 5
MVP1-M01-005,Visit Planning - Planning,Target Factory Selection,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Highlight high-risk factories (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 6
MVP1-M01-006,Visit Planning - Planning,Visit Configuration,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend visit window based on inspector availability (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 7
MVP1-M01-007,Visit Planning - Planning,Automatic Inspector Assignment,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Recommend assignment using workload balancing, region proximity and inspector capacity.",Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 8
MVP1-M01-008,Visit Planning - Planning,Manual Inspector Assignment,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend the most suitable inspector (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 9
MVP1-M01-009,Visit Planning - Planning,Review Visit Plan,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Highlight missing or abnormal data (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 10
MVP1-M01-010,Visit Planning - Planning,Publish Visit Plan,MVP1 Core + MVP2 AI Sub-capability,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Summarize publishing results (Phase 2).,Do not defer the full requirement.,Inspection Project.xlsx | Visit Planning-Planning | row 11
MVP1-M01-011,Visit Planning - Planning,Select Planning Method,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,N/A,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 12
MVP1-M01-012,Visit Planning - Planning,Build Planning Criteria,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend additional filters based on previous campaigns.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 13
MVP1-M01-013,Visit Planning - Planning,Retrieve Target Factories,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Rank factories by risk.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 14
MVP1-M01-014,Visit Planning - Planning,Review Target Factories,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Highlight abnormal factories.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 15
MVP1-M01-015,Visit Planning - Planning,Select Target Factories,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Suggest additional factories.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 16
MVP1-M01-016,Visit Planning - Planning,AI Planning Summary,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Explain risks, workload, hotspots, recommendations.",Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 17
MVP1-M01-017,Visit Planning - Planning,Configure Visit Details,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend best visit window.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 18
MVP1-M01-018,Visit Planning - Planning,Auto Assignment,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Balance workload, proximity, capacity, skills.",Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 19
MVP1-M01-019,Visit Planning - Planning,Manual Assignment,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend better inspector if needed.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 20
MVP1-M01-020,Visit Planning - Planning,Review & Publish,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Summarize publishing result.,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 21
MVP1-M01-021,Visit Planning - Planning,Select Planning Method,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,N/A,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 22
MVP1-M01-022,Visit Planning - Planning,Build Planning Criteria,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Suggest frequently used filters and recommended criteria (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 23
MVP1-M01-023,Visit Planning - Planning,Search Target Factories,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Rank factories based on calculated inspection risk (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 24
MVP1-M01-024,Visit Planning - Planning,Review Target Factories,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Highlight factories with abnormal risk, overdue inspections or high violations (Future).",Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 25
MVP1-M01-025,Visit Planning - Planning,Select Target Factories,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend additional factories with similar risk profile (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 26
MVP1-M01-026,Visit Planning - Planning,AI Planning Summary,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Summarize inspection coverage, identify hotspots, highlight overloaded regions, estimate workload, identify high-risk factories and recommend inspection priorities.",Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 27
MVP1-M01-027,Visit Planning - Planning,Configure Visit Details,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend optimal visit window based on inspector availability (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 28
MVP1-M01-028,Visit Planning - Planning,Automatic Inspector Assignment,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,"Recommend assignment using workload balancing, inspector capacity, geographical proximity, specialization, previous inspections and region ownership.",Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 29
MVP1-M01-029,Visit Planning - Planning,Manual Inspector Assignment,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Recommend a better inspector if workload or location is unsuitable (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 30
MVP1-M01-030,Visit Planning - Planning,Review Visit Plan,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Summarize campaign readiness and highlight issues requiring attention (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 31
MVP1-M01-031,Visit Planning - Planning,Publish Visit Plan,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Summarize publishing results and provide operational insights (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 32
MVP1-M01-032,Visit Planning - Planning,Bulk Edit Visit Plan,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,Highlight affected inspectors and recommend reassignment if required (Future).,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 33
MVP1-M01-033,Visit Planning - Planning,Bulk Cancel Visits,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,N/A,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 34
MVP1-M01-034,Visit Planning - Planning,Select Single Planning,MVP1 Mandatory,User and system behavior in Purpose/User Actions/System Actions/Business Rules remains MVP1.,N/A,Implement as specified.,Inspection Project.xlsx | Visit Planning-Planning | row 35
