dependency_id,provider_or_api,required_contract,required_credentials,required_webhook,required_sla,affected_routes,affected_requirements,current_state,stub_behavior,ui_truth,audit_expectation
EXT-001,Mapbox GL JS and Directions,"DEC-008 renderer/Directions contract; licensing data-residency and offline-pack confirmation remain open",MAPBOX_ACCESS_TOKEN and public map token,Not required for current request/response adapter,Provider SLA not supplied,"/operations/live; /visits/map; /field/map; /api/routing/eta","DEC-008; FLD-JRN-003; FLD-JRN-004",PARTIAL_LIVE_CONFIGURATION_DEPENDENT,"FEATURE_MAP_PROVIDER=stub is non-production only; deterministic fixture IDs and outcomes; no business mutation","Provider unavailable or TEST STUB; never live GPS",Provider failures remain server-side; material route estimates require telemetry audit
EXT-002,Google Gemini suggestions and OCR,"Governed suggestion/OCR request and response contract; human confirmation remains authoritative",GEMINI_API_KEY_INSPECTION or GEMINI_API_KEY,Not required,Provider SLA not supplied,"/evidence-ocr; planning assistive summaries","DEC-026; evidence OCR requirements",CONFIGURATION_DEPENDENT,"No key returns unavailable and produces no text; no mutation","AI/OCR unavailable; never fabricated or auto-approved",Invocation/result provenance required when live
EXT-003,Resend email,"Notification delivery adapter contract and approved sender/domain",RESEND_API_KEY and RESEND_FROM,Delivery event webhook contract not supplied,Provider SLA not supplied,"/admin/notifications and notification side effects","SCR-ADM-080; notification requirements",CONFIGURATION_DEPENDENT,"Staging notification sink is env-gated deterministic non-network output","Queued/test sink is not delivered email",Delivery attempt and provider receipt must be audited
EXT-004,Unifonic primary SMS/OTP,"DEC-007 provider retries expiry fallback and verified API contract",Provider credentials not supplied,Delivery/status webhook contract not supplied,Provider SLA not supplied,"/login/field; /virtual/sessions/:id/verify; /admin/notifications","DEC-007; SCR-VIR-710; SCR-ADM-080",OPEN_DECISION_NOT_LIVE,"Staging OTP/notification simulation is env-gated deterministic and sends nothing","Provider unavailable or TEST STUB; never delivered",OTP attempts outcomes retry-limit and escalation require audit
EXT-005,Twilio SMS fallback,"Approved fallback conditions under DEC-007 plus messaging API contract",TWILIO_ACCOUNT_SID TWILIO_AUTH_TOKEN TWILIO_FROM_NUMBER,Delivery/status webhook contract not supplied,Provider SLA not supplied,"/admin/notifications; OTP fallback surfaces","DEC-007; SCR-ADM-080; SCR-VIR-710",ADAPTER_PRESENT_NOT_PRIMARY,"Staging notification sink only when explicitly enabled; deterministic and non-network","Queued/test sink is not delivered SMS",Delivery attempt fallback reason and provider receipt must be audited
EXT-006,Twilio Video,"Room/token/media-region and recording contract; browser connect and retention authority",TWILIO_ACCOUNT_SID TWILIO_API_KEY_SID TWILIO_API_KEY_SECRET,Room/recording callback contract not supplied,Provider SLA not supplied,"/virtual and virtual session routes","virtual inspection requirements",CONFIGURATION_DEPENDENT,"NEXT_PUBLIC_FEATURE_VIDEO_PROVIDER=stub is env-gated deterministic; no real room or recording","TEST SESSION or provider unavailable; never live session",Join reconnect end and recording events require audit
EXT-007,DocuSign eSignature,"Enterprise signing and trust-service acceptance contract; DocuSign is not production signer authority",Integration key client secret account/base URI,Envelope status/connect webhook contract not supplied,Provider SLA not supplied,"committee acknowledgement/signature surfaces","digital acknowledgement/signature requirements",ADAPTER_PRESENT_PROVIDER_NOT_APPROVED,"No production signature stub; absent evidence remains unavailable/unverified","Signature unavailable/pending/unverified; never verified",Envelope creation status and verification evidence require immutable audit
EXT-008,Web Push,"VAPID subscription/delivery contract and browser permission behavior",VAPID_PUBLIC_KEY VAPID_PRIVATE_KEY VAPID_SUBJECT,Push receipt webhook not supplied,Provider SLA not supplied,"/push; /admin/notifications","SCR-ADM-080; notification requirements",CONFIGURATION_DEPENDENT,"Staging sink is env-gated deterministic and does not contact push services","Push not configured or test sink; never delivered",Subscription changes attempts and provider results require audit
EXT-009,Senaei API,"Verified endpoint/auth/request/response schemas and authority boundaries",SENAEI_BASE_URL plus API key or bearer token per configured auth mode,Provider webhook contract not supplied,Provider SLA not supplied,"/admin/integrations/senai-data; Factory 360 and submission integrations","Factory 360/Senaei requirements",CONTRACT_AND_CONFIGURATION_DEPENDENT,"No general success stub; invalid/missing contract or credentials fails closed","Source unavailable with neutral error; never current/live",Request metadata source timestamp version and failure classification require audit
EXT-010,Industry Shared API,"ISH-API-001..011 methods auth schemas privacy masking retention precedence and cardinality resolution",Credentials not supplied,Webhook contracts not supplied,Provider SLA not supplied,"Factory 360 web/field snapshot and industry-shared consumers","DEC-027; F360IPAD-API-015",CONTRACT_UNVERIFIED,"No network request is possible; deterministic CONTRACT_UNVERIFIED result and no person-level storage","Contract unverified/unavailable; never live",No mutation; future reads must record source/version and permission masking
EXT-011,Media malware scanning,"Approved scanner contract result vocabulary quarantine and retention",Provider credentials not supplied,Scan result webhook contract not supplied,Provider SLA not supplied,"evidence capture/upload flows","DEC-006; evidence requirements",PROVIDER_NOT_CONFIGURED,"FEATURE_MEDIA_FIXTURES=stub is non-production only and deterministic; real Supabase Storage path remains separate","TEST STUB or scan unavailable; never clean-certified",Capture upload custody scan and signed-URL events require audit
EXT-012,Operations location override approval,"Authoritative operations approval API and actor/decision contract",Credentials not supplied,Decision callback contract not supplied,Provider SLA not supplied,"field journey/location override surfaces","operations override and location requirements",PROVIDER_NOT_CONFIGURED,"test_stub is deterministic non-production only and does not imply real approval","TEST STUB or approval unavailable",Request decision actor correlation and override effect require audit
