source_line_id,source_type,style_or_shape,verbatim_text
PLN-SRC-0001,paragraph,Normal,The Planning Module allows authorized users to create inspection visits for:
PLN-SRC-0002,paragraph,Normal,One specific factory through Single Planning.
PLN-SRC-0003,paragraph,Normal,Multiple factories through Bulk Planning.
PLN-SRC-0004,paragraph,Normal,"The Planner defines the allowed Visit Window, while the Inspector defines the exact Execution Date during the preparation stage."
PLN-SRC-0005,paragraph,Normal,"The Planner may optionally select one or more Report Packages. If no Report Package is selected during planning, the Inspector must select the required package before execution."
PLN-SRC-0006,paragraph,Normal,Planning Entry Points
PLN-SRC-0007,paragraph,Normal,Users may access Planning from the following entry points:
PLN-SRC-0008-R01,table_row,2 columns,Entry Point || Behavior
PLN-SRC-0008-R02,table_row,2 columns,Main Navigation → Operations → Planning || Opens the Planning Visit List.
PLN-SRC-0008-R03,table_row,2 columns,Planning List → Create Visit || Opens the Create Visit journey.
PLN-SRC-0008-R04,table_row,2 columns,Factory 360 → Create Visit || Opens Single Planning with the selected factory prefilled.
PLN-SRC-0008-R05,table_row,2 columns,Factory Map or Factory Quick Card → Create Visit || Opens Single Planning with available factory information prefilled.
PLN-SRC-0008-R06,table_row,2 columns,Returned Visit Notification || Opens the returned visit details and return comments.
PLN-SRC-0008-R07,table_row,2 columns,Draft Visit Notification or Shortcut || Opens the existing draft for continuation.
PLN-SRC-0008-R08,table_row,2 columns,Visit Details → Duplicate Visit || Creates a new draft using eligible information from the selected visit.
PLN-SRC-0009,paragraph,Normal,Access to create or update visits must be controlled through role-based permissions.
PLN-SRC-0010,paragraph,Normal,The Planning List is the main landing page for the Planning Module.
PLN-SRC-0011,paragraph,Normal,"It allows authorized users to view and manage all planning records, including:"
PLN-SRC-0012,paragraph,Normal,Draft
PLN-SRC-0013,paragraph,Normal,Published
PLN-SRC-0014,paragraph,Normal,Returned
PLN-SRC-0015,paragraph,Normal,Cancelled
PLN-SRC-0016,paragraph,Normal,Expired
PLN-SRC-0017,paragraph,Normal,The list must include visits created through both Single and Bulk Planning.
PLN-SRC-0018,paragraph,Normal,Planning List Tabs
PLN-SRC-0019-R01,table_row,2 columns,Tab || Description
PLN-SRC-0019-R02,table_row,2 columns,All || Displays all visits the user is authorized to view.
PLN-SRC-0019-R03,table_row,2 columns,Draft || Displays visits that have not yet been published.
PLN-SRC-0019-R04,table_row,2 columns,Published || Displays visits successfully sent to inspectors.
PLN-SRC-0019-R05,table_row,2 columns,Returned || Displays visits returned to the Planner for correction or reassignment.
PLN-SRC-0019-R06,table_row,2 columns,Cancelled || Displays visits cancelled before inspection execution.
PLN-SRC-0019-R07,table_row,2 columns,"Expired || Displays visits whose Visit Window ended before execution was properly started or completed, according to the configured expiry rule."
PLN-SRC-0020,paragraph,Normal,Planning List Columns
PLN-SRC-0021,paragraph,Normal,General Search
PLN-SRC-0022,paragraph,Normal,The Planning List must support search by:
PLN-SRC-0023,paragraph,Normal,Visit Reference
PLN-SRC-0024,paragraph,Normal,CR Number
PLN-SRC-0025,paragraph,Normal,CR Name
PLN-SRC-0026,paragraph,Normal,License Number
PLN-SRC-0027,paragraph,Normal,Plant Number
PLN-SRC-0028,paragraph,Normal,Factory Name
PLN-SRC-0029,paragraph,Normal,Assigned Inspector
PLN-SRC-0030,paragraph,Normal,Created By
PLN-SRC-0031-R01,table_row,3 columns,Filter || Type || Expected Values
PLN-SRC-0031-R02,table_row,3 columns,"Planning Type || Multi-select || Single, Bulk"
PLN-SRC-0031-R03,table_row,3 columns,"Visit Status || Multi-select || Draft, Published, Returned, Cancelled, Expired"
PLN-SRC-0031-R04,table_row,3 columns,Visit Type || Multi-select lookup || Active Visit Type values
PLN-SRC-0031-R05,table_row,3 columns,Region || Multi-select lookup || Active Saudi regions
PLN-SRC-0031-R06,table_row,3 columns,City || Multi-select dependent lookup || Cities related to selected regions
PLN-SRC-0031-R07,table_row,3 columns,Assigned Inspector || Searchable multi-select || Active inspectors
PLN-SRC-0031-R08,table_row,3 columns,Visit Window Start || Date || From date
PLN-SRC-0031-R09,table_row,3 columns,Visit Window End || Date || To date
PLN-SRC-0031-R10,table_row,3 columns,Created Date || Date range || Creation period
PLN-SRC-0031-R11,table_row,3 columns,Created By || Searchable user list || Authorized users
PLN-SRC-0031-R12,table_row,3 columns,Report Package || Multi-select lookup || Active report packages
PLN-SRC-0031-R13,table_row,3 columns,Priority || Multi-select || Configured priority values
PLN-SRC-0031-R14,table_row,3 columns,Return Status || Single select || Returned before / Never returned
PLN-SRC-0031-R15,table_row,3 columns,Bulk Plan Reference || Text search || Originating Bulk Plan Reference
PLN-SRC-0032,paragraph,Normal,Users must be able to reset all filters.
PLN-SRC-0033,paragraph,Normal,The system should preserve filters during the user’s current session when opening and returning from Visit Details.
PLN-SRC-0034,paragraph,Normal,Page-Level Actions
PLN-SRC-0035-R01,table_row,3 columns,Record-Level Actions ||  || 
PLN-SRC-0035-R02,table_row,3 columns, ||  || 
PLN-SRC-0035-R03,table_row,3 columns, ||  || 
PLN-SRC-0035-R04,table_row,3 columns,"Main Planning Statuses Draft ↓ Published ↓ Returned / Cancelled / Expired A Returned visit may be corrected and republished: Returned ↓ Draft or Returned – Under Update ↓ Published Status Definitions Journey Steps Create Visit ↓ Select Planning Type ├── Single └── Bulk ↓ Search or Identify Factory / Factories ↓ Review Retrieved Factory Information ↓ Confirm or Add Map Location ↓ Define Visit Details ↓ Assign Inspector ↓ Define Visit Window ↓ Select Optional Report Package ↓ Add Attachments and Notes ↓ Save Draft or Publish The system may present the journey as steps, sections, or one expandable form, provided that all validations and dependencies are maintained. Common Visit Fields The following fields apply to both Single and Bulk Planning unless specified otherwise. ||  || "
PLN-SRC-0036,paragraph,Normal,Single Planning Search Methods
PLN-SRC-0037-R01,table_row,2 columns,Search Method || Expected Input
PLN-SRC-0037-R02,table_row,2 columns,CR Number || Valid CR number
PLN-SRC-0037-R03,table_row,2 columns,License Number || Valid industrial license number
PLN-SRC-0037-R04,table_row,2 columns,Plant Number || Valid plant identifier
PLN-SRC-0038,paragraph,Normal,Registered Factory Result
PLN-SRC-0039,paragraph,Normal,"When a match is found, the system must retrieve and display available information."
PLN-SRC-0040-R01,table_row,4 columns,Field || Source || Editable || Expected Value / Explanation
PLN-SRC-0040-R02,table_row,4 columns,CR Number || Senaei || No || Registered Commercial Registration number.
PLN-SRC-0040-R03,table_row,4 columns,CR Name || Senaei || No || Registered commercial name.
PLN-SRC-0040-R04,table_row,4 columns,License Number || Senaei || No || Industrial License number associated with the selected factory.
PLN-SRC-0040-R05,table_row,4 columns,Plant Number || Senaei || No || Plant identifier.
PLN-SRC-0040-R06,table_row,4 columns,"License Stage || Senaei || No || Foundation, Establish, Production, or configured stage."
PLN-SRC-0040-R07,table_row,4 columns,License Status || Senaei || No || Current license status.
PLN-SRC-0040-R08,table_row,4 columns,"Factory Name || Senaei || No, except observation || Registered factory or establishment name."
PLN-SRC-0040-R09,table_row,4 columns,Contact Name || Senaei || According to rule / edited || Available factory contact.
PLN-SRC-0040-R10,table_row,4 columns,Contact Mobile || Senaei || According to rule / edited || Available factory contact number.
