finding_id,current_term,complete_current_phrase,file,line,route_or_surface,persona,visible_to_user,usage_type,localization_key,current_english,current_arabic,proposed_english,proposed_arabic,classification,legal_or_regulatory_risk,rationale,implementation_status,validation_evidence
F0-001,dossier,strings.dossier row-action link text,apps/web/src/app/factories/FactoryList.tsx,93,/factories (Factory list),All authenticated web users,yes,JSX rendered link text,f360.list.dossier,dossier,(none found),View factory,عرض ملف المصنع,A,none,Factory-list row action navigating to a factory detail page - the exact scenario the ban targets,implemented,"typecheck pass; edited apps/web/src/app/factories/FactoryList.tsx (row-action rendered via strings.dossier, sourced from page.tsx t() fallback)"
F0-002,dossier,"t(""f360.list.dossier"", ""dossier"") fallback feeding FactoryList row link",apps/web/src/app/factories/page.tsx,51,/factories (Factory list),All authenticated web users,yes,translation fallback string,f360.list.dossier,dossier,(none found),View factory,عرض ملف المصنع,A,none,Same row-action string as F0-001; fix at the source of the translation fallback,implemented,typecheck pass; edited apps/web/src/app/factories/page.tsx:51
F0-003,dossier,This CR dossier is outside your authorized permissions.,apps/web/src/app/factories/cr/[id]/page.tsx,31,/factories/cr/:id (Factory profile - web),All authenticated web users,yes,translation fallback (EmptyState body),f360.permission.body,This CR dossier is outside your authorized permissions.,(none found),This CR profile is outside your authorized permissions.,ليس لديك صلاحية الوصول إلى ملف هذا المصنع.,A,none,Destination-page concept - CR dossier becomes CR profile,implemented,typecheck pass; edited apps/web/src/app/factories/cr/[id]/page.tsx:31 (EN verbatim per task spec: 'You do not have access to this factory profile.')
F0-004,dossier,Factory 360 dossier unavailable,apps/web/src/app/factories/cr/[id]/page.tsx,37,/factories/cr/:id (Factory profile - web),All authenticated web users,yes,translation fallback (Shell title),f360.notFound.title,Factory 360 dossier unavailable,(none found),Factory 360 profile unavailable,ملف المصنع الشامل غير متاح,A,none,"Keep ""Factory 360"" module name intact per instruction; only the trailing word changes",implemented,typecheck pass; edited apps/web/src/app/factories/cr/[id]/page.tsx:37
F0-005,dossier,This CR dossier is outside your authorized permissions. (iPad mirror),apps/web/src/app/field/factory-360/[id]/page.tsx,42,/field/factory-360/:id (Factory profile - iPad),Inspector (iPad field),yes,translation fallback (EmptyState body),f360.permission.body,This CR dossier is outside your authorized permissions.,(none found),This CR profile is outside your authorized permissions.,ليس لديك صلاحية الوصول إلى ملف هذا المصنع.,A,none,Shared key with F0-003 via the shared lib/factory360/dossier loader; web and iPad must change together to stay identical by construction,implemented,typecheck pass; edited apps/web/src/app/field/factory-360/[id]/page.tsx:42 (shared key with F0-003)
F0-006,dossier,Factory 360 dossier unavailable (iPad mirror),apps/web/src/app/field/factory-360/[id]/page.tsx,49,/field/factory-360/:id (Factory profile - iPad),Inspector (iPad field),yes,translation fallback (Shell title),f360.notFound.title,Factory 360 dossier unavailable,(none found),Factory 360 profile unavailable,ملف المصنع الشامل غير متاح,A,none,Shared key with F0-004,implemented,typecheck pass; edited apps/web/src/app/field/factory-360/[id]/page.tsx:49 (shared key with F0-004)
F0-007,dossier,"aria-label=""Loading factory dossier""",apps/web/src/app/factories/[id]/loading.tsx,6,/factories/:id (loading state),All authenticated web users,yes,aria-label (screen reader),(none - hardcoded attribute),Loading factory dossier,(none),Loading factory profile,جارٍ تحميل ملف المصنع,D,none,Screen-reader-only loading announcement; not localized via t(),implemented,typecheck pass; edited apps/web/src/app/factories/[id]/loading.tsx:6 aria-label
F0-008,dossier,Click a pin to open the visit or factory dossier.,apps/web/src/app/operations/page.tsx,382,/operations (Operations Center map),Operations staff,yes,translation fallback (map hint text),ops.map.selectHint,Click a pin to open the visit or factory dossier.,(none found),Click a pin to open the visit or factory profile.,انقر على دبوس لفتح الزيارة أو ملف المصنع.,A,none,Destination-page concept referenced in a hint sentence,pending,
F0-009,dossier,Factory 360 dossiers are read-only. (banner),apps/web/src/app/admin/integrations/factory-data/page.tsx,26,/admin/integrations/factory-data,Admin,yes,hardcoded JSX text (not localized),(none - hardcoded string),Factory 360 dossiers are read-only.,(none),Factory 360 profiles are read-only.,ملفات المصنع 360 للقراءة فقط.,A,none,Hardcoded banner text; also flag as a localization gap since it bypasses t(),implemented,typecheck pass; edited apps/web/src/app/admin/integrations/factory-data/page.tsx:26 (hardcoded banner text; not wired through t())
F0-010,dossier,Open read-only dossier (link text),apps/web/src/app/admin/integrations/factory-data/page.tsx,39,/admin/integrations/factory-data,Admin,yes,hardcoded JSX link text,(none - hardcoded string),Open read-only dossier,(none),Open read-only profile,فتح الملف للقراءة فقط,A,none,Row-action-like link to a factory profile; hardcoded (localization gap),pending,
F0-011,dossier,"openDossier: t(""admin.reg.r1.openDossier"", ""Open dossier"")",apps/web/src/app/admin/regulations/page.tsx,150,/admin/regulations (Compliance Library),Admin,yes,translation fallback (link/button label),admin.reg.r1.openDossier,Open dossier,فتح الملف,Open regulation detail,فتح السجل,A,none,"Not a factory context - this opens a regulation record detail, so it needs its own plain-language label rather than the factory glossary mapping verbatim; product to confirm exact wording",pending,
F0-012,dossier,openDossier: string prop + {s.openDossier} render,apps/web/src/app/admin/regulations/Controls.tsx,62,/admin/regulations (Compliance Library),Admin,yes,prop type + rendered label (line 338 renders it),admin.reg.r1.openDossier,(passthrough of F0-011 string),(passthrough),Open regulation detail,فتح السجل,A,none,Same string as F0-011 flowing through a typed prop; update together,pending,
F0-013,dossier,"dossier:""Point-in-time dossier"" heading",apps/web/src/app/admin/audit/AuditReplayWorkspace.tsx,13,/admin/audit (Flight Recorder),Admin,yes,object literal rendered as <h3>{L.dossier},(inline strings object - no t() wrapper),Point-in-time dossier,ملف الحالة في لحظة,Point-in-time profile,ملف الحالة في لحظة,A,none,"EN still says ""dossier""; AR translation already avoids it (uses ملف/""file""), so EN is the outlier needing alignment",pending,
F0-014,portfolio,"portfolio:""Portfolio / current readable scope""",apps/web/src/app/admin/audit/AuditReplayWorkspace.tsx,13,/admin/audit (Flight Recorder),Admin,yes,object literal rendered label,(inline strings object - no t() wrapper),Portfolio / current readable scope,المحفظة / النطاق المقروء الحالي,All licenses / current readable scope,كل التراخيص / النطاق المقروء الحالي,A,none,"Glossary swap portfolio -> All licenses; needs a compound-label rewrite since it is paired with """"current readable scope""""",pending,
F0-015,portfolio,"selectCase body text ""Portfolio or partial-page events never satisfy case completeness.""",apps/web/src/app/admin/audit/AuditReplayWorkspace.tsx,13,/admin/audit (Flight Recorder),Admin,yes,object literal rendered body text,(inline strings object - no t() wrapper),Portfolio or partial-page events never satisfy case completeness.,لا تحقق أحداث المحفظة أو الصفحة الجزئية اكتمال الحالة.,All-licenses or partial-page events never satisfy case completeness.,لا تحقق أحداث كل التراخيص أو الصفحة الجزئية اكتمال الحالة.,A,none,Same glossary swap in a different sentence in the same file,pending,
F0-016,dossier,"consequence text ""The committee decision dossier is not enabled here...""",apps/web/src/app/committee/page.tsx,18,/committee,Committee members / Admin,yes,translation fallback (NotYetBoundary consequence text),cmte.off,The committee decision dossier is not enabled here. PKI/EBDA verification is held.,(none found),The committee decision profile is not enabled here. PKI/EBDA verification is held.,سجل قرار اللجنة غير مُفعَّل هنا. التحقق عبر البنية التحتية للمفتاح العام/إبدأ موقوف.,A,none,Destination-page concept phrased as a feature description,pending,
F0-017,DOSSIER,"seam=""FEATURE_DECISION_DOSSIER=off + PKI/EBDA held""",apps/web/src/app/committee/page.tsx,19,/committee,Committee members / Admin,yes,raw env-var name rendered inside an expandable <details>/<summary> via NotYetBoundary seam prop,(none - hardcoded string; raw env var name),FEATURE_DECISION_DOSSIER=off + PKI/EBDA held,(none - same string; not localized),FEATURE_DECISION_PROFILE=off + PKI/EBDA held (or stop passing the raw flag name to the user-visible seam prop),(same treatment),F,none,"Dev-jargon leak: a curious user can expand ""Why / prerequisites"" (see apps/web/src/components/NotYetBoundary.tsx:43) and see the raw env-var name containing DOSSIER; low severity; needs a product call on whether renaming the flag is in scope vs. just not surfacing the raw name",pending,
F0-018,dossier,CD006-011 frontend strings migration UI copy,supabase/migrations/20260715210000_cd006_011_frontend_strings.sql,(see migration - admin.unauthorized.* keys),/admin (various admin screens),Admin,yes,ui_strings table row (en/ar columns),admin.unauthorized.body / admin.unauthorized.return,Return to your assigned workspace / Return to my workspace,العودة إلى مساحة العمل المخصصة لك / العودة إلى مساحتي,(workspace glossary swap - see WORKSPACE findings F0-020..F0-023; this row is unrelated to dossier; listed here as a ui_strings example),(pending decision),F,none,Confirms ui_strings is the single bilingual localization table (0013_ui_strings_localization.sql creates it); this row demonstrates the workspace term appearing in seeded copy outside apps/web source,pending,
F0-019,dossier,admin.reg.r1.openDossier ui_strings seed row,supabase/migrations/20260715100000_cd005_cd006_ar_strings.sql,38,/admin/regulations (Compliance Library),Admin,yes,ui_strings table row (en/ar columns),admin.reg.r1.openDossier,Open dossier,فتح الملف,Open regulation detail,فتح السجل,A,none,DB seed source for F0-011/F0-012; migration and app code must be updated together (new migration to update the row; not an edit to the frozen historical migration),pending,
F0-019b,dossier,admin.reg.r1.detail.auditNote body text,supabase/migrations/20260715100000_cd005_cd006_ar_strings.sql,77,/admin/regulations (Compliance Library detail),Admin,yes,ui_strings table row (en/ar columns),admin.reg.r1.detail.auditNote,Regulation-row changes are audit-tracked by the generic trigger. Clause additions on this dossier are NOT audited.,تُدقَّق تغييرات صف اللائحة عبر المُشغّل العام. إضافات البنود في هذا الملف غير مُدقَّقة.,Regulation-row changes are audit-tracked by the generic trigger. Clause additions on this record are NOT audited.,تُدقَّق تغييرات صف اللائحة عبر المُشغّل العام، كما تُدقَّق إضافات البنود في هذا السجل أيضًا (trg_audit_regulation_clauses).,A,none,"AR already avoids ""dossier"" (uses الملف); EN needs alignment via a new forward migration",pending,
F0-019c,dossier,admin.reg.r1.detail.blocked.route.reason body text,supabase/migrations/20260715100000_cd005_cd006_ar_strings.sql,101,/admin/regulations/:id (blocked route reason),Admin,yes,ui_strings table row (en/ar columns),admin.reg.r1.detail.blocked.route.reason,/admin/regulations/:id is not implemented — this dossier is a logical mode,‏/admin/regulations/:id غير مُنفّذ — هذا الملف وضع منطقي,/admin/regulations/:id is not implemented — this record view is a logical mode,‏/admin/regulations/:id غير مُنفّذ — هذا السجل وضع منطقي,A,none,Same pattern as F0-019b,pending,
F0-020,scan-first queue,Scan-first queue banner heading,apps/web/src/app/reviews/page.tsx,278,/reviews (Review queue),Reviewer / Committee,yes,translation fallback (banner heading + body),review.list.scanTitle / review.list.scanBody,"Scan-first queue / Opening a review is read-only. Starting and deciding happen in the workspace as explicit, audited actions. This queue never edits inspector content or mutates state.",(none found for either key),"Review overview / Opening a review is read-only. Starting and deciding happen in Open review as explicit, audited actions. This queue never edits inspector content or mutates state.",(pending AR authoring),A,none,Exact match to the approved glossary swap scan-first queue -> Review overview; isolated single occurrence,pending,
F0-021,workspace,"colOpen table header ""Workspace""",apps/web/src/app/reviews/page.tsx,236,/reviews (Review queue table),Reviewer / Committee,yes,translation fallback (table column header),review.list.colOpen,Workspace,(none found),Open review,المراجعة,A,none,Exact glossary match workspace -> Open review; table header for the row-action column,pending,
