screen,design_component,state,code_component,css_selector_or_token,disposition,input_contract_note
ALL,Shared shell,all,Shell.tsx / ShellClient.tsx / shell-navigation.ts,.legacy-shell / .legacy-pagehead,PRESERVE,frozen SHELL-V3
ALL,Truth-tier tags + legend,all,"TruthTier (CREATE, shared)",.tt-tag / .tt-legend,CREATE,tier: proven|computed|blocked + label
ALL,Blocked-inputs panel,all,"BlockedSeams (CREATE, shared)",.wf-blocked / .wf-ph,CREATE,"[{label, placeholder, tier, seamId}]"
ALL,Maker-checker banners/guards,governance,"ApprovalGrammar (CREATE, shared)",.wf-guard / .legacy-banner--immutable,CREATE,status + maker + checker
CD-012,Version lineage signature,populated,LifecycleSignature.tsx,.wf-lin,CREATE,config_versions rows (proven render)
CD-012,Maker/checker cell,populated,WorkflowLibraryPage,.wf-mc,UPDATE,profiles resolution
CD-013,State canvas,draft,WorkflowDesigner canvas,.dz-canvas / .dz-node / .dz-edge,UPDATE,draft payload states+transitions
CD-013,Transition inspector,draft,WorkflowDesigner inspector,.m-kv,UPDATE,selected transition from payload
CD-013,Scenario replay,sim-*,ScenarioReplay,.dz-step,CREATE-BLOCKED,needs simulation engine — HANDOFF_BLOCKED_SIMULATION
CD-014,Driver/weight list,all,RiskDrivers,.rk-driver / .rk-bar,CREATE,DEC-001 drivers
CD-014,Risk bands,all,RiskBands,.rk-band,CREATE,DEC-001 thresholds
CD-014,Calculation trace,all,RiskTrace,.rk-trace / .rk-score,CREATE,factory inputs + weights (client arithmetic)
CD-015,Map canvas + layers,all,GisStudio.tsx,.gx-map / .gx-layer,UPDATE,tiles blocked; geometry facts readable without tiles
CD-015,Location confidence stack,all,ConfidenceStack,.gx-conf,CREATE,official + verified + polygon + geofence w/ provenance
CD-016,Rule list,all,RuleList,.nt-rule / .nt-evt / .nt-chan,CREATE-BLOCKED,no dedicated route — HANDOFF_BLOCKED_ROUTE
CD-016,SLA timeline simulator,all,SlaTimeline,.nt-tl,CREATE-BLOCKED,work calendar DEC-003/007 confirmation needed
CD-017,Capability matrix,all,PermissionMatrix,.rp-matrix,UPDATE,rbac_matrix.csv rows
CD-017,Effective-access explainer,all,AccessExplainer,.rp-sim / .rp-why,CREATE,explains only; RLS citations pending
CD-018,String row EN/AR,all,StringRow,.lz-row / .lz-ph / .lz-drift,UPDATE,ui_strings row + version history
CD-018,Version history + restore,all,StringHistory,.wf-prov,CREATE,ui_strings versions (restore = versioned insert)
CD-019,Event stream,all,AuditStream,.au-stream / .au-ev / .au-corr,UPDATE,audit_events page
CD-019,Before/after diff,all,AuditDiff,.au-diff,CREATE,event payload before/after images
CD-019,Redaction mask,redaction,AuditMask,.au-redact,CREATE-BLOCKED,masking policy pending
