element,value_or_type,source,exact_behavior,disposition
section title edit,action,current,DraftEditor,current
section mandatory flag,action,current,DraftEditor,current
add/remove item code,action,current,DraftEditor,current
add section,action,current,DraftEditor,current
save draft definition,action,current,saveDraftDefinition (draft only),current
preview,read-only,current,PackagePreview projection,current
item reorder,none,NONE,none,HANDOFF_BLOCKED
condition authoring,none,NONE,none,HANDOFF_BLOCKED
scoring toggle,none,NONE,none,HANDOFF_BLOCKED
evidence-model editor,none,NONE,none,HANDOFF_BLOCKED
action-form authoring,none,NONE,none,HANDOFF_BLOCKED
simulation engine,none,NONE,none,HANDOFF_BLOCKED
circular-condition detector,none,NONE,none,HANDOFF_BLOCKED
