Source sheet,Source row,Capability,Provisional map criterion,Raw workbook criterion,Issue,Impact
Visit Planning- Mangment,20,Visit Management Workspace,"Visit Repository, User Roles, Dashboard Service",Planner can access and manage all planning activities.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,21,Planning KPI Summary,Visit Repository,KPI values always match visit records.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,22,Advanced Search,"Search Engine, Visit Repository",Matching visits are returned accurately.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,23,Advanced Filters,Visit Repository,Filtered results are displayed correctly.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,24,Visit List,Visit Repository,Planner can easily navigate all visits.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,25,View Visit Details,Visit Repository,Complete visit information is displayed.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,26,Edit Visit,"Validation Engine, Assignment Engine",Changes are successfully saved.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,27,Reassign Inspector,"Assignment Engine, Notification Service",Inspector assignment is updated successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,28,Reschedule Visit,Calendar Engine,Visit window is updated successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,29,Cancel Visit,"Notification Service, Audit Service",Visit is cancelled successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,30,Process Returned Visit,Visit Repository,Planner can process returned visits successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,31,Republish Visit,Notification Service,Returned visit is successfully republished.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,32,Bulk Edit Visits,Visit Plan Repository,Selected visits are updated successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,33,Bulk Reassign,Assignment Engine,Bulk reassignment completes successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,34,Bulk Reschedule,Calendar Engine,Selected visits are rescheduled successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,35,Bulk Cancel,Notification Service,Selected visits are cancelled successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,36,Visit Plan Details,Visit Plan Repository,Planner can review complete Visit Plan details.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,37,Campaign Progress,Visit Plan Repository,Campaign progress is displayed correctly.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,38,Assignment Center,Assignment Engine,Planner can evaluate workload before assignment changes.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,39,Calendar View,Calendar Engine,Visits are displayed accurately on the calendar.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,40,Map View,GIS Platform,Planner can visualize all planned visits on the map.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,41,Conflict Validation Center,Validation Engine,Conflicts are detected accurately before planning changes are saved.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,42,Notifications,Notification Service,Relevant users receive notifications successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,43,Attachments,Document Management Service,Attachments are available to authorized users.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,44,Internal Notes,Notes Service,Internal notes are saved successfully.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,45,Activity Timeline,Audit Service,Timeline accurately reflects all events.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,46,Audit History,Audit Service,Every planning action is fully traceable.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
Visit Planning- Mangment,47,Automatic Visit Expiry,Scheduler Service,Visits expire automatically according to business rules.,Column drift: raw workbook criterion is in column N; provisional map captured column M.,Sequence mapping remains intact; semantic review used the raw criterion.
