evidence_id,design_ac_ids,journey,screen_ids,artifact_path,viewport,locale,direction,theme,state,source_commit,review_status,reviewer,notes
EV-DESIGN-001,"DSG-001;DSG-006;DSG-010",P00,"SCR-ADM-001;SCR-ADM-031;SCR-ADM-051",,1440x1024,EN,LTR,dark,populated,,pending,,
EV-DESIGN-002,"DSG-015;DSG-019;DSG-020","P01;P02;P03","SCR-WEB-100;SCR-WEB-140;SCR-WEB-150",,1440x1024,AR,RTL,light,populated,,pending,,
EV-DESIGN-003,"DSG-028;DSG-029;DSG-030","P04;P06A","SCR-IPAD-600;SCR-IPAD-610;SCR-IPAD-620",,1024x1366,EN,LTR,light,"offline;poor GPS;override",,pending,,
EV-DESIGN-004,"DSG-031;DSG-032;DSG-033;DSG-034","P07;P08;P09","SCR-IPAD-630;SCR-IPAD-640;SCR-IPAD-650;SCR-IPAD-660",,1024x1366,AR,RTL,dark,"populated;conflict;blocker",,pending,,
EV-DESIGN-005,"DSG-023;DSG-024;DSG-025","P10;P11","SCR-WEB-300;SCR-WEB-310;SCR-WEB-320",,1440x1024,EN,LTR,dark,"return;compare;approve",,pending,,
EV-DESIGN-006,"DSG-036;DSG-037;DSG-038",P06B,"SCR-VIR-700;SCR-VIR-710;SCR-VIR-720",,1440x1024,AR,RTL,light,"provider pending;OTP lockout;fallback",,pending,,
EV-DESIGN-007,"DSG-026;DSG-027",P12,"SCR-WEB-400;SCR-WEB-500",,1440x1024,EN,LTR,dark,"partial failure;projected map;stale",,pending,,
EV-DESIGN-008,"DSG-028;DSG-029;DSG-030;DSG-031",field-responsive,"SCR-IPAD-600;SCR-IPAD-610;SCR-IPAD-620;SCR-IPAD-630",,1366x1024,AR,RTL,light,landscape,,pending,,
EV-SHELL-001,DSG-SHELL-001,shared-shell,SHARED-AUTH-SHELL,${INSPECTION_DOCS_ROOT}/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/shell-v1/planner-desktop-en-dark.png,1440x1000,EN,LTR,dark,expanded,,pending_sponsor_runtime_review,Codex,"Automated capture visually reviewed"
EV-SHELL-002,DSG-SHELL-001,shared-shell,SHARED-AUTH-SHELL,${INSPECTION_DOCS_ROOT}/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/shell-v1/planner-desktop-en-collapsed.png,1440x1000,EN,LTR,dark,collapsed,,pending_sponsor_runtime_review,Codex,"Accessible names retained; narrow rail visually verified"
EV-SHELL-003,DSG-SHELL-001,shared-shell,SHARED-AUTH-SHELL,${INSPECTION_DOCS_ROOT}/07_TEST_EVIDENCE_AND_SCREENSHOTS/product-contract/evidence/screens/shell-v1/planner-mobile-ar-light-drawer.png,390x844,AR,RTL,light,mobile_drawer_open,,pending_sponsor_runtime_review,Codex,"Physical right drawer, backdrop and close visually verified"
