visual_element,label,value_type,source_status,exact_table_or_view,exact_columns,query_or_filter,rls_guard,error_null_rendering,fixture_or_runtime,evidence_ref
Page lozenge,"1 source unavailable",derived per-source state,current (derived from per-source result objects),n/a (client derivation),n/a,count of failed results,authenticated read,shows count of failed sources; never a health verdict,fixture,r2e/r2g header
Read timestamp,"page read 2026-07-14 11:36",timestamp fact,current (server render time),n/a,n/a,render time,n/a,shown as fact; no staleness verdict,fixture,r2e/r2g header
Spine row 1 count,"38 regulations",integer,current,regulations,id,head count exact,authenticated read (broad),unavailable state — never zero,fixture,r2e row1
Spine row 1 lifecycle,"per-regulation status lives in the module; no update timestamp is read here",copy,current truth statement,regulations,status (module-side),n/a,same,n/a,n/a,r2e row1
Spine row 2 counts,"6 published · 412 items",integers,current,package_versions; inspection_items,id; id,status=published head count; head count,authenticated read,unavailable state — never zero,fixture,r2e row2
Spine row 2 lifecycle,"draft/published proven · distinct approver enforced · immutable once published",copy,current schema truth,package_versions,status + approver constraint,n/a,same,n/a,n/a,r2e row2
Spine row 3 count,Enforcement unavailable,unknown,current (failure case),violation_codes,id,head count exact,authenticated read,"read failed — count unknown, not zero + per-source retry",fixture (state),r2e row3
Spine row 4 count,"6 domains",integer,current,engine_settings,engine,row count,authenticated read,unavailable state,fixture,r2e row4
Spine row 4 provenance,"risk · v2026.07.11",domain key + version_label + updated_at,current,engine_settings,"engine, version_label, updated_at",order by engine,authenticated read,timestamp shown as provenance fact only,fixture,r2e row4
Spine row 5 count,"1,284 events",integer,current,audit_events,id,head count exact,authenticated read,unavailable state,fixture,r2e row5
Link-only family rows,workflow/risk/gis/access,links,current routes; no data read,n/a,n/a,n/a,module-side,links only; no invented facts,n/a,r2e band2
Scope band,role scope copy,copy,current (shell-navigation roles arrays),shell-navigation.ts,roles[],client role set,server-rendered roles,n/a,n/a,r2e band3
PROPOSED per-family last-mutation,not shown in frames,timestamp,HANDOFF_BLOCKED — IMPLEMENTATION/AUTHORIZATION REQUIRED,audit_events,"object_type, object_id, occurred_at","select object_type, max(occurred_at) from audit_events where object_type in ('regulation','package_version','violation_code','engine_setting') group by object_type",RLS on audit_events (actor scope),per-family null -> no provenance shown (never an invented date); query error -> family provenance unavailable,proposed (requires proposed read + authorization; blocked rationale: no current query on /admin reads audit_events per family),ledger only — test: per-family max matches seeded events; audit implication: read-only none
PROPOSED latest published package version,not shown in frames,text,HANDOFF_BLOCKED — IMPLEMENTATION/AUTHORIZATION REQUIRED,package_versions join packages on package_versions.package_id = packages.id,"packages.code, package_versions.version_label, package_versions.status, package_versions.published_at",where status='published' order by published_at desc limit 1,authenticated read policies as inspected,null -> no published-version fact (distinct from read failure),proposed (blocked rationale: current route reads only the head count),ledger only — test: returns newest published pair; audit implication: read-only none
PROPOSED draft queue count,not shown in frames,integer,HANDOFF_BLOCKED — IMPLEMENTATION/AUTHORIZATION REQUIRED,package_versions,"id, status",where status='draft' exact head count,authenticated read policies as inspected,null/error -> unavailable (never zero); NO age/SLA/overdue derivation permitted,proposed (blocked rationale: not read today; CD004-QG-03 forbids derived verdicts),ledger only — test: count matches seeded drafts; audit implication: read-only none
