route_id,route,scope_layer,route_group,render_type,current_evidence,capture_action,safety_note
RTE-001,/admin,MVP1_GOVERNED,Admin,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,read_only_on_load_confirm_actions_before_click
RTE-002,/admin/access,MVP1_GOVERNED,Admin,rendered,NONE_CURRENT,capture_safe_states,confirm_no_mutating_action
RTE-003,/admin/gis,MVP1_GOVERNED,Admin,rendered,NONE_CURRENT,capture_safe_states,confirm_no_mutating_action
RTE-004,/admin/items,MVP1_GOVERNED,Admin,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,confirm_no_mutating_action
RTE-005,/admin/notifications,MVP1_GOVERNED,Admin,rendered,NONE_CURRENT,capture_safe_states,read_only_on_load
RTE-006,/admin/packages,MVP1_GOVERNED,Admin,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,confirm_no_mutating_action
RTE-007,/admin/regulations,MVP1_GOVERNED,Admin,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,confirm_no_mutating_action
RTE-008,/admin/regulations/:id,MVP1_GOVERNED,Admin,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,use_authorized_deterministic_record
RTE-009,/admin/risk,MVP1_GOVERNED,Admin,rendered,NONE_CURRENT,capture_safe_states,do_not_publish_or_change_model
RTE-010,/admin/violations,MVP1_GOVERNED,Admin,rendered,RECONCILE_MANIFEST,validate_existing_then_capture_states,confirm_no_mutating_action
RTE-011,/admin/workflows,MVP1_GOVERNED,Admin,rendered,NONE_CURRENT,capture_safe_states,do_not_publish_or_change_workflow
RTE-012,/factories/:id,MVP1_GOVERNED,Factory360,rendered,NONE_CURRENT,capture_safe_states,use_authorized_deterministic_record
RTE-013,/field,MVP1_GOVERNED,Field,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk
RTE-014,/field/:visitId,MVP1_GOVERNED,Field,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk
RTE-015,/field/inspection/:id,MVP1_GOVERNED,Field,rendered,NONE_CURRENT,capture_with_isolated_fixture,interaction_mutation_and_immutable_state_risk
RTE-016,/operations,MVP1_GOVERNED,Operations,rendered,NONE_CURRENT,capture_with_isolated_fixture,page_load_mutation_risk
RTE-017,/operations/live,MVP1_GOVERNED,Operations,rendered,NONE_CURRENT,capture_safe_states,read_only_on_load_projected_not_live
