mapping_id,endpoint_id,provider_family,direction,external_field_path,external_type,required_optional,enum_or_validation,canonical_entity,canonical_field,disposition,transformation,persistence_rule,history_version_rule,web_consumer,ipad_consumer,offline_inclusion,status,evidence
F360-XPC-MAP-0001,INSP-API-001,Inspection API,request,email,text,NOT_DOCUMENTED,NOT_DOCUMENTED,restricted_identity_snapshot,restricted_identity_snapshot,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Permission-filtered only; no offline inclusion without policy proof.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0002,INSP-API-001,Inspection API,request,password,text,NOT_DOCUMENTED,NOT_DOCUMENTED,none,none,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Never persist; credential/session boundary only.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0003,INSP-API-001,Inspection API,response,$.success,bool,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0004,INSP-API-001,Inspection API,response,$.token,str,NOT_DOCUMENTED,NOT_DOCUMENTED,none,none,SENSITIVE_RESTRICTED,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Never persist; credential/session boundary only.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,EXCLUDED_PENDING_POLICY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0005,INSP-API-001,Inspection API,response,$.user,dict,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0006,INSP-API-001,Inspection API,response,$.user.id,str,NOT_DOCUMENTED,NOT_DOCUMENTED,external_id,external_id,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Retain provider ID with source and version metadata.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0007,INSP-API-001,Inspection API,response,$.user.old_id,NoneType,NOT_DOCUMENTED,NOT_DOCUMENTED,external_id,external_id,SOURCE_METADATA,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,Retain provider ID with source and version metadata.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0008,INSP-API-001,Inspection API,response,$.user.username,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0009,INSP-API-001,Inspection API,response,$.user.first_name,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
F360-XPC-MAP-0010,INSP-API-001,Inspection API,response,$.user.last_name,str,NOT_DOCUMENTED,NOT_DOCUMENTED,provider_raw_snapshot,provider_raw_snapshot,RAW_SNAPSHOT_ONLY,Typed adapter normalization where an existing adapter declares this field; otherwise preserve exact structural path.,No canonical persistence is inferred beyond the verified structural snapshot.,No platform history inferred.,Shared Factory 360 server projection or not consumed,Same shared server projection; no provider client,CANONICAL_VERSION_ONLY,STRUCTURALLY_DOCUMENTED,FACTORY_360_API_FIELD_INVENTORY.csv
