migration_id,current_route,current_files,owner_package,saqeel_design_reference,requirement_ids,acceptance_ids,existing_behavior,backend_contracts,permissions,current_tests,required_certification,replacement_strategy,flag_reason,cutover_method,rollback_method,legacy_retention,completion_status
WA-MIG-001,/,apps/web/src/app/page.tsx,M11,SAQEEL Login.dc.html;SAQEEL Auth States.dc.html;SAQEEL Portal.dc.html;SAQEEL Profile.dc.html;SAQEEL Virtual.dc.html;SAQEEL Feedback.dc.html,CR-337..CR-356,WA-M11-AC-001..006,Preserve current navigation=DEEP_LINK_OR_ALIAS; breadcrumb=TO_VERIFY_IN_RUNTIME; states=empty,services=@/components/PwaRegister;@/components/ThemeScript;@/lib/i18n;@/lib/notify;@/lib/providers/notification-stubs; tables/views=none statically detected; RPCs=none statically detected; workflow/audit/version=runtime verification required,ops,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-002,/admin,apps/web/src/app/(app)/admin/page.tsx,M9,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,CR-001..CR-478,WA-M9-AC-001..006,Preserve current navigation=DIRECT; breadcrumb=TO_VERIFY_IN_RUNTIME; states=empty;error,services=@/components/Shell;@/lib/i18n;@/lib/shell-navigation;@/lib/supabase-server;@/lib/verified-user; tables/views=audit_events;engine_settings;inspection_items;package_versions;regulations;user_roles;violation_codes; RPCs=mvp3_decide_access_review;mvp3_issue_device_command;mvp3_publish_feature_flag;mvp3_request_error_retry; workflow/audit/version=WORKFLOW;AUDIT;VERSION;IMMUTABLE,AUTHENTICATED_ROUTE_GROUP,apps/web/e2e/platform-design-system-contract.spec.ts;apps/web/e2e/cd-006-011-backend-completion.spec.ts;apps/web/e2e/ui-compliance-runtime.spec.ts;apps/web/e2e/cd-045-downstream-contract.spec.ts;apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/persona-tours.spec.ts;apps/web/e2e/cd-044-admin-planning.spec.ts;apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/cd-008-009-packages.spec.ts;apps/web/e2e/shell-navigation.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/golden-journey.spec.ts;apps/web/e2e/cd-005-006-regulations.spec.ts;apps/web/e2e/cd-007-items.spec.ts;apps/web/e2e/execution-access-contract.spec.ts;apps/web/e2e/compliance-library-evidence.spec.ts;apps/web/e2e/cd-003-launch.spec.ts;apps/web/e2e/mvp2-m2-05-audit-replay.spec.ts;apps/web/e2e/cd-010-011-violations.spec.ts;apps/web/e2e/mapbox-provider.spec.ts;apps/web/e2e/mvp2-modules-live.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts;apps/web/e2e/mvp2-modules-rls-negative.spec.ts;apps/web/e2e/execution-admin-contract.spec.ts;apps/web/e2e/mvp2-m2-05-contract.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts;apps/web/e2e/personas.ts;apps/web/e2e/ipad-gps-policy.spec.ts;apps/web/e2e/cd-006-admin-backend-foundation.spec.ts;apps/web/e2e/cd-006-regulation-publish-provenance.spec.ts;apps/web/e2e/factory360-admin-control-plane.spec.ts;apps/web/e2e/neutral-error-sweep.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-003,/admin/access,apps/web/src/app/(app)/admin/access/page.tsx,M8,SAQEEL Users Roles.dc.html;SAQEEL Admin Role Override.dc.html,CR-001..CR-478,WA-M8-AC-001..006,Preserve current navigation=DIRECT; breadcrumb=TO_VERIFY_IN_RUNTIME; states=loading;error,services=@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server;@/lib/verified-user; tables/views=capabilities;permissions;profiles;role_capabilities;role_permissions;roles;user_capability_grants;user_roles; RPCs=has_planning_capability;has_role; workflow/audit/version=AUDIT,security_admin,apps/web/e2e/cd-044-admin-planning.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/execution-access-contract.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,DIRECT_REPLACEMENT_AFTER_CERTIFICATION,,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-004,/admin/audit,apps/web/src/app/(app)/admin/audit/page.tsx,M9,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,CR-001..CR-478,WA-M9-AC-001..006,Preserve current navigation=DIRECT; breadcrumb=TO_VERIFY_IN_RUNTIME; states=loading;empty;error;degraded;unauthorized;conflict,services=@/components/RouteLoading;@/components/Shell;@/lib/audit-replay;@/lib/i18n;@/lib/persona;@/lib/supabase-server; tables/views=audit_event_ontology_entries;audit_event_ontology_versions;audit_event_order_constraints;audit_event_registry;audit_events;audit_semantic_events; RPCs=audit_replay_case; workflow/audit/version=WORKFLOW;AUDIT;VERSION;IMMUTABLE,compliance_admin;leadership;ops;planner;reviewer;security_admin,apps/web/e2e/mvp3-retrofit-regression.spec.ts;apps/web/e2e/cd-004-admin-control-plane-home.spec.ts;apps/web/e2e/mvp2-m2-05-audit-replay.spec.ts;apps/web/e2e/mvp2-m2-05-contract.spec.ts;apps/web/e2e/mvp3-enterprise-contract.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-005,/admin/bulk-violations,apps/web/src/app/(app)/admin/bulk-violations/page.tsx,M6,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,CR-449..CR-478,WA-M6-AC-001..006,Preserve current navigation=DIRECT; breadcrumb=TO_VERIFY_IN_RUNTIME; states=loading;empty;error;unauthorized,services=@/components/EmptyState;@/components/RouteLoading;@/components/Shell;@/lib/i18n;@/lib/supabase-server;@/lib/verified-user; tables/views=factories;user_roles;violation_codes; RPCs=issue_bulk_violation; workflow/audit/version=AUDIT;VERSION,compliance_admin;ops,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-006,/admin/compliance-approvals,apps/web/src/app/(app)/admin/compliance-approvals/page.tsx,M6,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,CR-449..CR-478,WA-M6-AC-001..006,Preserve current navigation=DIRECT; breadcrumb=TO_VERIFY_IN_RUNTIME; states=loading;error,services=@/components/AdminRouteBoundary;@/components/Shell;@/lib/supabase-server; tables/views=compliance_configuration_requests;compliance_request_component_dependencies;compliance_request_components; RPCs=none statically detected; workflow/audit/version=runtime verification required,compliance_admin;reviewer,apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/shell-navigation.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-007,/admin/compliance-requests,apps/web/src/app/(app)/admin/compliance-requests/page.tsx,M6,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,CR-449..CR-478,WA-M6-AC-001..006,Preserve current navigation=DEEP_LINK_OR_ALIAS; breadcrumb=TO_VERIFY_IN_RUNTIME; states=loading;empty;error,services=@/components/AdminRouteBoundary;@/components/Shell;@/lib/i18n;@/lib/neutral-error;@/lib/notify;@/lib/supabase-server; tables/views=compliance_configuration_requests;notification_rules;user_roles; RPCs=create_compliance_request; workflow/audit/version=VERSION;IMMUTABLE,compliance_admin;form_admin;reviewer,apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-008,/admin/compliance-requests/:id,apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,M6,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,CR-449..CR-478,WA-M6-AC-001..006,Preserve current navigation=DEEP_LINK_OR_ALIAS; breadcrumb=TO_VERIFY_IN_RUNTIME; states=error;not-found,services=@/components/Shell;@/lib/supabase-server; tables/views=compliance_configuration_requests;compliance_request_component_dependencies;compliance_request_components;compliance_request_decisions;compliance_request_publications;compliance_request_revisions;user_roles; RPCs=none statically detected; workflow/audit/version=AUDIT;VERSION;IMMUTABLE,compliance_admin;form_admin;reviewer,apps/web/e2e/compliance-approval-queue.spec.ts;apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-009,/admin/compliance-requests/new,apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx,M6,SAQEEL Compliance Requests.dc.html;SAQEEL Enforcement.dc.html;SAQEEL Committee.dc.html;SAQEEL Risk.dc.html,CR-449..CR-478,WA-M6-AC-001..006,Preserve current navigation=DEEP_LINK_OR_ALIAS; breadcrumb=TO_VERIFY_IN_RUNTIME; states=runtime discovery required,services=@/components/AdminRouteBoundary;@/components/Shell; tables/views=none statically detected; RPCs=none statically detected; workflow/audit/version=runtime verification required,compliance_admin;form_admin,apps/web/e2e/compliance-library.spec.ts;apps/web/e2e/compliance-request-engine.spec.ts,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,DIRECT_REPLACEMENT_AFTER_CERTIFICATION,,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
WA-MIG-010,/admin/dashboard-config,apps/web/src/app/admin/dashboard-config/page.tsx,M9,SAQEEL Admin.dc.html;SAQEEL Admin Detail.dc.html;SAQEEL Admin Extended.dc.html;SAQEEL Admin Form Builder.dc.html;SAQEEL Admin Workflow Builder.dc.html;SAQEEL Admin Lookups.dc.html;SAQEEL KPI Management.dc.html;SAQEEL Dashboard Config.dc.html,CR-001..CR-478,WA-M9-AC-001..006,Preserve current navigation=DEEP_LINK_OR_ALIAS; breadcrumb=TO_VERIFY_IN_RUNTIME; states=error,services=@/components/Shell;@/lib/dashboard-kpi/registry;@/lib/i18n;@/lib/neutral-error;@/lib/supabase-server; tables/views=dashboard_config_heads;dashboard_config_parameters;dashboard_config_versions;mvp3_kpi_definitions;user_roles; RPCs=dash_create_config_draft;dash_publish_config;dash_return_config;dash_submit_config; workflow/audit/version=VERSION;IMMUTABLE,compliance_admin;leadership;ops;reviewer;security_admin,TEST_GAP_REQUIRES_PACKAGE_FOCUSED_SPEC,functional parity;negative paths;RLS/RBAC;audit/versioning;visual diff;Arabic/RTL;accessibility;responsive;performance;cross-module regression,FEATURE_FLAG_OR_GUARDED_PREVIEW_REQUIRED,UNCERTAINTY_OR_TEST_GAP_REQUIRES_CONTROLLED_EXPOSURE,Canonical route cutover only after all acceptance gates pass and Product Owner approval is recorded,Restore retained pre-replacement implementation or switch server-evaluated flag; no destructive database rollback,RETAIN_UNTIL_STABILIZATION_AND_PRODUCT_OWNER_REMOVAL_APPROVAL,PLANNED_NOT_IMPLEMENTED
