Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Factory 360,2,Factory Profile Page,MVP1-M07-001,AC-0410,[audit] factories/[id] loads dossier: identity/license#/CR#/visits/inspections/violations/risk; penalties+timeline thin,NEEDS_REVIEW,"Dossier loads most sections but the note admits penalties and timeline are thin, so a genuinely complete profile is not confirmed."
Factory 360,3,Factory Overview,MVP1-M07-002,AC-0411,[audit] overview tab renders name/CR/license/activity/region/city; status/stage/sector absent (no source columns),NEEDS_REVIEW,Note lists rendered fields and an absence (status/stage/sector) but never confirms the data is correctly synchronized as the criterion requires.
Factory 360,4,License Information,MVP1-M07-003,AC-0412,[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Source-owned license status/stage/issue/expiry/holder fields exist live and Factory 360 renders source values or explicit unavailable states.,MATCH,"Note confirms all license fields render live from source or show explicit unavailable states, matching the criterion."
Factory 360,5,CR Information,MVP1-M07-004,AC-0413,[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Source-owned CR legal-name/status/owner fields exist live and Factory 360 renders source values or explicit unavailable states.,MATCH,"Note confirms CR fields render live from source, matching the criterion that CR details display correctly."
Factory 360,6,Location & Map,MVP1-M07-005,AC-0414,"[TASK-G11-REMAINING-REQUIREMENTS-CLOSURE-001] Factory 360 spatial map renders official, observed and override facts without changing official master coordinates; registered-factory live browser path passed.",MATCH,Note confirms the map renders official/observed/override location points and a live browser path passed.
Factory 360,7,Products,MVP1-M07-006,AC-0415,"[audit] products tab: name/HS/unit/capacity/primary, add form, empty+error states (M07-006)",MATCH,Note confirms the products tab renders the expected fields plus empty/error states.
Factory 360,8,Raw Materials,MVP1-M07-007,AC-0416,"[audit] materials tab: name/source/HS, add form, empty+error states (M07-007)",MATCH,Note confirms the materials tab renders the expected fields plus empty/error states.
Factory 360,9,Workforce,MVP1-M07-008,AC-0417,"[audit] workforce tab: employees_total/saudi + Saudization%, source-owned read-only (M07-008)",MATCH,"Note confirms workforce counts and Saudization data are visible, matching the criterion."
Factory 360,10,Investment & Capacity,MVP1-M07-009,AC-0418,[audit] workforce tab: capital_invested + production_capacity_note indicators (M07-009),MATCH,"Note confirms capital and production-capacity indicators load, matching the criterion."
Factory 360,11,Visit History,MVP1-M07-010,AC-0419,[audit] history tab lists visits w/ planning_status+operational_state+window covering planned/cancelled/completed/expired,MATCH,"Note confirms the history tab lists visits across all lifecycle states, matching the criterion."
Factory 360,12,Inspection History,MVP1-M07-011,AC-0420,[audit] history shows inspection status+versions+report link; inspector/result columns not surfaced,NEEDS_REVIEW,"Note explicitly says inspector and result columns are not surfaced, so inspection history is not shown to display correctly in full."
Factory 360,13,Violations & Penalties,MVP1-M07-012,AC-0421,[audit] history shows violation codes + action_forms(status/owner/due); issued-penalty notices not surfaced,CONTRADICTION,Criterion requires penalties to display correctly but the note explicitly states issued-penalty notices are not surfaced.
