MVP3 Module,Design ID,Source Module,Requirement ID,Acceptance ID,Evidence ID,Capability,Title,Requirement,Expected Result,Negative Guard,Required Evidence,Priority,Channels,Personas,Dependencies,Source Reference,Status
M3-00,CD-050,M2-00,MVP2-REQ-0073,MVP2-AC-0073,MVP2-EV-0073,Executive National Health and Strategic Dashboards,"EBDA, identity, master data, license, map, document, analytics, data-sharing exports","PLAT-0016 | Admin Console | Platform Administration | Integration & Data Sharing | EBDA, identity, master data, license, map, document, analytics, data-sharing exports | Owns configuration, runtime behavior, validation, audit and handoff for Integration & Data Sharing. | Does not bypass source BRD rules, published workflows or role permissions. | Integration Admin, Security Admin | Integration registry, API logs, data sharing | IntegrationEndpoint, APIEvent, ExportJob | Imported/exported form data governed. | Risk input feeds need lineage. | Integration actions triggered by workflows. | Signed report, data exchange packages | P0 | System/data sharing BRD","Authorized user demonstrates 'EBDA, identity, master data, license, map, document, analytics, data-sharing exports' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.","Signed report, data exchange packages",P0,Web,Executive; Branch Director; Reporting Analyst,Imported/exported form data governed.,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 16_Platform_Modules, row 19",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0078,MVP2-AC-0078,MVP2-EV-0078,Executive National Health and Strategic Dashboards,"Environment config, monitoring, error queues, feature toggles, backups, data retention","PLAT-0027 | Shared Platform | Cross-Platform Services | Platform Operations | Environment config, monitoring, error queues, feature toggles, backups, data retention | Owns configuration, runtime behavior, validation, audit and handoff for Platform Operations. | Does not bypass source BRD rules, published workflows or role permissions. | Platform Admin, Operations Support | Ops console, health checks, logs | Environment, Job, ErrorQueue, Backup | Form publish/sync failures visible. | Risk run failures visible. | Workflow/action failures retryable. | Stable operating platform | P0 | Production readiness To-Be","Authorized user demonstrates 'Environment config, monitoring, error queues, feature toggles, backups, data retention' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Stable operating platform,P0,Web,Executive; Branch Director; Reporting Analyst,Form publish/sync failures visible.,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 16_Platform_Modules, row 30",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0188,MVP2-AC-0188,MVP2-EV-0188,Expanded Integration Ecosystem,API Gateway/BFF,Role-specific APIs for web/admin/iPad/external,"Authorized user demonstrates 'API Gateway/BFF' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,Must,Admin; Shared Services,Integration Admin; Security Admin; Data Steward,"IAM, Workflow, Engines","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 32_V4_Enterprise_Arch, row 9",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0189,MVP2-AC-0189,MVP2-EV-0189,Expanded Integration Ecosystem,Rule Engine,"Evaluates conditions used by forms, workflows, risk, enforcement and validation","Authorized user demonstrates 'Rule Engine' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,Must,Admin; Shared Services,Integration Admin; Security Admin; Data Steward,Rules repository,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 32_V4_Enterprise_Arch, row 12",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0190,MVP2-AC-0190,MVP2-EV-0190,Expanded Integration Ecosystem,Operational Database,"Factories, visits, inspections, workflows, forms, findings, enforcement","Authorized user demonstrates 'Operational Database' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,Must,Admin; Shared Services,Integration Admin; Security Admin; Data Steward,Application services,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 32_V4_Enterprise_Arch, row 19",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0191,MVP2-AC-0191,MVP2-EV-0191,Expanded Integration Ecosystem,EBDA / Signature Gateway,Digital signature validation and signing ceremony,"Authorized user demonstrates 'EBDA / Signature Gateway' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,Must,Admin; Shared Services,Integration Admin; Security Admin; Data Steward,EBDA APIs/certs,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 32_V4_Enterprise_Arch, row 23",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0192,MVP2-AC-0192,MVP2-EV-0192,Expanded Integration Ecosystem,Security/IAM,"Roles, permissions, data scopes, device trust, external identity","Authorized user demonstrates 'Security/IAM' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,Must,Admin; Shared Services,Integration Admin; Security Admin; Data Steward,IAM/SSO/MDM,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 32_V4_Enterprise_Arch, row 26",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0224,MVP2-AC-0224,MVP2-EV-0224,Strategic Platform Expansion Pack,Strategic requirement,"Platform identity | KSA Factory Licensing Inspection Platform | A Ministry-grade inspection platform for factory licensing decisions: award, renew, conditional approval, suspension, rejection, re-inspection, correction and objection. | Executive, branch, licensing committee, inspector, factory rep | Board demo + business walkthrough | Must not be positioned as generic EHS or Catalyst-derived platform.","Authorized user demonstrates 'Strategic requirement' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 42_KSA_Domain_Context, row 4",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0226,MVP2-AC-0226,MVP2-EV-0226,Strategic Platform Expansion Pack,Strategic requirement,"Inspection target | Factories only | The scope is factory/industrial-establishment inspection for licensing, not public facilities, retail, general municipal, or arbitrary safety audit. | Planner, risk manager | Factory master data + licensing records | Master data must include factory sector, activity, license status, CR/registry link if available, coordinates and branch jurisdiction.","Authorized user demonstrates 'Strategic requirement' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 42_KSA_Domain_Context, row 6",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0227,MVP2-AC-0227,MVP2-EV-0227,Strategic Platform Expansion Pack,Strategic requirement,"Admin channel | Admin Studios | Regulations Studio, Form Builder, Workflow Studio, Risk Studio, GIS Studio, Device/Offline Admin, Security/Audit, Integrations and Analytics Admin. | Admins and system owners | Maker-checker governance | Admin changes must never silently alter live inspections.","Authorized user demonstrates 'Strategic requirement' end to end and the runtime result, governing version, actor, timestamp and affected object are visible in evidence.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P1,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 42_KSA_Domain_Context, row 9",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0239,MVP2-AC-0239,MVP2-EV-0239,Strategic Platform Expansion Pack,Integration boundaries are vague,"External registries, licensing records, notifications and EBDA are assumed but not contracted.","Integration inventory, API specs, data owner, failure modes and mock/sandbox plan.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 49_Final_Blindspots_Gates, row 16",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0241,MVP2-AC-0241,MVP2-EV-0241,Strategic Platform Expansion Pack,Role/security model may be too generic,Admins and reviewers can see/change too much.,"RBAC/ABAC matrix, maker-checker, sensitive action approvals and audit access rules.","Unauthorized access, invalid state, missing dependency and retry paths must fail safely without corrupting MVP1 records.",Runtime screenshot/video; API or event payload; audit record; automated test result,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,"MVP1 canonical identity, workflow, audit/version, evidence and notification foundations","Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 49_Final_Blindspots_Gates, row 18",Transferred to MVP3 — Sponsor direction 2026-07-17
M3-00,CD-050,M2-00,MVP2-REQ-0256,MVP2-AC-0256,MVP2-EV-0256,Strategic Platform Expansion Pack,"The platform shall implement RBAC/ABAC, MFA/SSO, encryption at rest/in transit, evidence access control, retention rules and privacy audit logs.","The platform shall implement RBAC/ABAC, MFA/SSO, encryption at rest/in transit, evidence access control, retention rules and privacy audit logs.",Access to evidence and personal data is role-bound and logged; retention policy exists.,Inspector can view unrelated factory evidence or personal data without purpose.,Access to evidence and personal data is role-bound and logged; retention policy exists.,P0,Web; Admin; External Portal; Shared Services,Product Owner; Regulatory Admin; Executive,SDAIA PDPL; SDAIA PDPL Implementing Regulation,"Inspection_Platform_Baseline_SOP_v6_Fixes_Requirements.xlsx — 51_Fix_Reqs, row 25",Transferred to MVP3 — Sponsor direction 2026-07-17
