acceptance_id,category,actor_roles,operations_view,precise_location_identity,resolve_exception,approve_active_cancel,profile_region,org_scope,national_scope,scenario,expected_route,expected_projection,expected_write,negative_leakage_assertion,requirements,status
OPS-AUTH-AC-001,ROUTE,none,absent,absent,absent,absent,null,null,absent,"Authenticated account has zero user_roles rows and opens /operations","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","No factories, visits, geo_events, counts, filters, names, coordinates, queue facts or existence hints","CR-430;CR-447",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-002,ROUTE,reviewer,absent,absent,absent,absent,Riyadh,null,absent,"Reviewer opens /operations directly","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","Broad visits/geo_events RLS must not become route authorization","CR-430;CR-447;RBAC-011",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-003,ROUTE,auditor,absent,absent,absent,absent,Riyadh,null,absent,"Auditor opens /operations/live directly","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","Audit read policies must not expose the Operations route, factories or recorded positions","CR-430;CR-447;RBAC-012",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-004,ROUTE,factory_rep,absent,absent,absent,absent,Riyadh,null,absent,"Factory representative opens /operations","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","All-authenticated factories policy must not leak national factory names or coordinates through Operations","CR-430;CR-447;RBAC-014",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-005,ROUTE,compliance_admin,absent,absent,absent,absent,Riyadh,null,absent,"Admin-only persona opens /operations/live","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","Admin status alone must not imply Operations monitoring authority","CR-430;CR-447;RBAC-001",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-006,ROUTE,inspector,absent,absent,absent,absent,Riyadh,null,absent,"Field-only Inspector opens /operations","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","Own-assignment RLS must not expose the web Operations route","CR-430;CR-447;RBAC-009",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-007,MIXED_ROLE,"inspector+reviewer",absent,absent,absent,absent,Riyadh,null,absent,"Mixed-role account is not field-only but neither role grants operations.view","Explicit unauthorized frame before protected Operations reads","No Operations payload","None","Adding a non-Operations second role must not bypass the field-channel or route gate","CR-430;CR-447",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-008,MIXED_ROLE,"inspector+planner",present,absent,absent,absent,Riyadh,Planning,absent,"Mixed-role account has operations.view only through Planner","Allowed","Planner monitoring-only projection","None","No raw geo-event coordinate, accuracy, inspector name or supervisor control","CR-430;CR-433;CR-447;RBAC-007",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-009,MIXED_ROLE,"reviewer+ops",present,present,present,present,Riyadh,Operations,absent,"Multi-role account has an ops grant plus Reviewer","Allowed","Ops projection within authorized geography","Capability-governed Ops writes only","Reviewer role must not expand geography or bypass requester/decider separation","CR-430;CR-447;RBAC-008;RBAC-011",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-010,MIXED_ROLE,"factory_rep+leadership",present,absent,absent,absent,Riyadh,Leadership,absent,"Factory representative also holds Leadership","Allowed","Leadership aggregate/masked projection only","None","Factory-representative role must not add inspector identity, precise GPS or factory-internal Operations details","CR-430;CR-433;CR-447;RBAC-013;RBAC-014",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-011,ROUTE,planner,present,absent,absent,absent,Riyadh,Planning,absent,"Planner opens /operations and /operations/live","Allowed if D01 retains Planner","Planner monitoring-only projection","None","No supervisor action or precise inspector location/identity","CR-430;CR-433;CR-447;RBAC-007",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-012,ROUTE,leadership,present,absent,absent,absent,Riyadh,Leadership,absent,"Leadership opens /operations and /operations/live","Allowed","Aggregate/masked Executive projection","None","No raw inspector identity, precise coordinate, accuracy or event-level position history","CR-430;CR-433;CR-447;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-013,ROUTE,ops,present,present,present,present,Riyadh,Operations,absent,"Operations user opens both routes","Allowed","Full operational projection within authorized geography","Only separately capability-authorized controls","No cross-region records and no control outside the actor's capabilities","CR-430;CR-439;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-014,PRECISE_LOCATION,planner,present,absent,absent,absent,Riyadh,Planning,absent,"A permitted telemetry event exists for an authorized-region visit","Allowed","Factory/visit/status/schedule and truthful projection only","None","Client payload, DOM, map source and accessible list contain no observed_lat, observed_lng, accuracy_m, occurred_at-as-GPS or inspector full_name","CR-433;CR-447",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-015,PRECISE_LOCATION,leadership,present,absent,absent,absent,Riyadh,Leadership,absent,"Multiple live inspector events exist in an authorized region","Allowed","Regional aggregate/count posture only","None","No individual inspector row, identity, precise coordinate, accuracy or event timestamp reaches the client","CR-433;CR-447;RBAC-013",PROPOSED_PENDING_SPONSOR
OPS-AUTH-AC-016,PRECISE_LOCATION,ops,present,present,present,present,Riyadh,Operations,absent,"Ops views a permitted active-journey telemetry event in scope","Allowed","Recorded provenance may include authorized inspector identity, coordinate, accuracy and recorded time","None","No inactive/out-of-policy position and no cross-region event is exposed","CR-433;CR-447;RBAC-008",PROPOSED_PENDING_SPONSOR
