dependency_id,producer,consumer,artifact_or_contract,prerequisite,state,blocked_by,entry_evidence,exit_evidence,sequence
PLN-DEP-001,Business Analyst,Product Owner and Council,Seven additive Planning Closure sidecars,Effective BA lease and base alignment,READY_FOR_REVIEW,NONE,"HEAD 8865c350; targets absent","PO/Council approval and effectivity record",1
PLN-DEP-002,Drive provenance owner,Business Analyst and Council,Planning.docx checksum,"Controlled download permission",OPEN,PENDING_CONTROLLED_DOWNLOAD,"Drive ID; modified time; size","SHA-256 and retrieval time recorded",2
PLN-DEP-003,Drive provenance owner,Business Analyst and Council,Inspection Project.xlsx checksum,"Controlled download permission",OPEN,PENDING_CONTROLLED_DOWNLOAD,"Drive ID; modified time; size","SHA-256 and retrieval time recorded",2
PLN-DEP-004,Council,Backend and Web,PLN-R05 unregistered factory lifecycle ruling,"Council blueprint review",BLOCKED_DECISION,GATE-PLN-R05,"CR-044/045/046 trace","Explicit actor/state/source/provenance/RBAC ruling",3
PLN-DEP-005,Council,Backend and Web,PLN-R06 Supervisor capability ruling,"Council blueprint review",BLOCKED_DECISION,GATE-PLN-R06,"CR-007/008/019/028/029/078/084 trace","Explicit capability/RBAC/RLS and transition ruling",3
PLN-DEP-006,Backend,Product Owner,Migration/probe collision audit,"Current origin/main migration history and object state",OPEN,EXECUTION_CURRENT_MAIN_COLLISION_AUDIT,"PO-selected proposed probe supabase/tests/0041_planning_closure_p0.sql; duplicate 0040 rejected","Confirm proposed 0041 remains noncolliding at execution",4
PLN-DEP-007,Backend,Testing,Single transactional additive migration,"Effective CC; exact lease; collision audit",WRITE_NOT_AUTHORIZED,GATE-PLN-IMPLEMENTATION-WRITE,"Proposed migration 20260728010000_planning_closure_p0.sql","Local representative apply+rollback proof; object/grant diff",5
PLN-DEP-008,Backend,Testing,Dedicated expiry scheduler privilege contract,"Threat model and platform capability audit",WRITE_NOT_AUTHORIZED,GATE-PLN-IMPLEMENTATION-WRITE,"Generic service_role rejected","Grant matrix; negative invocation proof; bounded receipt",5
PLN-DEP-009,Backend,Web and Testing,Receipt/envelope contracts for archive cancel reschedule expiry bulk,"PLN-DEP-007",WAITING,PLN-DEP-007,"Exact receipt fields in CC","Generated contract/types under separate authorization; SQL assertions",6
PLN-DEP-010,Designer,Web and Testing,Planning screen/state acceptance blueprint,"Council approves screen-process map",WAITING,COUNCIL_BLUEPRINT,"PLN-J01..J20 map","Approved desktop/mobile/RTL/accessibility and error/boundary states",6
PLN-DEP-011,Web,Testing,Planning UI wiring,"Backend receipt contract and approved design",WRITE_NOT_AUTHORIZED,PLN-DEP-009;PLN-DEP-010,"Exact routes and UI fields in map","Runtime positive/negative/boundary evidence",7
PLN-DEP-012,Senaei/Integration Owner,Web Backend Testing,External factory source contract,"R05 Council ruling and environment configuration",BLOCKED_EXTERNAL,PLN-DEP-004,"Seeded/env-gated truth only","Verified live contract; auth; provenance; timeout/error evidence",7
PLN-DEP-013,Notification provider owner,Testing,Delivery receipt failure retry successor,"Durable outbox intent already proven",DEFERABLE_WITH_EXPLICIT_PACKET,SUCCESSOR_PACKET_REQUIRED,"P0 may claim queued intent only","Provider receipt/failure/retry evidence before delivery claim",8
PLN-DEP-014,Testing,Product Owner and Council,Fail-fast Planning closure probe,"Noncolliding probe ID and disposable environment",WAITING,PLN-DEP-006;PLN-DEP-007,"Criterion coverage manifest","All sections execute; no skip; deterministic cleanup/rollback",8
PLN-DEP-015,Independent Verifier,Sponsor,Production acceptance evidence,"Backend/Web/Design/Test outputs complete",WAITING,PLN-DEP-014,"Evidence manifest template","Current-SHA independent verification; zero P0/P1",9
PLN-DEP-016,Product Owner,Sponsor,Implementation and release authorization,"Council blueprint; all mandatory gates",WRITE_NOT_AUTHORIZED,OPEN_GATES,"Approved governance sidecars","Exact branch/worktree/path leases and release decision",10
PLN-DEP-017,Backend,Product Owner,Legacy RPC retirement,"All callers migrated and telemetry rollback window complete",HOLD_BY_DEFAULT,SEPARATE_CUTOVER_AUTHORIZATION,"Explicitly excluded from first wave","Independent compatibility/retirement proof",11
