wiring_id,screen_id,role,ui_element,user_intent,route_or_handler,guard,source_type,source_name,query_or_transition,rls_or_permission,audit_or_side_effect,success_result,negative_result,error_result,retry_or_recovery,test_id,evidence_id,disposition,blocker_reason
W01,SCR-ADM-001,all admin,session,authenticate,middleware,auth cookie,session,supabase auth,getSession,authenticated,none,shell renders,redirect to login,neutral auth error,re-login,T-W01,r2e,current,
W02,SCR-ADM-001,all admin,role resolution,scope shell nav,Shell.tsx server,server role query,table,user_roles,select roles for user,RLS own rows,none,role-scoped nav,empty nav groups,fail-closed nav,reload,T-W02,r2e,current,
W03,SCR-ADM-001,any authenticated,direct URL entry,reach /admin,route,NONE (admin-family guard missing),n/a,n/a,n/a,"config reads broadly allowed to authenticated users; tests permit Inspector",none,page renders today,designed denial r2l-6,n/a,n/a,T-W03,r2l-6,HANDOFF_BLOCKED,guard/policy decision required
W04,SCR-ADM-001,all admin,spine row Compliance,see regulations fact,page server read,authenticated,table,regulations,head count exact,broad authenticated read,none,verified count,verified zero (r2l-2),unavailable-not-zero row,W10,T-W04,r2e-row1,current-after-modify,per-source modelling not implemented yet
W05,SCR-ADM-001,all admin,spine row Packages,see package facts,page server read,authenticated,table,package_versions + inspection_items,status=published head count; head count,broad authenticated read,none,verified counts,verified zero,unavailable-not-zero row,W10,T-W05,r2e-row2,current-after-modify,same
W06,SCR-ADM-001,all admin,spine row Enforcement,see violation fact,page server read,authenticated,table,violation_codes,head count exact,broad authenticated read,none,verified count,verified zero,unavailable-not-zero row (hard case),W10,T-W06,r2e-row3,current-after-modify,same
W07,SCR-ADM-001,all admin,spine row Engines,see engine provenance,page server read,authenticated,table,engine_settings,"select engine,version_label,updated_at order by engine",broad authenticated read,none,domain list + provenance,verified zero,unavailable row,W10,T-W07,r2e-row4,current-after-modify,same
W08,SCR-ADM-001,all admin,spine row Audit,see audit fact,page server read,authenticated,table,audit_events,head count exact,RLS-scoped,none,verified count,verified zero,unavailable row,W10,T-W08,r2e-row5,current-after-modify,same
W09,SCR-ADM-001,all admin,page lozenge + timestamp,see read status,client derivation,n/a,derived,per-source results,count failed sources; render time,n/a,none,fact lozenge,n/a,n/a,W11,T-W09,r2e-header,current-after-modify,
W10,SCR-ADM-001,all admin,per-source Retry,recover one source,handler TBD at wiring audit (route refresh vs server action),authenticated,table,same as failed source,re-run single read,same,none,row rejoins + polite announce + focus to result cell,still failing: assertive stays,unavailable persists,repeatable,T-W10,r2l-3/4,HANDOFF_BLOCKED,handler mechanism undecided
W11,SCR-ADM-001,all admin,Refresh all,re-read page,route refresh,authenticated,all six sources,re-run reads,same,none,new timestamp + polite announce,partial results per source,total-failure state r2l-5,repeatable,T-W11,r2l-8,current-after-modify,
W12,SCR-ADM-001,compliance_admin,link Open library (regulations),navigate,/admin/regulations,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W12,r2e-row1,current,per-destination behavior BLOCKED
W13,SCR-ADM-001,form/compliance,link Open packages,navigate,/admin/packages,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W13,r2e-row2,current,same
W14,SCR-ADM-001,compliance_admin,link Open library (violations),navigate,/admin/violations,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W14,r2e-row3,current,same
W15,SCR-ADM-001,all admin,link View table (engines),navigate/in-page,existing table section,authenticated,same read,W07,same,none,table visible,n/a,unavailable row,W10,T-W15,r2e-row4,current-after-modify,
W16,SCR-ADM-001,all admin,link Open browser (audit),navigate,/admin/audit,module-side,route,existing page,navigation,RLS-scoped browse,append-only preserved,browser renders,scope-empty state,module error,browser,T-W16,r2e-row5,current,
W17,SCR-ADM-001,workflow_admin,link Workflow Configuration,navigate,/admin/workflows,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W17,r2e-band2,current,per-destination BLOCKED
W18,SCR-ADM-001,risk_owner,link Risk Configuration,navigate,/admin/risk,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W18,r2e-band2,current,same
W19,SCR-ADM-001,gis_admin,link GIS Configuration,navigate,/admin/gis,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W19,r2e-band2,current,same
W20,SCR-ADM-001,security_admin,link Users & Roles,navigate,/admin/access,module-side,route,existing page,navigation,module RLS,none,module renders,module denial TBD,module error,browser,T-W20,r2e-band2,current,same
W21,SCR-ADM-001,all admin,language/theme toggles,switch,frozen shell,shell-owned,n/a,n/a,n/a,n/a,none,document dir/theme swap; state preserved,n/a,n/a,n/a,T-W21,r2e vs r2g,current(frozen shell),
