requirement_id,requirement_category,source_document,source_location,exact_requirement,business_rule,acceptance_criterion,api_endpoint,api_field,current_code_location,current_database_object,current_state,preservation_requirement,positive_delta,target_module,target_schema,target_route,target_component,integration_source,permission,implementation_status,functional_verification,evidence_reference,external_blocker,exception_reason,agent_owner,commit_sha,last_updated_at,process_id,screen_id,engine_id,cross_map_id,negative_path,evidence_id
F360-BR-001,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,One Commercial Registration may contain multiple Industrial Licenses.,One Commercial Registration may contain multiple Industrial Licenses.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-003;MVP1-M07-004,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-002,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,One Industrial License represents one Plant.,One Industrial License represents one Plant.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-003,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-003,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,Factory 360 always has one selected Industrial License.,Factory 360 always has one selected Industrial License.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-003,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-004,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,Factory 360 is a read-only module.,Factory 360 is a read-only module.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-001;MVP1-M07-019,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-005,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,No CR-level Risk Score shall be calculated.,No CR-level Risk Score shall be calculated.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-12,MVP1-M07-014;MVP1-M07-015,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-006,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,No CR-level Compliance Rate shall be calculated.,No CR-level Compliance Rate shall be calculated.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-001,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-007,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,Compliance Rate is 'Not Available' when no approved inspection exists.,Compliance Rate is 'Not Available' when no approved inspection exists.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-008,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,Pending requests shall not be displayed.,Pending requests shall not be displayed.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-020,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-009,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,Visits are not displayed; Inspection Reports are displayed.,Visits are not displayed; Inspection Reports are displayed.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-06;ENG-07;ENG-08;ENG-09;ENG-11;ENG-12,MVP1-M07-010;MVP1-M07-011,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
F360-BR-010,Business Rule,Factory_360_Specification_v2.0.docx,Page 2,AI explains Risk Engine outputs only.,AI explains Risk Engine outputs only.,,,,,,DISCOVERED,,,,,,,,,CODE_COMPLETE,STATIC_AND_SQL_CONTRACT_PASS,product-contract/evidence/TASK-FACTORY-360-COMPLETE-010.md,,,Codex,a92dd9f49e7df50af606ed16881c09954161c528,2026-07-20,P12,SCR-WEB-400,ENG-04;ENG-12,MVP1-M07-014;MVP1-M07-015,"Requirement is absent, unauthorized, stale, incorrectly aggregated, or a dependent provider fails; render a controlled truthful state.",F360-EV-003
