requirement_id,domain,requirement,source,current_baseline,target_implementation,acceptance,priority,status
PLN-REQ-001,Access,"Resolve Admin, Inspector and default internal business staff classes",Sponsor direction,Legacy multi-role model,Compatibility capability migration,Admin sees dashboard/admin only; Inspector own work; business staff Planning,P0,NOT_STARTED
PLN-REQ-002,Access,Remove unique ops-role dependency from Planning authorization,Sponsor direction,ops referenced in nav/RLS/actions,Capability-based authorization,Equivalent authorized staff pass; admin/inspector negatives pass,P0,NOT_STARTED
PLN-REQ-003,Access,Server/RLS/action enforcement for every Planning action,Planning access rule,Mixed page guards and RLS,Single effective-capability contract,Direct server calls by unauthorized actor fail,P0,NOT_STARTED
PLN-REQ-004,Admin,Implement audited role/capability grant and revoke,Admin requirement,/admin/access read-only,Maker-checker/self-escalation-safe workflow,Authorized admin grants/revokes; full audit; self-escalation blocked,P0,NOT_STARTED
PLN-REQ-005,Landing,Planning nav opens canonical visit list,Planning entry point,/planning method chooser,List-first landing with Create Visit,Status tabs/list render; legacy routes remain,P0,NOT_STARTED
PLN-REQ-006,Landing,Create Visit selects Single/Bulk/Immediate preserved,Planning journey + non-regression,Cards exist,Create action/drawer or route-neutral method screen,All methods route correctly,P0,NOT_STARTED
PLN-REQ-007,Entry,Factory 360 prefilled Single with selected CR/licence/plant,Planning entry point,Immediate handoff exists,Add Single handoff; preserve Immediate,Context IDs retained with no cross-licence leakage,P0,NOT_STARTED
PLN-REQ-008,Entry,Map/quick card prefilled Single,Planning entry point,Partial/unknown,Stable source-channel handoff,Correct factory target and source channel,P0,NOT_STARTED
PLN-REQ-009,Entry,Returned notification deep-link,Planning entry point,Notifications exist,Focus return information,Reason/comments visible immediately,P0,NOT_STARTED
PLN-REQ-010,Entry,Draft notification/shortcut resumes server draft,Planning entry point,Resume unavailable,Persisted draft route,All entered data restored,P0,NOT_STARTED
PLN-REQ-011,Entry,Duplicate visit creates eligible new Draft,Planning entry point,Partial detail actions,Guarded duplicate service,"New IDs, safe copied fields only",P0,NOT_STARTED
PLN-REQ-012,List,All/Draft/Published/Returned/Cancelled/Expired tabs,Planning list,Split plan/visit pages,Canonical visit list query,Counts and rows match records,P0,NOT_STARTED
PLN-REQ-013,List,Full required list columns,Planning columns,Subset,Canonical list projection,Every required field available and exportable,P0,NOT_STARTED
PLN-REQ-014,List,General search across eight identifiers,Planning search,Subset client search,Server-side indexed search,Each field finds matching visit,P0,NOT_STARTED
PLN-REQ-015,List,Full filter set and dependent city,Planning filters,Subset,Typed server filters,Combined filters correct,P0,NOT_STARTED
PLN-REQ-016,List,Reset and session filter preservation,Planning filters,Partial local state,URL/session contract,Return from detail preserves filters,P0,NOT_STARTED
PLN-REQ-017,List,Export authorized filtered rows,Planning page action,Missing/partial,Server export with same query,Export rows equal visible authorized result set,P0,NOT_STARTED
PLN-REQ-018,List,Refresh latest data,Planning page action,Page refresh,Explicit refresh/freshness,Latest changes visible without losing filters,P0,NOT_STARTED
PLN-REQ-019,List,Status/permission-specific row actions,Planning actions,Partial,Canonical action resolver,Only documented valid actions appear and succeed,P0,NOT_STARTED
PLN-REQ-020,Single,Search CR/licence/plant,Planning single,No plant search,Canonical resolver,Exact search results correct,P0,NOT_STARTED
PLN-REQ-021,Single,Multiple licences require target selection,Planning single,Factory-row model,CR portfolio selector,Publish blocked until target selected,P0,NOT_STARTED
PLN-REQ-022,Single,"Visit is licence/plant-level, not CR-only",Planning rule,CR fallback exists,Target key required where applicable,No CR-only visit created,P0,NOT_STARTED
PLN-REQ-023,Single,Display complete registered factory fields and provenance,Planning fields,Subset,Shared canonical projection,All documented fields/state/source render,P0,NOT_STARTED
PLN-REQ-024,Single,Controlled contact/location edit rules,Planning fields,Partial pin override,Permission and history model,Master unchanged; visit override audited,P0,NOT_STARTED
PLN-REQ-025,Manual,Eligibility: permission + visit type + not-found confirmation,Planning manual,Partial toggle,Eligibility engine,All three conditions required,P0,NOT_STARTED
PLN-REQ-026,Manual,Complete manual field contract,Planning manual,Optional name/region/city gaps,Required/conditional validation,Every documented required rule passes/fails,P0,NOT_STARTED
PLN-REQ-027,Manual,Manual reason and attachment,Planning manual,Incomplete,Admin lookup and configured evidence,Reason stored; attachment enforced by type,P0,NOT_STARTED
PLN-REQ-028,Manual,Mark unverified fields and source,Planning manual,Temporary flag partial,Field/source metadata,UI/export/audit clearly mark manual,P0,NOT_STARTED
PLN-REQ-029,Bulk,At least one criterion unless unrestricted permission,Planning bulk,Match-all allowed,Guarded retrieval,Empty search blocked for normal staff,P0,NOT_STARTED
PLN-REQ-030,Bulk,All documented criteria fields,Planning bulk,4 fields,Typed criterion registry,Each field independently filters fixture set,P0,NOT_STARTED
