design_id,design_file,sha256,unique_payload,duplicate_of,phase_1_scope,owner_package,target_routes,target_persona,requirement_ids,acceptance_ids,dependencies,evidence_ids,current_implementation_files,backend_preservation,delta_class,required_states,desktop_rtl,reference_viewport,viewport_source,responsive_matrix,visual_acceptance,functional_acceptance,deviation_status
WA-DES-001,SAQEEL AI Studio.dc.html,46ab61765ed06a2c0d62c742eb211fc6755e2a563b18c9b693150961c8006fc6,NO_ALIAS,,BUSINESS_WEB,M7,/ai/suggestions,Business users,CR-001..CR-478,WA-M7-AC-001..006,F0,WA-M7-EV-001..006,apps/web/src/app/(app)/ai/suggestions/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1280x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-002,SAQEEL Admin Detail.dc.html,65b98dfc952d2737260c5c49f432c74cdb85a18f1fdec3e0f2af29ac9dea957d,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin/regulations/:id;/admin/packages;/admin/items/:id/runtime-preview;/admin/risk;/planning/plans/:id,Configuration roles,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/(app)/admin/regulations/[id]/page.tsx;apps/web/src/app/(app)/admin/packages/page.tsx;apps/web/src/app/(app)/admin/items/[id]/runtime-preview/page.tsx;apps/web/src/app/(app)/admin/risk/page.tsx;apps/web/src/app/(app)/planning/plans/[id]/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,REPLICATION_WITH_REAL_DATA_ADAPTATION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1440x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-003,SAQEEL Admin Execution.dc.html,47a54a5b2dc9863310496ccbd14695bdc9795b887ed8b29256a2fd712047c0b8,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin/execution,Configuration roles,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,apps/web/src/app/admin/execution/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-004,SAQEEL Admin Extended.dc.html,b2ff11c538430f6f045ba66cf992cbcbc53897c0a62db1db98e30e3c811b19fc,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin/bulk-violations;/admin/enforcement-recommendations;/admin/security-access;/admin/devices,Admin roles,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/(app)/admin/bulk-violations/page.tsx;apps/web/src/app/(app)/admin/enforcement-recommendations/page.tsx;apps/web/src/app/(app)/admin/security-access/page.tsx;apps/web/src/app/(app)/admin/devices/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,REPLICATION_WITH_REAL_DATA_ADAPTATION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1200x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-005,SAQEEL Admin Form Builder.dc.html,9f33c90405b4b134756848ebe4a6c7fc5a4df29e0a411d4cbb369d1e6583b5f0,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin/packages/:id/designer,Form Admin,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,NEW_ROUTE_REQUIRED,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1280x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-006,SAQEEL Admin Geofence.dc.html,39c768e8e3dbe588cc8424306d7eab1c387fd51392bb76d6a78afd8e3bdaf956,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin/gis,GIS Admin,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,apps/web/src/app/(app)/admin/gis/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,DESIGN_CONFLICT_REQUIRES_DECISION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1200x840,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-007,SAQEEL Admin Integrations Data.dc.html,a35484895fbb0965ef63f42842a832c7dcd69a164069e1f0e059a1fae17f049b,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin/integrations/factory-data,Technical Admin,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,apps/web/src/app/(app)/admin/integrations/factory-data/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x880,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-008,SAQEEL Admin Integrations.dc.html,c5c61acd5b854928b4972fbf6122381a7c0f11dcdb6fbaa018f08fdba954be55,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin/integrations,Technical Admin,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,apps/web/src/app/(app)/admin/integrations/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x820,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-009,SAQEEL Admin Lookups copy.dc.html,11867bb534b7c318d7689b0300e6b59c485db8a5daab009a3c904851d222d91d,IDENTICAL_ALIAS,SAQEEL Admin Lookups.dc.html,ADMIN_CONTROL_PANEL,M9,/admin/localization,Configuration roles,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/(app)/admin/localization/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,EXACT_REPLICATION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x840,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-010,SAQEEL Admin Lookups.dc.html,11867bb534b7c318d7689b0300e6b59c485db8a5daab009a3c904851d222d91d,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin/localization,Configuration roles,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/(app)/admin/localization/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x840,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-011,SAQEEL Admin Role Override.dc.html,98827572052bf6157e8fe4710cd6de7d49bc49459dd82aa324d14d159b4f58bd,NO_ALIAS,,ADMIN_CONTROL_PANEL,M8,/admin/access?view=roles,Security Admin,CR-001..CR-478,WA-M8-AC-001..006,F0,WA-M8-EV-001..006,apps/web/src/app/(app)/admin/access/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1200x860,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-012,SAQEEL Admin SENAI Data.dc.html,022f61284e1aef160f917f7ba29d6609793abad4794b4b2c282af327b819846e,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin/integrations/senaei,Technical Admin,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,NEW_ROUTE_REQUIRED,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1120x840,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-013,SAQEEL Admin Virtual Premium.dc.html,c9c92409ac52cac2774f9fd5553a1a3a0c689d5f5c04c462ca4a3b0875f2434c,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin/virtual,Technical Admin,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,NEW_ROUTE_REQUIRED,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1200x860,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-014,SAQEEL Admin Workflow Builder.dc.html,36ad28c22b36d9bc9d2841049af609491bccaaaeeed760888bb7a7fc6140f65c,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin/workflows,Workflow Admin,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/(app)/admin/workflows/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1240x880,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-015,SAQEEL Admin.dc.html,d55f882c7fa83b7a70865de250a16e47e413a2f7742fb5d41233985304d853c3,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin,Admin roles,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/(app)/admin/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,REPLICATION_WITH_REAL_DATA_ADAPTATION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1440x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-016,SAQEEL Auth States.dc.html,20aad04a20de9a7b489a86db800e6106d94f10abc7423f3fc0c30c9832371f1e,NO_ALIAS,,ADMIN_CONTROL_PANEL,M11,/launch;/launch/no-workspace;/reset,All users,CR-337..CR-356,WA-M11-AC-001..006,F0,WA-M11-EV-001..006,apps/web/src/app/launch/page.tsx;apps/web/src/app/launch/no-workspace/page.tsx;apps/web/src/app/reset/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,960x720,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-017,SAQEEL Cases.dc.html,7226c73e7a9d735391bdeb947db408cc79b1a6d0d7f6fd6ae6de61eb47aa7f86,NO_ALIAS,,BUSINESS_WEB,M5,/cases,Case roles,CR-357..CR-409,WA-M5-AC-001..006,F0,WA-M5-EV-001..006,apps/web/src/app/(app)/cases/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1440x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-018,SAQEEL Committee.dc.html,4cc526547a11783b769b1ebe24937d60cf0af10b7c450c40995644a49cd964ae,NO_ALIAS,,BUSINESS_WEB,M6,/committee,Committee roles,CR-449..CR-478,WA-M6-AC-001..006,F0,WA-M6-EV-001..006,apps/web/src/app/(app)/committee/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1440x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-019,SAQEEL Compliance Requests.dc.html,05332be7bf0ed96a70f58507aa183f2f3010adada28938bf70466fa4038fad18,NO_ALIAS,,BUSINESS_WEB,M6,/admin/compliance-requests;/admin/compliance-requests/new;/admin/compliance-requests/:id,Compliance Admin,CR-449..CR-478,WA-M6-AC-001..006,F0,WA-M6-EV-001..006,apps/web/src/app/(app)/admin/compliance-requests/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/new/page.tsx;apps/web/src/app/(app)/admin/compliance-requests/[id]/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-020,SAQEEL Control Panel.dc.html,387114f67318fc3d8d0022b72f711a4b952dce588a66ba5875fd8a5d675125d2,NO_ALIAS,,ADMIN_CONTROL_PANEL,M10,/admin,Admin roles,CR-001..CR-478,WA-M10-AC-001..006,F0,WA-M10-EV-001..006,apps/web/src/app/(app)/admin/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,REPLICATION_WITH_REAL_DATA_ADAPTATION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1200x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,APPROVED_2026-07-26_DEC-036
WA-DES-021,SAQEEL Dashboard Config.dc.html,f4e52ffe845f1e7c8ca2b6d46f8097db7c6981aa1e7346ea42ec2fae892fa8ed,NO_ALIAS,,ADMIN_CONTROL_PANEL,M9,/admin/dashboard-config,Business Admin,CR-001..CR-478,WA-M9-AC-001..006,F0,WA-M9-EV-001..006,apps/web/src/app/admin/dashboard-config/page.tsx,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,CURRENT_BACKEND_PRESERVED_NEW_FRONTEND,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1160x880,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
WA-DES-022,SAQEEL Design System.dc.html,85da98476e91038a150b10ecb9b4e45a7f322564187de4f91d48d32e441f9921,NO_ALIAS,,ADMIN_CONTROL_PANEL,F0,FOUNDATION_ONLY,All personas,CR-001..CR-478,WA-F0-AC-001..006,NONE_FOUNDATION_FIRST,WA-F0-EV-001..006,,PRESERVE_RLS_RBAC_WORKFLOW_AUDIT_VERSIONING_FAIL_CLOSED_PROVIDERS,EXACT_REPLICATION,loading;empty;error;degraded;unauthorized;stale/conflict;provider-unavailable as applicable,EN/LTR;AR/RTL;logical properties;keyboard/focus parity,1440x900,DESIGN_DECLARED_PREVIEW,1024x768;412x915 or 390x844;320x800 reflow,ZERO_UNAPPROVED_DIFF_FIXED_CHROMIUM_FONT_ENVIRONMENT,REAL_DATA_RLS_ACTIONS_AUDIT_NEGATIVE_STATES,REQUIRES_PRODUCT_OWNER_APPROVAL
