acceptance_id,category,criterion,priority,proof,status
WA-SHELL-AC-001,AUTHORITY,Runtime shell reproduces the approved source identity and token profile without treating fixtures as live authority,P0,SOURCE_HASH_PLUS_VISUAL_DIFF_PLUS_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-002,NAVIGATION,Sidebar labels hierarchy grouping and order match the approved source; extra routes are children or subtabs and permissions fail closed,P0,ROUTE_MANIFEST_PLUS_PERMISSION_TEST_PLUS_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-003,SHELL_WIRING,Search date region theme notifications AI and account controls are real accessible responsive and permission-aware,P0,FUNCTIONAL_NEGATIVE_A11Y_RTL_RESPONSIVE_TESTS,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-004,DASHBOARD_STRUCTURE,Dashboard preserves Strategic and Operational views in fixed order and supports stable route or query state,P0,FUNCTIONAL_ROUTE_VISUAL_TESTS,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-005,DASHBOARD_METRICS,Every represented metric formula example format action and honest unavailable state is preserved and wired to governed data,P0,FORMULA_CONTRACT_DATA_TEST_NEGATIVE_TEST_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-006,DASHBOARD_EXPLORATION,Explorer trends capacity and comparison states preserve their interactions and source-backed drill-downs,P1,FUNCTIONAL_VISUAL_A11Y_RESPONSIVE_TESTS,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-007,AI,Executive and Operational briefs preserve placement and interaction but fail closed without approved source evidence and policy,P0,PROVIDER_NEGATIVE_EVIDENCE_LINK_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-008,OPERATIONS_PRIMARY,Operations Center preserves Operations Map and National Performance as the two primary views with command and exception views secondary,P0,ROUTE_FUNCTIONAL_MAP_FAILURE_VISUAL_TESTS,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-009,OPERATIONS_WIRING,Operations KPIs highlights pins drawers and handoffs use real RLS-scoped services and preserve permissions and audit,P0,FUNCTIONAL_RLS_NEGATIVE_AUDIT_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-010,FACTORY_STRUCTURE,Factory 360 preserves portfolio switching and the three-column dossier structure across supported widths,P0,FUNCTIONAL_VISUAL_RESPONSIVE_RTL_TESTS,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-011,FACTORY_WIRING,Factory dossier facts compliance documents timeline and actions reuse canonical projection permissions audit versions and provider provenance,P0,FUNCTIONAL_RLS_AUDIT_VERSION_PROVIDER_NEGATIVE_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-012,FACTORY_AI_PROVENANCE,AI and trust rails preserve the represented hierarchy while unsupported AI provider and policy outputs fail closed,P0,PROVIDER_NEGATIVE_PROVENANCE_RUNTIME,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-013,ROUTES,Planning owns Visits and certified redirects preserve accepted /visits deep links without breaking bookmarks or authorization,P0,ROUTE_REDIRECT_PERMISSION_REGRESSION_TESTS,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-014,PHASE_ISOLATION,Execution is Web oversight only and no Field iPad offline route estimate test or ownership enters Phase 1,P0,MANIFEST_VALIDATOR_PLUS_DIFF_REVIEW,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-015,MIGRATION,Every batch preserves current screens behind a rollback mechanism until explicit cutover stabilization and removal approvals,P0,MIGRATION_ROW_BATCH_LEDGER_ROLLBACK_PROOF,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-016,QUALITY,Each screen batch passes typecheck build focused functional negative permission Playwright visual RTL accessibility responsive and affected regression gates,P0,TEXTUAL_TEST_EVIDENCE_PLUS_VISIBLE_CHROME_REVIEW,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-017,HUMAN_GATE,Every coherent two-to-four-screen batch stops after visible Chrome demonstration for an explicit Product Owner decision,P0,SCREEN_BATCH_LEDGER_PLUS_REVIEW_RECORD,REGISTERED_NOT_IMPLEMENTED
WA-SHELL-AC-018,REQUIREMENTS,All CR-001 through CR-478 retain exactly one allowed disposition and remain linked without weakening or duplication,P0,PLANNING_VALIDATOR_478_OF_478,REGISTERED
