wiring_id,state_or_action_id,ui_trigger,client_component,route_server_action,validation_guard,canonical_transition,table_rpc_provider,exact_columns_or_payload,rls_grant_role,audit_event,notification_side_effect,success_result,negative_partial_failure,keyboard_focus_announcement,automated_test,runtime_evidence,disposition,blocker_owner
W01,S01,open penalty mode,violations/page.tsx,server read,authenticated,none,penalty_mappings+violation_codes,violation_code_id;penalty_ref;penalty_range;repeat_rule;legal_basis;mapping_version,SELECT authenticated,none,none,workspace populated,unavailable not zero,focus main,T-CD11-01,proven schema,current,none
W02,S01,select violation,violations/page.tsx,client state,none,none,none,none,n/a,none,none,lens recomputes from loaded mapping,none,announce selection,T-CD11-02,proven,current,none
W03,S03/S04,create mapping,violations/Controls.tsx,actions.ts createPenaltyMapping,violation+penalty_ref+legal_basis+mapping_version+range preset+repeat preset,none (no lifecycle),penalty_mappings insert,violation_code_id;penalty_ref;penalty_range;repeat_rule;legal_basis;mapping_version,writes compliance_admin/form_admin,trg_audit_penalty_mappings,none,mapping created,duplicate(unique) OR missing legal basis OR invalid preset -> neutral rejection,focus first error; alert once,T-CD11-03,proven action,current,none
W04,S04,validate lens,violations/Controls.tsx,client validation of proven rules,unique+legal_basis+preset,none,none,none,n/a,none,none,four checks shown,failing check flagged,role=status,T-CD11-04,proven rules only,current,none
W05,S05,unauthorized access,route guard,none,Admin-family guard,none,none,none,none,none,none,neutral denial,n/a,announce restricted,T-CD11-05,not proven,HANDOFF_BLOCKED,platform/route owner
W06,S06,read-only view,violations/page.tsx,server read,role lacks write grant,none,penalty_mappings read,as W01,SELECT authenticated,none,none,view-only with reason,none,announce read-only,T-CD11-06,proven RLS,current,none
W07,S07,stale refresh,violations/page.tsx,manual refresh,none,none,re-read,as W01,SELECT,none,none,refreshed,no invented duration,focus refresh,T-CD11-07,no stale threshold,current,none
W08,S08,degraded dependency,violations/page.tsx,server read,none,none,penalty_ref lookup,penalty_ref,SELECT,none,none,field unavailable; rest renders,never zero/none,alert,T-CD11-08,proven fail-closed,current,none
W09,S09,recovery retry,violations/Controls.tsx,retry handler,none,none,re-read,as W08,SELECT,none,none,success only after return,no optimistic success,focus retried region,T-CD11-09,proven,current,none
W10,contract-target,approve/publish/effective-period,none,none,none,submit->approve->publish,none,none,none,none,none,none,none,none,T-CD11-10,not in schema,HANDOFF_BLOCKED,product/backend owner
