Source sheet,Source row,Capability,Requirement ID,Acceptance ID,AC ledger note,Outcome,Reason
Inspection Execution - PreStart,2,Inspector Dashboard,MVP1-M03-001,AC-0099,SCR-IPAD-600 FieldHome: workload/inbox/views/search/filter/sort/expiry — BUILT,MATCH,Note confirms dashboard renders workload/inbox exactly as the criterion requires.
Inspection Execution - PreStart,3,View Assigned Visits,MVP1-M03-002,AC-0100,"FieldHome loads RLS-scoped visits + open/switch views, offline sync engine — BUILT",MATCH,RLS-scoped visit loading directly supports the inspector-can-access-assigned-visits criterion.
Inspection Execution - PreStart,4,"Calendar, List & Map Views",MVP1-M03-003,AC-0101,Calendar/List/Map view switch over same rows (FieldHome) — BUILT,MATCH,"Note names the same three view types and confirms switching, matching the criterion exactly."
Inspection Execution - PreStart,5,"Search, Filter & Sort",MVP1-M03-004,AC-0102,Text search + status/type/mode filter + window sort (FieldHome) — BUILT,MATCH,"Note lists search, filter, and sort mechanisms that satisfy the criterion's requirement."
Inspection Execution - PreStart,6,Manage My Schedule,MVP1-M03-005,AC-0103,[Codex remediation 2026-07-15] Field calendar drag submits a planner-owned reschedule request with the existing server guard.,NEEDS_REVIEW,"Note confirms a reschedule request is submitted but does not confirm the calendar itself updates after the change, as the criterion requires."
Inspection Execution - PreStart,7,Return Assignment,MVP1-M03-006,AC-0104,[Codex remediation 2026-07-15] Field startup renders and submits the existing return-request form with neutral failure handling.,NEEDS_REVIEW,"Note confirms a return-request form is submitted but does not confirm the assignment is actually returned, and calls out failure handling that could leave it unreturned."
Inspection Execution - PreStart,8,View Visit Card,MVP1-M03-007,AC-0105,[visitId] page renders visit details + readiness — BUILT,MATCH,"Note confirms visit details render, matching the criterion's display requirement."
Inspection Execution - PreStart,9,View Factory 360°,MVP1-M03-008,AC-0106,Factory profile/history via factories 360 + Startup factory context — BUILT,MATCH,Note confirms the factory profile loads via the Factory 360 view as the criterion requires.
Inspection Execution - PreStart,10,AI Preparation Assistant,MVP1-M03-009,AC-0107,"[audit] AI insights sub-capability — MVP2 by contract; recommendation panel is a scaffold, no live inference",CONTRADICTION,"Note states no live inference exists (scaffold only), directly contradicting the criterion's claim that AI recommendations are generated successfully."
Inspection Execution - PreStart,11,Prepare Inspection,MVP1-M03-010,AC-0108,"planning/single Wizard: date/mode/package/inspector, resolves+publishes visit — BUILT",MATCH,"Note confirms the wizard resolves and publishes the visit, matching the successful-preparation criterion."
Inspection Execution - PreStart,12,Execution Mode Eligibility,MVP1-M03-011,AC-0109,"[visitId] eligibility panel: physical=GIS coords, virtual=OTP engine — BUILT",NEEDS_REVIEW,"Note confirms eligibility is computed per mode but does not state that ineligible modes are blocked from selection, as the criterion requires."
Inspection Execution - PreStart,13,Inspection Package Resolution,MVP1-M03-012,AC-0110,admin/packages PackagePreview (inspector-view) + version-locked package — BUILT,MATCH,Version-locked package generation confirms the criterion's correct-package requirement.
Inspection Execution - PreStart,14,Notify Factory,MVP1-M03-013,AC-0111,Planning actions send notifications via configured-channel adapter (lib/notify) — BUILT,MATCH,"Note confirms notifications are sent via a configured channel, matching the criterion."
Inspection Execution - PreStart,15,Virtual Appointment Management,MVP1-M03-014,AC-0112,virtual ScheduleForm appointment + OTP room + reschedule actions — BUILT,MATCH,"Note confirms appointment scheduling and reschedule actions, matching the criterion."
Inspection Execution - PreStart,16,Inspection Status Management,MVP1-M03-015,AC-0113,expire_lapsed_visits rpc + FieldHome new/ready/expired/overdue display — BUILT,MATCH,"Note confirms status transitions (new/ready/expired/overdue) occur, matching the criterion."
Inspection Excution - Virtual,2,Display Scheduled Visit,MVP1-M05-001,AC-0337,"virtual/[id]/page loads session with factory, appointment, participants, package, inspection embed.",MATCH,"Note confirms the session page loads with the visit's core details, matching the display criterion."
Inspection Excution - Virtual,3,Start Virtual Session,MVP1-M05-002,AC-0338,Guarded transitions validate state/window; reschedule+beginRemote enforce assignment; session created at schedule.,MATCH,"Note explicitly states the session is created at schedule, matching the criterion."
Inspection Excution - Virtual,4,Create Session Timeline,MVP1-M05-003,AC-0339,vs_append_event writes timeline; timeline column rendered; start timestamp captured on begin event.,MATCH,"Note confirms timeline creation and rendering, matching the criterion."
Inspection Excution - Virtual,5,Update Operational State,MVP1-M05-004,AC-0340,Operational state machine scheduled->waiting->joined->verified->in_progress separate from workflow status.,MATCH,"Note confirms a distinct operational-state machine updates through defined states, matching the criterion."
Inspection Excution - Virtual,6,Cancel Virtual Visit,MVP1-M05-005,AC-0341,closeSession renders cancel form with mandatory reason + comments (Room.tsx).,MATCH,"Note confirms the cancel flow is initiated via the closeSession form, matching the criterion."
Inspection Excution - Virtual,7,Capture Cancellation Reason,MVP1-M05-006,AC-0342,closeSession persists reason+comments into closed timeline event; guard makes row immutable after.,MATCH,"Note confirms the reason and comments are persisted into the timeline, matching the criterion."
Inspection Excution - Virtual,8,Generate Audit Events,MVP1-M05-007,AC-0343,"trg_guard_virtual + vs_append_event record creation, cancellation, operational-state updates.",MATCH,"Note confirms audit events are recorded for the listed lifecycle actions, matching the criterion."
Inspection Excution - Virtual,9,Join Session,MVP1-M05-008,AC-0344,"[audit] MVP2 by contract: live-video provider is the single sanctioned DEC deferral; adapter placeholder honest, join legs live.",NEEDS_REVIEW,"Note states the live-video provider is a deferred placeholder, so it does not clearly confirm the inspector actually connects as the criterion requires, even though join tracking is live."
Inspection Excution - Virtual,10,Wait for Factory Representative,MVP1-M05-009,AC-0345,Participants rendered with joined/verified status; refreshStatus polls vp_otp_status per participant.,MATCH,"Note confirms participant status is rendered and polled, matching the waiting-state display criterion."
Inspection Excution - Virtual,11,Capture Participant Join,MVP1-M05-010,AC-0346,joinParticipant persists joined_at per participant (inspector + factory rep).,MATCH,"Note confirms join times are persisted per participant, matching the criterion."
Inspection Excution - Virtual,12,Monitor Session Status,MVP1-M05-011,AC-0347,[audit] MVP2 by contract: join/end tracked live via timeline; disconnect/reconnect ride deferred video-provider adapter (DEC).,NEEDS_REVIEW,"Note states disconnect/reconnect are deferred to the video-provider adapter, so it does not clearly confirm the full meeting lifecycle the criterion claims is recorded."
Inspection Excution - Virtual,13,Generate Session Audit,MVP1-M05-012,AC-0348,"[audit] MVP2 by contract: join event recorded; leave/disconnect/reconnect are provider-adapter legs (deferred DEC), honest state.",CONTRADICTION,"Note explicitly states leave/disconnect/reconnect legs are deferred and not recorded, contradicting the criterion's claim that a complete meeting audit is generated."
Inspection Excution - Virtual,14,Initiate Identity Verification,MVP1-M05-013,AC-0349,Verify-identity surfaces OTP method (Send OTP) for factory_rep participants.,MATCH,"Note confirms the OTP verification method is surfaced to initiate verification, matching the criterion."
Inspection Excution - Virtual,15,Send OTP,MVP1-M05-014,AC-0350,"vp_request_otp RPC generates code; DEV provider shows code, release Unifonic adapter (honest).",MATCH,"Note confirms the OTP is generated and sent via the release Unifonic adapter, matching the criterion, with dev-mode behavior disclosed honestly."
