reference_id,domain,values,authority,owner,configurable,versioned,runtime_impact,scope
REF-001,Planning Method,Bulk; Single; Immediate,System-owned fixed enum,Product Owner,No,No,Planning and route selection,MVP1
REF-002,Execution Mode,Physical; Virtual,Admin/config or fixed pending decision,Product Owner,Conditional,Yes if configurable,Visit eligibility and channel,MVP1
REF-003,Visit Status,Draft; Published; Returned; Cancelled; Expired; plus governed runtime states,Workflow version,Workflow Admin,Yes,Yes,Visit management,MVP1
REF-004,Inspection Status,Not Started; In Progress; Submitted; Under Review; Returned; Approved; Rejected,Workflow version,Workflow Admin,Yes,Yes,Inspection/review lifecycle,MVP1
REF-005,Priority,Low; Medium; High; Critical or approved list,Admin master data,Business Admin,Yes,Yes,"Planning, queues, SLA",Decision
REF-006,Risk Band,Low; Medium; High or approved thresholds,Risk configuration,Risk Owner,Yes,Yes,Planning/Factory 360/Ops,Decision
REF-007,Evidence Type,Photo; Video; Document; Voice Note; Other approved types,Admin master data,Compliance Admin,Yes,Yes,Evidence capture,MVP1
REF-008,Violation Level,Approved legal/compliance levels,Admin configuration,Compliance Admin,Yes,Yes,Violation/penalty,Decision
REF-009,Cancellation Reason,Operational reason catalogue,Admin master data,Business Admin,Yes,Yes,Cancellation analytics/audit,MVP1
REF-010,Assignment Return Reason,Inspector unable to proceed reasons,Admin master data,Operations Owner,Yes,Yes,Reassignment,MVP1
REF-011,GPS Override Reason,Signal loss; official coordinate issue; approved operational reasons,Admin master data,GIS/Operations Owner,Yes,Yes,Location exception,Decision
REF-012,Unable-to-Execute Reason,Factory unavailable; access denied; safety issue; technical issue; other approved,Admin master data,Operations Owner,Yes,Yes,Execution exception,MVP1
REF-013,Review Decision,Approve; Return; Reject,Workflow version,Review Owner,Yes,Yes,Level 2 Review,MVP1
REF-014,Notification Event,Assignment; change; cancellation; expiry; appointment; submission; return; decision; SLA; override,Admin configuration,Business Admin,Yes,Yes,Notification service,MVP1
REF-015,User Role,Compliance Admin; Form Admin; Workflow Admin; Risk Owner; GIS Admin; Planner; Inspector; Reviewer; Operations; Auditor; Leadership,Security configuration,Security Admin,Yes,Yes,RBAC,MVP1
